session_id,agent_id,login_at,channel,device_id,timezone,logout_at,_source_row_number,login_at_standardized,logout_at_standardized,session_duration_minutes,invalid_session_time
SES0000001,AGT0000117,2026-08-06 13:33:27,VOICE,DEV00243,Asia/Kolkata,2026-08-06 18:41:13,1,2026-08-06 13:33:27,2026-08-06 18:41:13,307.76666666666665,False
SES0000002,AGT0000847,2026-05-27 02:02:28,FIELD,DEV01359,UTC,2026-05-27 09:02:31,2,2026-05-27 02:02:28,2026-05-27 09:02:31,420.05,False
SES0000003,AGT0000989,2026-08-01 20:33:44,FIELD,DEV01432,Asia/Kolkata,2026-08-02 05:53:43,3,2026-08-01 20:33:44,2026-08-02 05:53:43,559.9833333333333,False
SES0000004,AGT0000961,2026-01-13 19:50:52,FIELD,DEV00402,Asia/Kolkata,2026-01-13 22:20:49,4,2026-01-13 19:50:52,2026-01-13 22:20:49,149.95,False
SES0000005,AGT0000280,2026-03-03 15:05:04,VOICE,DEV01288,UTC,2026-03-03 18:19:09,5,2026-03-03 15:05:04,2026-03-03 18:19:09,194.08333333333334,False
SES0000006,AGT0000595,2026-02-24 14:27:52,VOICE,DEV00896,Asia/Kolkata,2026-02-24 23:11:20,6,2026-02-24 14:27:52,2026-02-24 23:11:20,523.4666666666667,False
SES0000007,AGT0000813,2026-04-28 13:40:03,FIELD,DEV00826,UTC,2026-04-28 16:11:46,7,2026-04-28 13:40:03,2026-04-28 16:11:46,151.71666666666667,False
SES0000008,AGT0000701,2026-02-18 02:11:27,SMS,DEV00342,UTC,2026-02-18 10:14:32,8,2026-02-18 02:11:27,2026-02-18 10:14:32,483.0833333333333,False
SES0000009,AGT0000454,2026-07-31 06:43:17,FIELD,DEV00317,Asia/Kolkata,2026-07-31 07:30:12,9,2026-07-31 06:43:17,2026-07-31 07:30:12,46.916666666666664,False
SES0000010,AGT0000441,2026-04-25 05:34:05,WHATSAPP,DEV00299,Asia/Kolkata,2026-04-25 09:40:09,10,2026-04-25 05:34:05,2026-04-25 09:40:09,246.06666666666666,False
SES0000011,AGT0000059,2026-02-28 17:17:30,FIELD,DEV00910,Asia/Kolkata,2026-03-01 00:15:19,11,2026-02-28 17:17:30,2026-03-01 00:15:19,417.81666666666666,False
SES0000012,AGT0000602,2026-08-04 16:23:11,WHATSAPP,DEV01399,UTC,2026-08-05 00:01:54,12,2026-08-04 16:23:11,2026-08-05 00:01:54,458.71666666666664,False
SES0000013,AGT0000116,2026-06-05 18:49:01,SMS,DEV01204,UTC,2026-06-05 19:45:31,13,2026-06-05 18:49:01,2026-06-05 19:45:31,56.5,False
SES0000014,AGT0000764,2026-01-23 03:53:46,VOICE,DEV00323,Asia/Kolkata,2026-01-23 08:44:22,14,2026-01-23 03:53:46,2026-01-23 08:44:22,290.6,False
SES0000015,AGT0000783,2026-06-05 05:17:53,FIELD,DEV00946,UTC,2026-06-05 05:51:38,15,2026-06-05 05:17:53,2026-06-05 05:51:38,33.75,False
SES0000016,AGT0000078,2026-07-02 21:57:53,WHATSAPP,DEV01028,UTC,2026-07-02 23:48:52,16,2026-07-02 21:57:53,2026-07-02 23:48:52,110.98333333333333,False
SES0000017,AGT0000966,2026-06-02 07:44:01,FIELD,DEV00764,UTC,2026-06-02 14:08:52,17,2026-06-02 07:44:01,2026-06-02 14:08:52,384.85,False
SES0000018,AGT0000050,2026-04-12 04:55:56,WHATSAPP,DEV00957,UTC,2026-04-12 12:14:21,18,2026-04-12 04:55:56,2026-04-12 12:14:21,438.4166666666667,False
SES0000019,AGT0000121,2026-01-21 01:11:19,WHATSAPP,DEV00824,Asia/Kolkata,2026-01-21 04:21:46,19,2026-01-21 01:11:19,2026-01-21 04:21:46,190.45,False
SES0000020,AGT0000018,2026-03-07 05:40:59,FIELD,DEV00623,Asia/Kolkata,2026-03-07 08:51:55,20,2026-03-07 05:40:59,2026-03-07 08:51:55,190.93333333333334,False
SES0000021,AGT0000895,2026-04-20 23:53:11,WHATSAPP,DEV00988,UTC,2026-04-21 01:28:06,21,2026-04-20 23:53:11,2026-04-21 01:28:06,94.91666666666667,False
SES0000022,AGT0000594,2026-02-19 21:04:12,VOICE,DEV00052,UTC,2026-02-20 01:37:04,22,2026-02-19 21:04:12,2026-02-20 01:37:04,272.8666666666667,False
SES0000023,AGT0000928,2026-06-18 17:31:37,VOICE,DEV00316,UTC,2026-06-18 20:18:55,23,2026-06-18 17:31:37,2026-06-18 20:18:55,167.3,False
SES0000024,AGT0000090,2026-04-24 21:47:32,FIELD,DEV00753,Asia/Kolkata,2026-04-25 00:23:06,24,2026-04-24 21:47:32,2026-04-25 00:23:06,155.56666666666666,False
SES0000025,AGT0000203,2026-02-10 07:26:27,FIELD,DEV00264,Asia/Kolkata,2026-02-10 10:44:44,25,2026-02-10 07:26:27,2026-02-10 10:44:44,198.28333333333333,False
SES0000026,AGT0000821,2026-04-10 21:11:22,VOICE,DEV00617,UTC,2026-04-11 04:30:30,26,2026-04-10 21:11:22,2026-04-11 04:30:30,439.1333333333333,False
SES0000027,AGT0000155,2026-07-20 04:31:28,VOICE,DEV00483,Asia/Kolkata,2026-07-20 07:50:56,27,2026-07-20 04:31:28,2026-07-20 07:50:56,199.46666666666667,False
SES0000028,AGT0000930,2026-04-15 05:44:10,WHATSAPP,DEV00662,Asia/Kolkata,2026-04-15 12:35:44,28,2026-04-15 05:44:10,2026-04-15 12:35:44,411.56666666666666,False
SES0000029,AGT0000755,2026-07-02 06:51:49,WHATSAPP,DEV01145,UTC,2026-07-02 13:36:27,29,2026-07-02 06:51:49,2026-07-02 13:36:27,404.6333333333333,False
SES0000030,AGT0000571,2026-05-25 11:38:32,FIELD,DEV01323,Asia/Kolkata,2026-05-25 16:59:40,30,2026-05-25 11:38:32,2026-05-25 16:59:40,321.1333333333333,False
SES0000031,AGT0000888,2026-04-14 21:48:05,SMS,DEV00743,UTC,2026-04-15 05:19:58,31,2026-04-14 21:48:05,2026-04-15 05:19:58,451.8833333333333,False
SES0000032,AGT0000863,2026-01-26 16:40:34,SMS,DEV00676,Asia/Kolkata,2026-01-27 00:29:41,32,2026-01-26 16:40:34,2026-01-27 00:29:41,469.1166666666667,False
SES0000033,AGT0000688,2026-02-11 19:42:11,SMS,DEV01113,UTC,2026-02-12 04:32:25,33,2026-02-11 19:42:11,2026-02-12 04:32:25,530.2333333333333,False
SES0000034,AGT0000219,2026-02-22 09:32:25,FIELD,DEV00747,Asia/Kolkata,2026-02-22 17:51:53,34,2026-02-22 09:32:25,2026-02-22 17:51:53,499.46666666666664,False
SES0000035,AGT0000084,2026-06-08 08:39:36,WHATSAPP,DEV01189,Asia/Kolkata,2026-06-08 13:28:04,35,2026-06-08 08:39:36,2026-06-08 13:28:04,288.46666666666664,False
SES0000036,AGT0000424,2026-06-27 18:44:41,WHATSAPP,DEV00433,UTC,2026-06-27 22:08:08,36,2026-06-27 18:44:41,2026-06-27 22:08:08,203.45,False
SES0000037,AGT0000276,2026-01-02 07:58:27,WHATSAPP,DEV01488,Asia/Kolkata,2026-01-02 16:52:37,37,2026-01-02 07:58:27,2026-01-02 16:52:37,534.1666666666666,False
SES0000038,AGT0000321,2026-02-02 00:44:51,VOICE,DEV01448,UTC,2026-02-02 08:00:36,38,2026-02-02 00:44:51,2026-02-02 08:00:36,435.75,False
SES0000039,AGT0000922,2026-05-18 09:46:58,WHATSAPP,DEV01065,Asia/Kolkata,2026-05-18 15:21:37,39,2026-05-18 09:46:58,2026-05-18 15:21:37,334.65,False
SES0000040,AGT0000131,2026-03-04 01:44:17,WHATSAPP,DEV01440,UTC,2026-03-04 02:49:39,40,2026-03-04 01:44:17,2026-03-04 02:49:39,65.36666666666666,False
SES0000041,AGT0000852,2026-03-30 06:56:00,SMS,DEV00714,UTC,2026-03-30 15:30:04,41,2026-03-30 06:56:00,2026-03-30 15:30:04,514.0666666666667,False
SES0000042,AGT0000904,2026-08-02 16:11:04,VOICE,DEV00963,UTC,2026-08-02 21:02:35,42,2026-08-02 16:11:04,2026-08-02 21:02:35,291.51666666666665,False
SES0000043,AGT0000320,2026-04-16 16:44:16,WHATSAPP,DEV01420,Asia/Kolkata,2026-04-16 22:51:08,43,2026-04-16 16:44:16,2026-04-16 22:51:08,366.8666666666667,False
SES0000044,AGT0000572,2026-07-03 15:38:46,SMS,DEV00978,UTC,2026-07-04 00:17:49,44,2026-07-03 15:38:46,2026-07-04 00:17:49,519.05,False
SES0000045,AGT0000309,2026-08-02 19:49:16,VOICE,DEV00157,UTC,2026-08-03 02:03:50,45,2026-08-02 19:49:16,2026-08-03 02:03:50,374.56666666666666,False
SES0000046,AGT0000185,2026-03-30 13:15:47,WHATSAPP,DEV01394,UTC,2026-03-30 15:22:54,46,2026-03-30 13:15:47,2026-03-30 15:22:54,127.11666666666666,False
SES0000047,AGT0000990,2026-01-28 09:10:39,VOICE,DEV00058,UTC,2026-01-28 10:27:29,47,2026-01-28 09:10:39,2026-01-28 10:27:29,76.83333333333333,False
SES0000048,AGT0000917,2026-06-28 07:59:13,FIELD,DEV00981,UTC,2026-06-28 13:51:02,48,2026-06-28 07:59:13,2026-06-28 13:51:02,351.81666666666666,False
