attempt_id,account_id,borrower_id,event_at,call_id,agent_id,attempt_no,vendor_id,attempt_status,_source_row_number,event_at_standardized,event_date,event_month,timestamp_parse_failed
ATTEMPT0000001,ACC0009527,BRW0000705,2026-03-10 21:31:13,CALL0019052,AGT0000685,5,VND0000013,FAILED,1,2026-03-10 21:31:13,2026-03-10,2026-03,False
ATTEMPT0000002,ACC0007960,BRW0002732,2026-05-01 20:55:02,CALL0011950,AGT0000472,4,VND0000006,CONNECTED,2,2026-05-01 20:55:02,2026-05-01,2026-05,False
ATTEMPT0000003,ACC0016476,BRW0002174,2026-06-05 20:57:37,CALL0017411,AGT0000035,1,VND0000015,RINGING,3,2026-06-05 20:57:37,2026-06-05,2026-06,False
ATTEMPT0000004,ACC0011111,BRW0003738,2026-05-02 06:08:39,CALL0068999,AGT0000277,3,VND0000010,FAILED,4,2026-05-02 06:08:39,2026-05-02,2026-05,False
ATTEMPT0000005,ACC0010343,BRW0003352,2026-05-27 03:48:23,CALL0049585,AGT0000346,5,VND0000008,CONNECTED,5,2026-05-27 03:48:23,2026-05-27,2026-05,False
ATTEMPT0000006,ACC0014035,BRW0005078,2026-01-07 10:16:57,CALL0007956,AGT0000819,7,VND0000003,NO_ANSWER,6,2026-01-07 10:16:57,2026-01-07,2026-01,False
ATTEMPT0000007,ACC0011770,BRW0000678,2026-05-20 04:59:57,CALL0086707,AGT0000880,5,VND0000004,NO_ANSWER,7,2026-05-20 04:59:57,2026-05-20,2026-05,False
ATTEMPT0000008,ACC0016760,BRW0001406,2026-04-10 20:44:44,CALL0007648,AGT0000638,2,VND0000003,NO_ANSWER,8,2026-04-10 20:44:44,2026-04-10,2026-04,False
ATTEMPT0000009,ACC0000632,BRW0009799,2026-06-16 10:07:43,CALL0020133,AGT0000277,1,VND0000002,NO_ANSWER,9,2026-06-16 10:07:43,2026-06-16,2026-06,False
ATTEMPT0000010,ACC0024973,BRW0008233,2026-06-16 04:58:32,CALL0029166,AGT0000830,3,VND0000008,BUSY,10,2026-06-16 04:58:32,2026-06-16,2026-06,False
ATTEMPT0000011,ACC0025069,BRW0008621,2026-06-29 00:57:51,CALL0084328,AGT0000947,3,VND0000005,NO_ANSWER,11,2026-06-29 00:57:51,2026-06-29,2026-06,False
ATTEMPT0000012,ACC0014145,BRW0008165,2026-05-09 00:05:52,CALL0018742,AGT0000188,2,VND0000002,CONNECTED,12,2026-05-09 00:05:52,2026-05-09,2026-05,False
ATTEMPT0000013,ACC0027399,BRW0005763,2026-07-19 09:52:38,CALL0065054,AGT0000340,6,VND0000009,RINGING,13,2026-07-19 09:52:38,2026-07-19,2026-07,False
ATTEMPT0000014,ACC0025466,BRW0010209,2026-02-08 10:45:39,CALL0009146,AGT0000114,4,VND0000010,NO_ANSWER,14,2026-02-08 10:45:39,2026-02-08,2026-02,False
ATTEMPT0000015,ACC0017598,BRW0001666,2026-07-30 04:57:20,CALL0088445,AGT0000328,5,VND0000006,BUSY,15,2026-07-30 04:57:20,2026-07-30,2026-07,False
ATTEMPT0000016,ACC0016154,BRW0007315,2026-01-02 09:10:29,CALL0001447,AGT0000884,1,VND0000004,FAILED,16,2026-01-02 09:10:29,2026-01-02,2026-01,False
ATTEMPT0000017,ACC0000692,BRW0005684,2026-03-27 09:41:46,CALL0072659,AGT0000274,7,VND0000010,FAILED,17,2026-03-27 09:41:46,2026-03-27,2026-03,False
ATTEMPT0000018,ACC0006611,BRW0007113,2026-05-02 05:18:16,CALL0046105,AGT0000830,6,VND0000006,NO_ANSWER,18,2026-05-02 05:18:16,2026-05-02,2026-05,False
ATTEMPT0000019,ACC0026239,BRW0008616,2026-03-06 03:21:33,CALL0014743,AGT0000103,5,VND0000006,CONNECTED,19,2026-03-06 03:21:33,2026-03-06,2026-03,False
ATTEMPT0000020,ACC0016519,BRW0000684,2026-05-24 05:19:14,CALL0050051,AGT0000841,7,VND0000001,FAILED,20,2026-05-24 05:19:14,2026-05-24,2026-05,False
ATTEMPT0000021,ACC0003922,BRW0004833,2026-01-18 20:30:55,CALL0040287,AGT0000320,3,VND0000003,CONNECTED,21,2026-01-18 20:30:55,2026-01-18,2026-01,False
ATTEMPT0000022,ACC0019806,BRW0005501,2026-05-03 02:36:25,CALL0075145,AGT0000910,3,VND0000009,NO_ANSWER,22,2026-05-03 02:36:25,2026-05-03,2026-05,False
ATTEMPT0000023,ACC0009472,BRW0001917,2026-07-30 04:24:06,CALL0005021,AGT0000261,4,VND0000006,FAILED,23,2026-07-30 04:24:06,2026-07-30,2026-07,False
ATTEMPT0000024,ACC0020762,BRW0007060,2026-06-29 02:04:02,CALL0029842,AGT0000839,5,VND0000014,CONNECTED,24,2026-06-29 02:04:02,2026-06-29,2026-06,False
ATTEMPT0000025,ACC0017537,BRW0006829,2026-05-31 15:32:04,CALL0067399,AGT0000056,7,VND0000001,CONNECTED,25,2026-05-31 15:32:04,2026-05-31,2026-05,False
ATTEMPT0000026,ACC0022758,BRW0003765,2026-04-30 12:19:20,CALL0071914,AGT0000949,7,VND0000007,FAILED,26,2026-04-30 12:19:20,2026-04-30,2026-04,False
ATTEMPT0000027,ACC0000123,BRW0003434,2026-01-01 19:48:57,CALL0082818,AGT0000680,5,VND0000001,CONNECTED,27,2026-01-01 19:48:57,2026-01-01,2026-01,False
ATTEMPT0000028,ACC0020094,BRW0008723,2026-06-03 22:24:50,CALL0057656,AGT0000213,5,VND0000003,CONNECTED,28,2026-06-03 22:24:50,2026-06-03,2026-06,False
ATTEMPT0000029,ACC0021139,BRW0005453,2026-05-18 13:33:27,CALL0057383,AGT0000948,6,VND0000015,FAILED,29,2026-05-18 13:33:27,2026-05-18,2026-05,False
ATTEMPT0000030,ACC0020025,BRW0006245,2026-07-29 15:45:29,CALL0003958,AGT0000979,3,VND0000009,CONNECTED,30,2026-07-29 15:45:29,2026-07-29,2026-07,False
ATTEMPT0000031,ACC0000427,BRW0002905,2026-07-16 23:12:06,CALL0073834,AGT0000064,5,VND0000012,CONNECTED,31,2026-07-16 23:12:06,2026-07-16,2026-07,False
ATTEMPT0000032,ACC0019357,BRW0009986,2026-07-15 06:39:09,CALL0040688,AGT0000949,5,VND0000008,FAILED,32,2026-07-15 06:39:09,2026-07-15,2026-07,False
ATTEMPT0000033,ACC0015613,BRW0005212,2026-03-13 11:43:23,CALL0040085,AGT0000656,4,VND0000002,RINGING,33,2026-03-13 11:43:23,2026-03-13,2026-03,False
ATTEMPT0000034,ACC0029997,BRW0005999,2026-05-03 13:55:13,CALL0082035,AGT0000290,1,VND0000004,RINGING,34,2026-05-03 13:55:13,2026-05-03,2026-05,False
ATTEMPT0000035,ACC0007422,BRW0010035,2026-08-05 08:12:40,CALL0021135,AGT0000965,3,VND0000012,NO_ANSWER,35,2026-08-05 08:12:40,2026-08-05,2026-08,False
ATTEMPT0000036,ACC0025111,BRW0005088,2026-05-01 15:16:23,CALL0075886,AGT0000242,5,VND0000003,FAILED,36,2026-05-01 15:16:23,2026-05-01,2026-05,False
ATTEMPT0000037,ACC0001902,BRW0001270,2026-08-03 13:59:53,CALL0003081,AGT0000705,2,VND0000014,NO_ANSWER,37,2026-08-03 13:59:53,2026-08-03,2026-08,False
ATTEMPT0000038,ACC0013603,BRW0005942,2026-07-18 15:34:00,CALL0059425,AGT0000761,7,VND0000011,CONNECTED,38,2026-07-18 15:34:00,2026-07-18,2026-07,False
ATTEMPT0000039,ACC0005866,BRW0006093,2026-06-11 16:35:19,CALL0053165,AGT0000540,4,VND0000011,FAILED,39,2026-06-11 16:35:19,2026-06-11,2026-06,False
ATTEMPT0000040,ACC0008340,BRW0007858,2026-03-13 01:51:15,CALL0076186,AGT0000925,7,VND0000013,CONNECTED,40,2026-03-13 01:51:15,2026-03-13,2026-03,False
ATTEMPT0000041,ACC0002477,BRW0003062,2026-05-08 23:22:24,CALL0038332,AGT0000091,5,VND0000014,CONNECTED,41,2026-05-08 23:22:24,2026-05-08,2026-05,False
ATTEMPT0000042,ACC0010726,BRW0008458,2026-05-20 17:45:08,CALL0084023,AGT0000037,3,VND0000001,FAILED,42,2026-05-20 17:45:08,2026-05-20,2026-05,False
ATTEMPT0000043,ACC0018799,BRW0004498,2026-07-02 21:47:43,CALL0022303,AGT0000567,2,VND0000010,NO_ANSWER,43,2026-07-02 21:47:43,2026-07-02,2026-07,False
ATTEMPT0000044,ACC0026319,BRW0001437,2026-02-27 18:50:32,CALL0048113,AGT0000686,4,VND0000004,FAILED,44,2026-02-27 18:50:32,2026-02-27,2026-02,False
ATTEMPT0000045,ACC0025547,BRW0011930,2026-02-18 21:32:39,CALL0029428,AGT0000742,4,VND0000001,BUSY,45,2026-02-18 21:32:39,2026-02-18,2026-02,False
ATTEMPT0000046,ACC0019478,BRW0007706,2026-07-05 14:24:14,CALL0068984,AGT0000254,3,VND0000006,BUSY,46,2026-07-05 14:24:14,2026-07-05,2026-07,False
ATTEMPT0000047,ACC0014573,BRW0006709,2026-01-22 13:12:35,CALL0082135,AGT0000754,2,VND0000001,NO_ANSWER,47,2026-01-22 13:12:35,2026-01-22,2026-01,False
ATTEMPT0000048,ACC0027482,BRW0011541,2026-05-21 18:35:21,CALL0027023,AGT0000185,6,VND0000006,FAILED,48,2026-05-21 18:35:21,2026-05-21,2026-05,False
ATTEMPT0000049,ACC0023606,BRW0001281,2026-07-26 06:18:10,CALL0000188,AGT0000051,2,VND0000015,RINGING,49,2026-07-26 06:18:10,2026-07-26,2026-07,False
ATTEMPT0000050,ACC0026887,BRW0003019,2026-07-30 11:07:32,CALL0011747,AGT0000541,4,VND0000007,FAILED,50,2026-07-30 11:07:32,2026-07-30,2026-07,False
ATTEMPT0000051,ACC0024599,BRW0003921,2026-01-11 10:29:08,CALL0067142,AGT0000873,7,VND0000003,FAILED,51,2026-01-11 10:29:08,2026-01-11,2026-01,False
ATTEMPT0000052,ACC0009835,BRW0006558,2026-06-09 17:42:57,CALL0050148,AGT0000866,3,VND0000005,FAILED,52,2026-06-09 17:42:57,2026-06-09,2026-06,False
ATTEMPT0000053,ACC0014978,BRW0002645,2026-04-03 10:42:55,CALL0089725,AGT0000934,5,VND0000010,FAILED,53,2026-04-03 10:42:55,2026-04-03,2026-04,False
ATTEMPT0000054,ACC0011661,BRW0005735,2026-05-01 08:55:38,CALL0055091,AGT0000413,4,VND0000001,RINGING,54,2026-05-01 08:55:38,2026-05-01,2026-05,False
ATTEMPT0000055,ACC0010207,BRW0000150,2026-07-27 01:01:37,CALL0087046,AGT0000934,1,VND0000004,RINGING,55,2026-07-27 01:01:37,2026-07-27,2026-07,False
ATTEMPT0000056,ACC0005951,BRW0002863,2026-07-11 01:11:41,CALL0081567,AGT0000540,5,VND0000006,RINGING,56,2026-07-11 01:11:41,2026-07-11,2026-07,False
ATTEMPT0000057,ACC0022933,BRW0008579,2026-07-21 23:27:45,CALL0038715,AGT0000835,1,VND0000008,CONNECTED,57,2026-07-21 23:27:45,2026-07-21,2026-07,False
ATTEMPT0000058,ACC0015316,BRW0004075,2026-04-05 22:28:17,CALL0050802,AGT0000797,5,,CONNECTED,58,2026-04-05 22:28:17,2026-04-05,2026-04,False
ATTEMPT0000059,ACC0018914,BRW0000291,2026-01-09 17:47:48,CALL0034287,AGT0000042,1,VND0000013,CONNECTED,59,2026-01-09 17:47:48,2026-01-09,2026-01,False
ATTEMPT0000060,ACC0008611,BRW0006043,2026-05-24 17:39:08,CALL0070276,AGT0000193,3,VND0000003,FAILED,60,2026-05-24 17:39:08,2026-05-24,2026-05,False
ATTEMPT0000061,ACC0026196,BRW0007254,2026-01-01 05:56:43,CALL0030255,AGT0000674,4,VND0000010,BUSY,61,2026-01-01 05:56:43,2026-01-01,2026-01,False
ATTEMPT0000062,ACC0021072,BRW0009556,2026-03-15 17:56:55,CALL0024314,AGT0000555,3,VND0000009,BUSY,62,2026-03-15 17:56:55,2026-03-15,2026-03,False
