call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,_source_row_number,event_at_standardized,event_date,event_month,timestamp_parse_failed,account_borrower_id,borrower_account_mismatch_flag,account_timezone,account_timezone_comparison_flag,unknown_agent_flag,unknown_campaign_flag
CALL0000001,ACC0011505,BRW0007139,2026-07-15 15:36:22,AGT0000955,CMP0000015,OUTBOUND,VND0000013,NO_ANSWER,601,Asia/Dubai,1,2026-07-15 15:36:22,2026-07-15,2026-07,False,BRW0004617,True,UTC,True,False,False
CALL0000002,ACC0002025,BRW0006253,2026-06-10 06:48:27,AGT0000853,CMP0000060,OUTBOUND,VND0000001,ANSWERED,224,Asia/Kolkata,2,2026-06-10 06:48:27,2026-06-10,2026-06,False,BRW0000115,True,UTC,True,False,False
CALL0000003,ACC0013375,BRW0007663,2026-04-07 00:35:35,AGT0000525,CMP0000060,OUTBOUND,VND0000008,FAILED,7,Asia/Dubai,3,2026-04-07 00:35:35,2026-04-07,2026-04,False,BRW0011598,True,Asia/Dubai,False,False,False
CALL0000004,ACC0021534,BRW0008873,2026-02-12 14:16:57,AGT0000945,CMP0000060,OUTBOUND,VND0000001,VOICEMAIL,896,Asia/Dubai,4,2026-02-12 14:16:57,2026-02-12,2026-02,False,BRW0001028,True,UTC,True,False,False
CALL0000005,ACC0018502,BRW0004996,2026-05-24 15:33:12,AGT0000966,CMP0000053,OUTBOUND,VND0000006,ANSWERED,711,Asia/Kolkata,5,2026-05-24 15:33:12,2026-05-24,2026-05,False,BRW0005900,True,UTC,True,False,False
CALL0000006,ACC0011855,BRW0010726,2026-02-04 11:37:08,AGT0000864,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,18,Asia/Dubai,6,2026-02-04 11:37:08,2026-02-04,2026-02,False,BRW0010971,True,UTC,True,False,False
CALL0000007,ACC0027278,BRW0005268,2026-02-10 10:59:05,AGT0000524,CMP0000001,OUTBOUND,VND0000009,VOICEMAIL,825,Asia/Kolkata,7,2026-02-10 10:59:05,2026-02-10,2026-02,False,BRW0007769,True,Asia/Kolkata,False,False,False
CALL0000008,ACC0007144,BRW0001246,2026-06-14 23:37:56,AGT0000615,CMP0000115,OUTBOUND,VND0000003,VOICEMAIL,437,Asia/Dubai,8,2026-06-14 23:37:56,2026-06-14,2026-06,False,BRW0002816,True,Asia/Kolkata,True,False,False
CALL0000009,ACC0003902,BRW0010076,2026-03-17 16:24:42,AGT0000585,CMP0000090,OUTBOUND,VND0000012,VOICEMAIL,318,UTC,9,2026-03-17 16:24:42,2026-03-17,2026-03,False,BRW0007963,True,Asia/Kolkata,True,False,False
CALL0000010,ACC0009188,BRW0010503,2026-06-24 04:26:34,AGT0000238,CMP0000092,OUTBOUND,VND0000014,ANSWERED,260,UTC,10,2026-06-24 04:26:34,2026-06-24,2026-06,False,BRW0007074,True,Asia/Kolkata,True,False,False
CALL0000011,ACC0008811,BRW0000960,2026-07-23 14:50:00,AGT0000071,CMP0000098,OUTBOUND,VND0000011,NO_ANSWER,115,Asia/Dubai,11,2026-07-23 14:50:00,2026-07-23,2026-07,False,BRW0003340,True,Asia/Kolkata,True,False,False
CALL0000012,ACC0012258,BRW0003468,2026-02-12 20:40:45,AGT0000014,CMP0000107,INBOUND,VND0000008,BUSY,589,UTC,12,2026-02-12 20:40:45,2026-02-12,2026-02,False,BRW0011379,True,Asia/Dubai,True,False,False
CALL0000013,ACC0014154,BRW0006698,2026-05-30 17:57:19,AGT0000298,CMP0000074,INBOUND,VND0000012,VOICEMAIL,809,Asia/Dubai,13,2026-05-30 17:57:19,2026-05-30,2026-05,False,BRW0011312,True,Asia/Kolkata,True,False,False
CALL0000014,ACC0007396,BRW0005478,2026-01-10 17:09:15,AGT0000992,CMP0000098,OUTBOUND,VND0000008,VOICEMAIL,536,Asia/Dubai,14,2026-01-10 17:09:15,2026-01-10,2026-01,False,BRW0001764,True,UTC,True,False,False
CALL0000015,ACC0003819,BRW0010032,2026-06-13 22:35:10,AGT0000630,CMP0000028,OUTBOUND,VND0000007,FAILED,782,Asia/Dubai,15,2026-06-13 22:35:10,2026-06-13,2026-06,False,BRW0010971,True,UTC,True,False,False
CALL0000016,ACC0004194,BRW0007276,2026-01-01 10:44:31,AGT0000270,CMP0000078,OUTBOUND,VND0000012,FAILED,479,UTC,16,2026-01-01 10:44:31,2026-01-01,2026-01,False,BRW0002562,True,UTC,False,False,False
CALL0000017,ACC0000324,BRW0009995,2026-01-21 16:48:34,AGT0000198,CMP0000048,OUTBOUND,VND0000009,NO_ANSWER,772,Asia/Dubai,17,2026-01-21 16:48:34,2026-01-21,2026-01,False,BRW0002953,True,Asia/Kolkata,True,False,False
CALL0000018,ACC0000064,BRW0011457,2026-04-28 11:02:01,AGT0000040,CMP0000068,OUTBOUND,VND0000003,FAILED,230,UTC,18,2026-04-28 11:02:01,2026-04-28,2026-04,False,BRW0010395,True,Asia/Kolkata,True,False,False
