target_id,account_id,campaign_id,target_date,priority,recommended_channel,status,_source_row_number,target_date_standardized,target_month,timestamp_parse_failed,unknown_campaign_flag
TGT0000001,ACC0028555,CMP0000103,2026-04-22,4,FIELD,QUEUED,1,2026-04-22,2026-04,False,False
TGT0000002,ACC0007194,CMP0000100,2026-08-06,10,SMS,EXPIRED,2,2026-08-06,2026-08,False,False
TGT0000003,ACC0029550,CMP0000074,2026-05-20,5,SMS,CONTACTED,3,2026-05-20,2026-05,False,False
TGT0000004,ACC0012329,CMP0000046,2026-07-30,10,WHATSAPP,QUEUED,4,2026-07-30,2026-07,False,False
TGT0000005,ACC0018387,CMP0000118,2026-07-10,7,WHATSAPP,EXPIRED,5,2026-07-10,2026-07,False,False
TGT0000006,ACC0002016,CMP0000024,2026-03-07,6,FIELD,QUEUED,6,2026-03-07,2026-03,False,False
TGT0000007,ACC0019181,CMP0000038,2026-04-20,7,SMS,QUEUED,7,2026-04-20,2026-04,False,False
TGT0000008,ACC0004874,CMP0000107,2026-02-19,1,FIELD,EXPIRED,8,2026-02-19,2026-02,False,False
TGT0000009,ACC0012866,CMP0000109,2026-06-07,8,SMS,CONTACTED,9,2026-06-07,2026-06,False,False
TGT0000010,ACC0027621,CMP0000092,2026-06-07,8,WHATSAPP,SKIPPED,10,2026-06-07,2026-06,False,False
TGT0000011,ACC0016883,CMP0000119,2026-06-08,6,FIELD,EXPIRED,11,2026-06-08,2026-06,False,False
TGT0000012,ACC0018474,CMP0000008,2026-06-19,9,FIELD,CONTACTED,12,2026-06-19,2026-06,False,False
TGT0000013,ACC0019970,CMP0000081,2026-07-18,6,FIELD,QUEUED,13,2026-07-18,2026-07,False,False
TGT0000014,ACC0013902,CMP0000001,2026-07-18,9,WHATSAPP,EXPIRED,14,2026-07-18,2026-07,False,False
TGT0000015,ACC0000665,CMP0000068,2026-07-05,9,FIELD,SKIPPED,15,2026-07-05,2026-07,False,False
TGT0000016,ACC0008206,CMP0000113,2026-06-27,8,FIELD,CONTACTED,16,2026-06-27,2026-06,False,False
TGT0000017,ACC0005262,CMP0000002,2026-02-13,10,VOICE,QUEUED,17,2026-02-13,2026-02,False,False
TGT0000018,ACC0011994,CMP0000078,2026-01-22,4,FIELD,QUEUED,18,2026-01-22,2026-01,False,False
TGT0000019,ACC0001320,CMP0000119,2026-06-21,7,VOICE,EXPIRED,19,2026-06-21,2026-06,False,False
TGT0000020,ACC0023988,CMP0000058,2026-01-18,6,WHATSAPP,SKIPPED,20,2026-01-18,2026-01,False,False
TGT0000021,ACC0002648,CMP0000094,2026-02-05,3,WHATSAPP,SKIPPED,21,2026-02-05,2026-02,False,False
TGT0000022,ACC0018769,CMP0000014,2026-05-24,10,VOICE,CONTACTED,22,2026-05-24,2026-05,False,False
TGT0000023,ACC0024825,CMP0000013,2026-03-17,3,SMS,CONTACTED,23,2026-03-17,2026-03,False,False
TGT0000024,ACC0003886,CMP0000102,2026-03-06,9,VOICE,SKIPPED,24,2026-03-06,2026-03,False,False
TGT0000025,ACC0010488,CMP0000064,2026-04-01,5,WHATSAPP,CONTACTED,25,2026-04-01,2026-04,False,False
TGT0000026,ACC0015499,CMP0000081,2026-03-18,5,WHATSAPP,CONTACTED,26,2026-03-18,2026-03,False,False
TGT0000027,ACC0006767,CMP0000094,2026-02-06,2,SMS,CONTACTED,27,2026-02-06,2026-02,False,False
TGT0000028,ACC0011937,CMP0000002,2026-04-27,5,WHATSAPP,EXPIRED,28,2026-04-27,2026-04,False,False
TGT0000029,ACC0018191,CMP0000032,2026-07-09,7,SMS,CONTACTED,29,2026-07-09,2026-07,False,False
TGT0000030,ACC0002524,CMP0000088,2026-04-05,7,WHATSAPP,CONTACTED,30,2026-04-05,2026-04,False,False
TGT0000031,ACC0022003,CMP0000102,2026-03-18,3,FIELD,EXPIRED,31,2026-03-18,2026-03,False,False
TGT0000032,ACC0017042,CMP0000014,2026-07-18,5,VOICE,EXPIRED,32,2026-07-18,2026-07,False,False
TGT0000033,ACC0016678,CMP0000082,2026-05-02,6,SMS,SKIPPED,33,2026-05-02,2026-05,False,False
TGT0000034,ACC0000003,CMP0000022,2026-06-09,9,VOICE,EXPIRED,34,2026-06-09,2026-06,False,False
TGT0000035,ACC0008900,CMP0000008,2026-01-13,9,VOICE,CONTACTED,35,2026-01-13,2026-01,False,False
TGT0000036,ACC0017795,CMP0000118,2026-04-10,3,FIELD,CONTACTED,36,2026-04-10,2026-04,False,False
TGT0000037,ACC0003514,CMP0000112,2026-07-08,4,SMS,SKIPPED,37,2026-07-08,2026-07,False,False
TGT0000038,ACC0022525,CMP0000044,2026-06-24,1,VOICE,EXPIRED,38,2026-06-24,2026-06,False,False
TGT0000039,ACC0016166,CMP0000089,2026-02-18,4,FIELD,CONTACTED,39,2026-02-18,2026-02,False,False
TGT0000040,ACC0024253,CMP0000045,2026-05-05,2,FIELD,QUEUED,40,2026-05-05,2026-05,False,False
TGT0000041,ACC0025998,CMP0000050,2026-01-22,3,VOICE,CONTACTED,41,2026-01-22,2026-01,False,False
TGT0000042,ACC0005430,CMP0000083,2026-05-07,5,FIELD,CONTACTED,42,2026-05-07,2026-05,False,False
TGT0000043,ACC0002062,CMP0000071,2026-04-08,3,SMS,EXPIRED,43,2026-04-08,2026-04,False,False
TGT0000044,ACC0011850,CMP0000099,2026-03-22,4,FIELD,SKIPPED,44,2026-03-22,2026-03,False,False
TGT0000045,ACC0023119,CMP0000115,2026-05-31,9,FIELD,EXPIRED,45,2026-05-31,2026-05,False,False
TGT0000046,ACC0018563,CMP0000098,2026-04-10,10,WHATSAPP,QUEUED,46,2026-04-10,2026-04,False,False
TGT0000047,ACC0008956,CMP0000008,2026-02-21,2,WHATSAPP,CONTACTED,47,2026-02-21,2026-02,False,False
TGT0000048,ACC0019228,CMP0000110,2026-07-12,7,VOICE,SKIPPED,48,2026-07-12,2026-07,False,False
TGT0000049,ACC0027198,CMP0000030,2026-07-15,6,FIELD,SKIPPED,49,2026-07-15,2026-07,False,False
TGT0000050,ACC0016159,CMP0000105,2026-03-25,4,FIELD,CONTACTED,50,2026-03-25,2026-03,False,False
TGT0000051,ACC0023274,CMP0000091,2026-02-15,9,FIELD,CONTACTED,51,2026-02-15,2026-02,False,False
TGT0000052,ACC0028990,CMP0000063,2026-03-12,10,WHATSAPP,EXPIRED,52,2026-03-12,2026-03,False,False
TGT0000053,ACC0006494,CMP0000085,2026-05-27,1,WHATSAPP,QUEUED,53,2026-05-27,2026-05,False,False
TGT0000054,ACC0003801,CMP0000091,2026-01-10,6,WHATSAPP,CONTACTED,54,2026-01-10,2026-01,False,False
TGT0000055,ACC0022083,CMP0000080,2026-06-14,7,WHATSAPP,CONTACTED,55,2026-06-14,2026-06,False,False
TGT0000056,ACC0013235,CMP0000060,2026-03-01,9,WHATSAPP,QUEUED,56,2026-03-01,2026-03,False,False
TGT0000057,ACC0026673,CMP0000012,2026-07-25,2,WHATSAPP,CONTACTED,57,2026-07-25,2026-07,False,False
TGT0000058,ACC0011665,CMP0000016,2026-05-09,7,SMS,QUEUED,58,2026-05-09,2026-05,False,False
TGT0000059,ACC0000096,CMP0000028,2026-08-03,1,VOICE,QUEUED,59,2026-08-03,2026-08,False,False
TGT0000060,ACC0005100,CMP0000066,2026-07-10,9,SMS,SKIPPED,60,2026-07-10,2026-07,False,False
