dataset,column,dtype,_source_row_number
borrowers,borrower_id,object,1
borrowers,name,object,2
borrowers,phone,object,3
borrowers,email,object,4
borrowers,city,object,5
borrowers,created_at,datetime64[ns],6
borrowers,updated_at,datetime64[ns],7
borrowers,state,object,8
accounts,account_id,object,9
accounts,borrower_id,object,10
accounts,loan_type,object,11
accounts,principal_amount,float64,12
accounts,outstanding_amount,float64,13
accounts,dpd,int64,14
accounts,risk_segment,object,15
accounts,status,object,16
accounts,opened_at,datetime64[ns],17
accounts,timezone,object,18
accounts,schema_version,object,19
agents,agent_id,object,20
agents,employee_code,object,21
agents,agent_name,object,22
agents,vendor_id,object,23
agents,team,object,24
agents,status,object,25
agents,joined_at,datetime64[ns],26
agents,updated_at,datetime64[ns],27
agent_sessions,session_id,object,28
agent_sessions,agent_id,object,29
agent_sessions,login_at,datetime64[ns],30
agent_sessions,channel,object,31
agent_sessions,device_id,object,32
agent_sessions,timezone,object,33
agent_sessions,logout_at,datetime64[ns],34
campaigns,campaign_id,object,35
campaigns,campaign_name,object,36
campaigns,channel,object,37
campaigns,strategy_version,object,38
campaigns,start_at,datetime64[ns],39
campaigns,target_definition,object,40
campaigns,end_at,datetime64[ns],41
daily_targeting,target_id,object,42
daily_targeting,account_id,object,43
daily_targeting,campaign_id,object,44
daily_targeting,target_date,datetime64[ns],45
daily_targeting,priority,int64,46
daily_targeting,recommended_channel,object,47
daily_targeting,status,object,48
calls,call_id,object,49
calls,account_id,object,50
calls,borrower_id,object,51
calls,event_at,datetime64[ns],52
calls,agent_id,object,53
calls,campaign_id,object,54
calls,direction,object,55
calls,vendor_id,object,56
calls,call_status,object,57
calls,duration_sec,int64,58
calls,timezone,object,59
call_attempts,attempt_id,object,60
call_attempts,account_id,object,61
call_attempts,borrower_id,object,62
call_attempts,event_at,datetime64[ns],63
call_attempts,call_id,object,64
call_attempts,agent_id,object,65
call_attempts,attempt_no,int64,66
call_attempts,vendor_id,object,67
call_attempts,attempt_status,object,68
call_dispositions,disposition_id,object,69
call_dispositions,account_id,object,70
call_dispositions,borrower_id,object,71
call_dispositions,event_at,datetime64[ns],72
call_dispositions,call_id,object,73
call_dispositions,agent_id,object,74
call_dispositions,disposition_code,object,75
call_dispositions,disposition_version,object,76
whatsapp_events,whatsapp_event_id,object,77
whatsapp_events,account_id,object,78
whatsapp_events,borrower_id,object,79
whatsapp_events,event_at,datetime64[ns],80
whatsapp_events,message_id,object,81
whatsapp_events,event_type,object,82
whatsapp_events,template_code,object,83
whatsapp_events,provider_id,object,84
sms_events,sms_event_id,object,85
sms_events,account_id,object,86
sms_events,borrower_id,object,87
sms_events,event_at,datetime64[ns],88
sms_events,message_id,object,89
sms_events,event_type,object,90
sms_events,template_code,object,91
sms_events,provider_id,object,92
field_visits,visit_id,object,93
field_visits,account_id,object,94
field_visits,borrower_id,object,95
field_visits,event_at,datetime64[ns],96
field_visits,agent_id,object,97
field_visits,visit_type,object,98
field_visits,outcome,object,99
field_visits,latitude,float64,100
field_visits,longitude,float64,101
field_visits,scheduled_at,datetime64[ns],102
promises_to_pay,ptp_id,object,103
promises_to_pay,account_id,object,104
promises_to_pay,borrower_id,object,105
promises_to_pay,event_at,datetime64[ns],106
promises_to_pay,agent_id,object,107
promises_to_pay,promised_amount,float64,108
promises_to_pay,promised_date,datetime64[ns],109
promises_to_pay,status,object,110
promises_to_pay,source,object,111
payments,payment_id,object,112
payments,account_id,object,113
payments,borrower_id,object,114
payments,event_at,datetime64[ns],115
payments,payment_reference,object,116
payments,amount,float64,117
payments,payment_status,object,118
payments,payment_method,object,119
payments,provider_id,object,120
vendor_telephony,vendor_id,object,121
vendor_telephony,vendor_name,object,122
vendor_telephony,vendor_account_id,object,123
vendor_telephony,timezone,object,124
vendor_telephony,status,object,125
vendor_telephony,schema_version,object,126
complaints,complaint_id,object,127
complaints,account_id,object,128
complaints,borrower_id,object,129
complaints,event_at,datetime64[ns],130
complaints,complaint_type,object,131
complaints,severity,object,132
complaints,status,object,133
complaints,source,object,134
complaints,resolution_at,datetime64[ns],135
account_status_history,history_id,object,136
account_status_history,account_id,object,137
account_status_history,borrower_id,object,138
account_status_history,event_at,datetime64[ns],139
account_status_history,status,object,140
account_status_history,changed_by,object,141
account_status_history,source,object,142
account_status_history,recorded_at,datetime64[ns],143
