account_id,borrower_id,loan_type,principal_amount,outstanding_amount,dpd,risk_segment,status,payment_count,total_payment_amount,recovered_account,total_calls,total_call_duration_sec,total_attempts,disposition_events,call_campaign_count,vendor_count,agent_count,targeting_events,targeting_campaigns,call_exposed,attempt_exposed,targeted_account
ACC0000001,BRW0010742,CONSUMER,603443.4,678074.03,15,MEDIUM,CLOSED,1,114222.84,1,1,44,5,2,1,1,1,3,2,1,1,1
ACC0000002,BRW0009382,BNPL,277190.14,464893.44,5,LOW,ACTIVE,0,0.0,0,5,1238,2,0,5,4,5,3,3,1,1,1
ACC0000003,BRW0003966,CREDIT_CARD,628658.43,22565.37,60,NPA,WRITEOFF,2,118181.69,1,3,1937,1,0,3,2,3,1,1,1,1,1
ACC0000004,BRW0001993,PERSONAL,76435.07,508427.73,30,LOW,CLOSED,1,120763.0,1,0,0,8,1,0,0,0,1,1,0,1,1
ACC0000005,BRW0009976,CONSUMER,646797.08,563858.01,180,LOW,WRITEOFF,0,0.0,0,0,0,4,0,0,0,0,0,0,0,1,0
ACC0000006,,BNPL,502458.93,326675.14,45,MEDIUM,CLOSED,0,0.0,0,8,4463,4,1,8,7,8,1,1,1,1,1
ACC0000007,BRW0000727,BNPL,264110.65,438792.97,45,MEDIUM,CLOSED,0,0.0,0,3,1084,3,1,3,3,3,3,3,1,1,1
ACC0000008,BRW0011565,PERSONAL,25601.77,413180.65,1,MEDIUM,WRITEOFF,1,129255.53,1,4,2104,3,2,4,4,4,1,1,1,1,1
ACC0000009,BRW0009929,AUTO,468473.94,546432.13,0,NPA,PAID,0,0.0,0,2,1158,3,0,2,2,2,1,1,1,1,1
ACC0000010,BRW0010210,CREDIT_CARD,503912.27,480229.21,120,NPA,ACTIVE,1,113781.45,1,3,1953,7,1,3,3,3,4,4,1,1,1
ACC0000011,BRW0008297,CONSUMER,664562.9,443718.0,180,NPA,ACTIVE,2,149971.41,1,3,1382,6,0,3,3,3,0,0,1,1,0
ACC0000012,BRW0000227,CONSUMER,625295.8,200739.85,90,HIGH,WRITEOFF,0,0.0,0,3,971,4,0,3,3,3,0,0,1,1,0
ACC0000013,BRW0011628,BNPL,775832.27,563492.59,1,MEDIUM,CLOSED,0,0.0,0,3,2090,3,2,3,2,3,3,3,1,1,1
ACC0000014,BRW0000483,BNPL,663562.94,309754.88,60,MEDIUM,WRITEOFF,1,81878.72,1,4,1684,4,2,4,4,4,2,2,1,1,1
ACC0000015,,CREDIT_CARD,458992.65,571588.51,180,NPA,PAID,1,43465.37,1,2,992,3,1,2,2,2,2,2,1,1,1
ACC0000016,BRW0007427,CREDIT_CARD,20937.2,219141.72,180,LOW,WRITEOFF,0,0.0,0,6,1795,4,0,6,6,6,3,3,1,1,1
ACC0000017,BRW0011295,BNPL,534698.26,5858.33,180,NPA,ACTIVE,1,122777.3,0,4,2478,6,1,4,3,4,2,2,1,1,1
ACC0000018,BRW0009176,PERSONAL,112252.25,400488.89,45,LOW,WRITEOFF,0,0.0,0,5,1726,7,0,4,3,5,0,0,1,1,0
ACC0000019,BRW0006604,BNPL,396730.22,466998.79,90,MEDIUM,PAID,0,0.0,0,1,315,2,2,1,1,1,1,1,1,1,1
ACC0000020,BRW0009853,PERSONAL,161866.22,45094.95,45,NPA,WRITEOFF,0,0.0,0,6,2484,1,1,6,5,6,1,1,1,1,1
ACC0000021,BRW0007548,PERSONAL,239747.43,360763.28,1,HIGH,ACTIVE,2,261163.65,1,4,1706,2,0,4,4,4,2,2,1,1,1
ACC0000022,BRW0008984,CREDIT_CARD,124527.1,164021.52,75,HIGH,PAID,0,0.0,0,0,0,10,0,0,0,0,2,2,0,1,1
ACC0000023,BRW0011800,CREDIT_CARD,423258.91,640336.97,60,HIGH,WRITEOFF,0,0.0,0,1,283,4,0,1,1,1,2,2,1,1,1
ACC0000024,BRW0004644,CREDIT_CARD,437637.9,541188.19,0,HIGH,CLOSED,3,245577.99000000002,1,3,1104,2,2,3,3,3,1,1,1,1,1
ACC0000025,BRW0000342,PERSONAL,689186.96,163102.81,5,LOW,PAID,0,0.0,0,1,285,6,2,1,1,1,3,3,1,1,1
ACC0000026,BRW0007096,CREDIT_CARD,468523.01,340005.73,45,MEDIUM,ACTIVE,0,0.0,0,2,1462,6,1,2,2,2,0,0,1,1,0
ACC0000027,BRW0003569,PERSONAL,658817.16,84250.6,75,HIGH,PAID,1,68811.42,0,3,2151,4,0,3,3,3,2,2,1,1,1
ACC0000028,BRW0006881,AUTO,257105.45,76946.8,1,LOW,PAID,2,182165.47,1,2,1115,4,2,2,1,2,1,1,1,1,1
ACC0000029,BRW0004858,CREDIT_CARD,543313.14,397975.88,60,NPA,PAID,2,105879.45000000001,1,4,2209,3,3,4,4,4,4,4,1,1,1
ACC0000030,BRW0008905,PERSONAL,64916.48,430667.35,75,LOW,CLOSED,0,0.0,0,5,2659,2,1,5,5,5,1,1,1,1,1
ACC0000031,BRW0007251,CONSUMER,447379.28,52195.38,120,MEDIUM,ACTIVE,1,11945.56,0,2,869,4,0,2,2,2,1,1,1,1,1
ACC0000032,BRW0007025,PERSONAL,613766.91,163166.21,75,HIGH,WRITEOFF,1,148264.74,1,4,911,3,0,4,4,4,2,2,1,1,1
ACC0000033,BRW0009758,CONSUMER,643485.7,537562.04,45,LOW,WRITEOFF,1,100466.02,1,4,1774,3,2,4,4,4,0,0,1,1,0
ACC0000034,BRW0005128,AUTO,418210.77,477990.41,15,NPA,CLOSED,1,82513.7,0,3,711,1,1,3,3,3,0,0,1,1,0
ACC0000035,BRW0002802,BNPL,641783.62,376837.41,30,LOW,PAID,0,0.0,0,6,1967,5,0,6,5,6,0,0,1,1,0
ACC0000036,BRW0008512,CREDIT_CARD,203070.58,43455.51,30,NPA,PAID,1,3510.6,0,0,0,3,1,0,0,0,2,2,0,1,1
ACC0000037,BRW0004042,AUTO,213569.42,444063.0,30,NPA,ACTIVE,3,212795.78999999998,1,1,730,2,2,1,1,1,0,0,1,1,0
ACC0000038,BRW0003902,BNPL,304992.91,99202.51,120,NPA,WRITEOFF,0,0.0,0,4,1483,4,1,4,4,3,0,0,1,1,0
ACC0000039,BRW0008101,PERSONAL,418639.85,307479.36,45,MEDIUM,WRITEOFF,0,0.0,0,1,690,6,5,1,1,1,1,1,1,1,1
ACC0000040,BRW0001009,AUTO,321055.75,51188.04,90,LOW,CLOSED,2,99852.54,1,4,1209,1,0,4,3,4,0,0,1,1,0
ACC0000041,BRW0009805,PERSONAL,428408.26,434086.27,0,MEDIUM,PAID,1,90214.14,0,2,659,5,3,2,2,2,3,3,1,1,1
ACC0000042,BRW0002352,CREDIT_CARD,25786.31,398194.73,75,HIGH,WRITEOFF,0,0.0,0,3,1840,5,0,3,2,3,3,3,1,1,1
ACC0000043,BRW0000499,PERSONAL,458168.93,10596.55,45,MEDIUM,ACTIVE,1,11710.27,1,2,509,4,2,2,2,2,2,2,1,1,1
ACC0000044,BRW0009131,AUTO,674601.58,93976.57,90,LOW,WRITEOFF,0,0.0,0,2,1139,2,0,2,2,2,4,4,1,1,1
ACC0000045,BRW0011298,PERSONAL,609460.11,588888.35,1,LOW,WRITEOFF,1,97321.33,1,2,712,1,1,2,1,2,2,2,1,1,1
ACC0000046,BRW0001750,CONSUMER,533383.69,487057.57,30,LOW,PAID,1,45021.98,1,4,1916,1,0,4,4,4,2,2,1,1,1
ACC0000047,BRW0006449,CONSUMER,742319.12,134904.57,90,LOW,PAID,2,186011.51,1,4,2141,2,0,4,4,4,0,0,1,1,0
ACC0000048,BRW0002427,CONSUMER,509403.34,563305.29,0,LOW,ACTIVE,3,231156.78000000003,1,1,89,5,1,1,1,1,3,3,1,1,1
ACC0000049,BRW0010045,BNPL,303559.08,418724.32,15,MEDIUM,CLOSED,0,0.0,0,3,1095,4,0,3,3,3,3,3,1,1,1
ACC0000050,BRW0003242,BNPL,224912.24,213884.7,15,NPA,CLOSED,1,123356.26,0,7,3662,3,2,7,6,7,1,1,1,1,1
ACC0000051,BRW0009029,AUTO,585437.79,580808.7,60,NPA,ACTIVE,2,143959.82,1,3,409,3,3,3,3,3,1,1,1,1,1
ACC0000052,BRW0011461,CONSUMER,218304.35,676258.98,60,MEDIUM,PAID,0,0.0,0,2,1158,4,0,2,2,2,1,1,1,1,1
ACC0000053,BRW0003516,PERSONAL,227805.57,480332.44,30,LOW,WRITEOFF,0,0.0,0,2,1427,5,0,2,2,1,1,1,1,1,1
ACC0000054,BRW0007506,PERSONAL,65927.93,647780.81,15,MEDIUM,PAID,0,0.0,0,4,760,2,1,4,3,4,1,1,1,1,1
