agent_count,accounts,recovered_accounts,unrecovered_accounts,recovery_amount,avg_calls,avg_attempts,avg_dpd,avg_outstanding_amount,recovery_rate_pct
0,1695,728.0,967.0,104768485.03,0.06,3.99,55.43,351912.75,42.95
1,4572,2013.0,2559.0,289635467.07,1.06,3.99,56.84,348298.93,44.03
2,6799,2975.0,3824.0,422106969.06,2.06,3.97,56.42,352811.42,43.76
3,6758,3007.0,3751.0,426214499.9,3.06,4.05,56.59,353341.27,44.5
4,4945,2202.0,2743.0,308419313.81,4.06,4.02,56.98,343246.85,44.53
5,2881,1271.0,1610.0,180028826.38,5.06,4.02,56.19,348427.53,44.12
6,1419,647.0,772.0,88641558.13,6.07,3.85,56.22,343212.01,45.6
7,612,284.0,328.0,36665749.17,7.1,4.09,56.34,349767.96,46.41
8,224,112.0,112.0,15699975.8,8.06,4.08,56.35,339660.28,50.0
9,65,32.0,33.0,4828732.67,9.08,3.63,48.08,376107.6,49.23
10,20,9.0,11.0,1425820.85,10.0,4.4,44.6,344491.69,45.0
11,7,2.0,5.0,268850.68,11.0,4.29,90.0,395168.26,28.57
12,2,1.0,1.0,43948.31,12.0,4.5,30.0,231715.94,50.0
13,1,1.0,0.0,144076.03,13.0,5.0,30.0,573817.03,100.0
