agent_count,accounts,recovered_accounts,unrecovered_accounts,recovery_rate_pct,recovery_amount,avg_dpd,avg_outstanding_amount
0,1695,728.0,967.0,42.95,104768485.03,55.43,351912.75
1,4572,2013.0,2559.0,44.03,289635467.07,56.84,348298.93
2,6799,2975.0,3824.0,43.76,422106969.06,56.42,352811.42
3,6758,3007.0,3751.0,44.5,426214499.9,56.59,353341.27
4,4945,2202.0,2743.0,44.53,308419313.81,56.98,343246.85
5,2881,1271.0,1610.0,44.12,180028826.38,56.19,348427.53
6,1419,647.0,772.0,45.6,88641558.13,56.22,343212.01
7,612,284.0,328.0,46.41,36665749.17,56.34,349767.96
8,224,112.0,112.0,50.0,15699975.8,56.35,339660.28
9,65,32.0,33.0,49.23,4828732.67,48.08,376107.6
10,20,9.0,11.0,45.0,1425820.85,44.6,344491.68
11,7,2.0,5.0,28.57,268850.68,90.0,395168.26
12,2,1.0,1.0,50.0,43948.31,30.0,231715.94
13,1,1.0,0.0,100.0,144076.03,30.0,573817.03
