call_campaign_count,accounts,recovered_accounts,unrecovered_accounts,recovery_rate_pct,recovery_amount,avg_dpd,avg_outstanding_amount
0,1592,688.0,904.0,43.22,98781068.85,55.8,350842.88
1,4470,1974.0,2496.0,44.16,282762237.78,57.06,349181.37
2,6741,2958.0,3783.0,43.88,416685468.05,55.73,352745.06
3,6881,3024.0,3857.0,43.95,432861543.31,57.11,352046.65
4,5017,2257.0,2760.0,44.99,315294990.1,57.13,344170.55
5,2933,1294.0,1639.0,44.12,184285495.53,55.47,348929.73
6,1455,658.0,797.0,45.22,90487595.05,56.19,342422.24
7,598,278.0,320.0,46.49,35409323.35,55.52,353606.28
8,226,112.0,114.0,49.56,16770055.88,60.02,352558.92
9,65,32.0,33.0,49.23,4242980.9,55.71,337131.31
10,17,6.0,11.0,35.29,1014229.15,55.65,355806.68
11,3,1.0,2.0,33.33,109260.6,50.0,298036.2
12,1,1.0,0.0,100.0,43948.31,15.0,461344.76
13,1,1.0,0.0,100.0,144076.03,30.0,573817.03
