vendor_count,accounts,recovered_accounts,unrecovered_accounts,recovery_rate_pct,recovery_amount,avg_dpd,avg_outstanding_amount
0,1592,688.0,904.0,43.22,98781068.85,55.8,350842.88
1,4902,2177.0,2725.0,44.41,312262666.22,56.79,349776.56
2,7615,3282.0,4333.0,43.1,464315232.77,56.74,353375.68
3,7409,3304.0,4105.0,44.59,466490135.81,56.31,349870.15
4,4846,2166.0,2680.0,44.7,306169038.51,56.76,343986.16
5,2438,1106.0,1332.0,45.37,153016210.25,56.45,350215.27
6,925,422.0,503.0,45.62,59340508.96,55.49,342847.62
7,218,108.0,110.0,49.54,13579027.24,55.43,343126.65
8,46,25.0,21.0,54.35,4357163.85,43.67,371647.02
9,8,6.0,2.0,75.0,581220.43,69.38,324630.63
10,1,0.0,1.0,0.0,0.0,30.0,334884.19
