dataset,column,rows,unique_values
account_status_history,history_id,60000,60000
accounts,account_id,30000,30000
agent_sessions,session_id,15000,15000
call_attempts,attempt_id,120000,120000
call_dispositions,disposition_id,35000,35000
campaigns,campaign_id,120,120
campaigns,start_at,120,120
campaigns,end_at,120,120
complaints,complaint_id,8000,8000
daily_targeting,target_id,45000,45000
field_visits,visit_id,25000,25000
field_visits,latitude,25000,25000
field_visits,longitude,25000,25000
promises_to_pay,ptp_id,18000,18000
sms_events,sms_event_id,45000,45000
vendor_telephony,vendor_id,15,15
vendor_telephony,vendor_account_id,15,15
