account_id,recovered_account,recovery_amount,total_calls,total_attempts,call_exposure_group,attempt_exposure_group
ACC0000001,1,114222.84,1.0,5.0,Low,Medium
ACC0000002,0,0.0,5.0,2.0,High,Low
ACC0000003,1,118181.69,3.0,1.0,Medium,Low
ACC0000004,1,120763.0,0.0,8.0,Low,High
ACC0000005,0,0.0,0.0,4.0,Low,Medium
ACC0000006,0,0.0,8.0,4.0,High,Medium
ACC0000007,0,0.0,3.0,3.0,Medium,Medium
ACC0000008,1,129255.53,4.0,3.0,Medium,Medium
ACC0000009,0,0.0,2.0,3.0,Low,Medium
ACC0000010,1,113781.45,3.0,7.0,Medium,High
ACC0000011,1,98816.74,3.0,6.0,Medium,High
ACC0000012,0,0.0,3.0,4.0,Medium,Medium
ACC0000013,0,0.0,3.0,3.0,Medium,Medium
ACC0000014,1,81878.72,4.0,4.0,Medium,Medium
ACC0000015,1,43465.37,2.0,3.0,Low,Medium
ACC0000016,0,0.0,6.0,4.0,High,Medium
ACC0000017,0,0.0,4.0,6.0,Medium,High
ACC0000018,0,0.0,5.0,7.0,High,High
ACC0000019,0,0.0,1.0,2.0,Low,Low
ACC0000020,0,0.0,6.0,1.0,High,Low
ACC0000021,1,261163.65,4.0,2.0,Medium,Low
ACC0000022,0,0.0,0.0,10.0,Low,High
ACC0000023,0,0.0,1.0,4.0,Low,Medium
ACC0000024,1,21978.42,3.0,2.0,Medium,Low
ACC0000025,0,0.0,1.0,6.0,Low,High
ACC0000026,0,0.0,2.0,6.0,Low,High
ACC0000027,0,0.0,3.0,4.0,Medium,Medium
ACC0000028,1,182165.47,2.0,4.0,Low,Medium
ACC0000029,1,54002.91,4.0,3.0,Medium,Medium
ACC0000030,0,0.0,5.0,2.0,High,Low
ACC0000031,0,0.0,2.0,4.0,Low,Medium
ACC0000032,1,148264.74,4.0,3.0,Medium,Medium
ACC0000033,1,100466.02,4.0,3.0,Medium,Medium
ACC0000034,0,0.0,3.0,1.0,Medium,Low
ACC0000035,0,0.0,6.0,5.0,High,Medium
ACC0000036,0,0.0,0.0,3.0,Low,Medium
ACC0000037,1,171367.8,1.0,2.0,Low,Low
ACC0000038,0,0.0,4.0,4.0,Medium,Medium
ACC0000039,0,0.0,1.0,6.0,Low,High
ACC0000040,1,99852.54,4.0,1.0,Medium,Low
ACC0000041,0,0.0,2.0,5.0,Low,Medium
ACC0000042,0,0.0,3.0,5.0,Medium,Medium
ACC0000043,1,11710.27,2.0,4.0,Low,Medium
ACC0000044,0,0.0,2.0,2.0,Low,Low
ACC0000045,1,97321.33,2.0,1.0,Low,Low
ACC0000046,1,45021.98,4.0,1.0,Medium,Low
ACC0000047,1,186011.51,4.0,2.0,Medium,Low
ACC0000048,1,231156.78,1.0,5.0,Low,Medium
ACC0000049,0,0.0,3.0,4.0,Medium,Medium
ACC0000050,0,0.0,7.0,3.0,High,Medium
ACC0000051,1,33112.26,3.0,3.0,Medium,Medium
ACC0000052,0,0.0,2.0,4.0,Low,Medium
ACC0000053,0,0.0,2.0,5.0,Low,Medium
ACC0000054,0,0.0,4.0,2.0,Medium,Low
ACC0000055,0,0.0,2.0,6.0,Low,High
ACC0000056,1,81814.0,5.0,6.0,High,High
ACC0000057,0,0.0,6.0,5.0,High,Medium
ACC0000058,0,0.0,2.0,4.0,Low,Medium
ACC0000059,0,0.0,1.0,7.0,Low,High
ACC0000060,0,0.0,3.0,6.0,Medium,High
ACC0000061,1,100529.08,0.0,2.0,Low,Low
ACC0000062,0,0.0,5.0,2.0,High,Low
ACC0000063,0,0.0,3.0,3.0,Medium,Medium
ACC0000064,0,0.0,2.0,0.0,Low,Low
ACC0000065,0,0.0,3.0,2.0,Medium,Low
ACC0000066,0,0.0,5.0,0.0,High,Low
ACC0000067,1,125857.57,6.0,2.0,High,Low
ACC0000068,1,144861.95,2.0,2.0,Low,Low
ACC0000069,1,2701.59,4.0,5.0,Medium,Medium
ACC0000070,1,107300.48999999999,2.0,1.0,Low,Low
ACC0000071,1,82726.09,4.0,3.0,Medium,Medium
ACC0000072,0,0.0,4.0,4.0,Medium,Medium
ACC0000073,0,0.0,2.0,2.0,Low,Low
ACC0000074,1,112086.4,3.0,4.0,Medium,Medium
ACC0000075,0,0.0,2.0,3.0,Low,Medium
ACC0000076,0,0.0,4.0,3.0,Medium,Medium
ACC0000077,0,0.0,5.0,6.0,High,High
ACC0000078,0,0.0,3.0,1.0,Medium,Low
ACC0000079,0,0.0,3.0,7.0,Medium,High
ACC0000080,0,0.0,4.0,1.0,Medium,Low
ACC0000081,0,0.0,3.0,5.0,Medium,Medium
ACC0000082,0,0.0,5.0,4.0,High,Medium
ACC0000083,0,0.0,3.0,2.0,Medium,Low
ACC0000084,1,39941.74,3.0,5.0,Medium,Medium
ACC0000085,0,0.0,3.0,4.0,Medium,Medium
ACC0000086,1,18292.25,4.0,5.0,Medium,Medium
ACC0000087,0,0.0,1.0,3.0,Low,Medium
ACC0000088,0,0.0,2.0,4.0,Low,Medium
ACC0000089,0,0.0,4.0,1.0,Medium,Low
ACC0000090,1,51352.77,5.0,4.0,High,Medium
ACC0000091,0,0.0,4.0,6.0,Medium,High
ACC0000092,0,0.0,1.0,5.0,Low,Medium
ACC0000093,1,76806.42,4.0,8.0,Medium,High
ACC0000094,0,0.0,2.0,2.0,Low,Low
ACC0000095,0,0.0,1.0,2.0,Low,Low
ACC0000096,0,0.0,1.0,3.0,Low,Medium
ACC0000097,0,0.0,5.0,4.0,High,Medium
ACC0000098,0,0.0,6.0,4.0,High,Medium
ACC0000099,1,73020.06,6.0,3.0,High,Medium
ACC0000100,0,0.0,3.0,4.0,Medium,Medium
ACC0000101,0,0.0,2.0,1.0,Low,Low
ACC0000102,1,194037.91,1.0,8.0,Low,High
ACC0000103,0,0.0,3.0,4.0,Medium,Medium
ACC0000104,0,0.0,8.0,5.0,High,Medium
ACC0000105,0,0.0,2.0,0.0,Low,Low
ACC0000106,0,0.0,4.0,4.0,Medium,Medium
ACC0000107,1,92102.15,4.0,3.0,Medium,Medium
ACC0000108,0,0.0,3.0,5.0,Medium,Medium
ACC0000109,1,106402.6,2.0,9.0,Low,High
ACC0000110,0,0.0,3.0,3.0,Medium,Medium
ACC0000111,1,203051.84,6.0,5.0,High,Medium
ACC0000112,1,89158.45,5.0,3.0,High,Medium
ACC0000113,1,17339.29,3.0,6.0,Medium,High
ACC0000114,0,0.0,3.0,6.0,Medium,High
ACC0000115,1,86309.24,3.0,4.0,Medium,Medium
ACC0000116,0,0.0,7.0,3.0,High,Medium
ACC0000117,0,0.0,3.0,4.0,Medium,Medium
ACC0000118,0,0.0,4.0,3.0,Medium,Medium
ACC0000119,1,101828.2,3.0,5.0,Medium,Medium
ACC0000120,1,149993.55,4.0,5.0,Medium,Medium
ACC0000121,1,31643.02,1.0,2.0,Low,Low
ACC0000122,0,0.0,7.0,4.0,High,Medium
ACC0000123,0,0.0,2.0,8.0,Low,High
ACC0000124,1,392956.56,0.0,5.0,Low,Medium
ACC0000125,0,0.0,1.0,5.0,Low,Medium
ACC0000126,1,138805.01,4.0,4.0,Medium,Medium
ACC0000127,1,44254.11,3.0,1.0,Medium,Low
ACC0000128,0,0.0,1.0,5.0,Low,Medium
ACC0000129,1,113253.76,10.0,5.0,High,Medium
ACC0000130,0,0.0,3.0,3.0,Medium,Medium
ACC0000131,0,0.0,4.0,6.0,Medium,High
ACC0000132,1,135683.49,2.0,7.0,Low,High
ACC0000133,0,0.0,2.0,3.0,Low,Medium
ACC0000134,0,0.0,5.0,0.0,High,Low
ACC0000135,1,130215.07,5.0,4.0,High,Medium
ACC0000136,0,0.0,2.0,3.0,Low,Medium
ACC0000137,0,0.0,2.0,5.0,Low,Medium
ACC0000138,0,0.0,5.0,3.0,High,Medium
ACC0000139,0,0.0,3.0,0.0,Medium,Low
ACC0000140,1,266529.84,1.0,4.0,Low,Medium
ACC0000141,0,0.0,2.0,5.0,Low,Medium
ACC0000142,0,0.0,4.0,1.0,Medium,Low
ACC0000143,1,51254.98,3.0,1.0,Medium,Low
ACC0000144,0,0.0,5.0,5.0,High,Medium
ACC0000145,0,0.0,0.0,5.0,Low,Medium
ACC0000146,0,0.0,5.0,6.0,High,High
ACC0000147,1,148218.16,1.0,4.0,Low,Medium
