scenario,description,uplift_multiplier,base_incremental_recovery_amount,sensitivity_incremental_recovery_amount,causal_claim
A,Conservative,0.5,112888139.20810395,56444069.60405198,False
A,Conservative,0.75,112888139.20810395,84666104.40607797,False
A,Conservative,1.0,112888139.20810395,112888139.20810395,False
A,Conservative,1.25,112888139.20810395,141110174.01012993,False
A,Conservative,1.5,112888139.20810395,169332208.81215593,False
B,Targeted Opportunity,0.5,67606153.64368206,33803076.82184103,False
B,Targeted Opportunity,0.75,67606153.64368206,50704615.23276155,False
B,Targeted Opportunity,1.0,67606153.64368206,67606153.64368206,False
B,Targeted Opportunity,1.25,67606153.64368206,84507692.05460258,False
B,Targeted Opportunity,1.5,67606153.64368206,101409230.4655231,False
C,Upside,0.5,0.0,0.0,False
C,Upside,0.75,0.0,0.0,False
C,Upside,1.0,0.0,0.0,False
C,Upside,1.25,0.0,0.0,False
C,Upside,1.5,0.0,0.0,False
