dataset,column,rows,missing_count,unique_values,duplicate_non_null_values
account_status_history,history_id,60000,0,60000,0
account_status_history,account_id,60000,0,25999,34001
account_status_history,borrower_id,60000,0,11916,48084
accounts,account_id,30000,0,30000,0
accounts,borrower_id,30000,455,10943,18602
agent_sessions,session_id,15000,0,15000,0
agent_sessions,agent_id,15000,0,1000,14000
agent_sessions,device_id,15000,0,1500,13500
agents,agent_id,30000,0,1000,29000
agents,employee_code,30000,0,1099,28901
agents,vendor_id,30000,0,15,29985
borrowers,borrower_id,30600,0,11015,19585
call_attempts,attempt_id,120000,0,120000,0
call_attempts,account_id,120000,0,29451,90549
call_attempts,borrower_id,120000,0,12000,108000
call_attempts,call_id,120000,0,66244,53756
call_attempts,agent_id,120000,0,1000,119000
call_attempts,vendor_id,120000,2400,15,117585
call_dispositions,disposition_id,35000,0,35000,0
call_dispositions,account_id,35000,0,20603,14397
call_dispositions,borrower_id,35000,0,11359,23641
call_dispositions,call_id,35000,0,28971,6029
call_dispositions,agent_id,35000,0,1000,34000
call_dispositions,disposition_code,35000,0,9,34991
calls,call_id,91350,0,90000,1350
calls,account_id,91350,0,28408,62942
calls,borrower_id,91350,0,11992,79358
calls,agent_id,91350,1827,1000,88523
calls,campaign_id,91350,0,120,91230
calls,vendor_id,91350,0,15,91335
campaigns,campaign_id,120,0,120,0
complaints,complaint_id,8000,0,8000,0
complaints,account_id,8000,0,7034,966
complaints,borrower_id,8000,0,5839,2161
daily_targeting,target_id,45000,0,45000,0
daily_targeting,account_id,45000,0,23344,21656
daily_targeting,campaign_id,45000,0,120,44880
field_visits,visit_id,25000,0,25000,0
field_visits,account_id,25000,0,16908,8092
field_visits,borrower_id,25000,0,10537,14463
field_visits,agent_id,25000,0,1000,24000
payments,payment_id,25500,0,25000,500
payments,account_id,25500,0,16934,8566
payments,borrower_id,25500,0,10474,15026
payments,payment_reference,25500,382,20821,4297
payments,provider_id,25500,0,15,25485
promises_to_pay,ptp_id,18000,0,18000,0
promises_to_pay,account_id,18000,0,13532,4468
promises_to_pay,borrower_id,18000,0,9299,8701
promises_to_pay,agent_id,18000,0,1000,17000
sms_events,sms_event_id,45000,0,45000,0
sms_events,account_id,45000,0,23207,21793
sms_events,borrower_id,45000,0,11728,33272
sms_events,message_id,45000,0,27001,17999
sms_events,template_code,45000,0,4,44996
sms_events,provider_id,45000,0,15,44985
vendor_telephony,vendor_id,15,0,15,0
vendor_telephony,vendor_account_id,15,0,15,0
whatsapp_events,whatsapp_event_id,60600,0,60000,600
whatsapp_events,account_id,60600,0,25924,34676
whatsapp_events,borrower_id,60600,0,11917,48683
whatsapp_events,message_id,60600,0,34831,25769
whatsapp_events,template_code,60600,0,5,60595
whatsapp_events,provider_id,60600,0,15,60585
