dataset,column,unique_values,rows,unique_pct
account_status_history,source,5,60000,0.01
accounts,timezone,3,30000,0.01
accounts,schema_version,3,30000,0.01
accounts,risk_segment,4,30000,0.01
accounts,status,4,30000,0.01
accounts,loan_type,5,30000,0.02
agent_sessions,timezone,2,15000,0.01
agent_sessions,channel,4,15000,0.03
agents,status,3,30000,0.01
agents,team,5,30000,0.02
call_attempts,attempt_status,5,120000,0.0
call_dispositions,disposition_version,3,35000,0.01
calls,direction,2,91350,0.0
calls,timezone,3,91350,0.0
calls,call_status,5,91350,0.01
campaigns,strategy_version,4,120,3.33
campaigns,campaign_name,5,120,4.17
campaigns,channel,5,120,4.17
campaigns,target_definition,5,120,4.17
complaints,severity,4,8000,0.05
complaints,status,4,8000,0.05
complaints,source,5,8000,0.06
daily_targeting,recommended_channel,4,45000,0.01
daily_targeting,status,4,45000,0.01
data_dictionary,dtype,4,143,2.8
field_visits,visit_type,4,25000,0.02
payments,payment_status,4,25500,0.02
payments,payment_method,5,25500,0.02
promises_to_pay,status,4,18000,0.02
promises_to_pay,source,4,18000,0.02
sms_events,event_type,4,45000,0.01
sms_events,template_code,4,45000,0.01
vendor_telephony,timezone,2,15,13.33
vendor_telephony,status,2,15,13.33
vendor_telephony,schema_version,3,15,20.0
vendor_telephony,vendor_name,5,15,33.33
whatsapp_events,template_code,5,60600,0.01
