dataset,column,original_dtype,non_null_values,invalid_dates,min_date,max_date
accounts,opened_at,object,30000,0,2024-01-01 00:02:27,2025-11-30 23:52:36
accounts,timezone,object,30000,30000,,
agent_sessions,timezone,object,15000,15000,,
agents,updated_at,object,30000,0,2025-01-01 00:57:32,2026-08-03 23:45:38
borrowers,created_at,object,30600,0,2025-01-01 00:14:38,2026-08-03 23:37:55
borrowers,updated_at,object,30600,0,2025-01-01 00:19:40,2026-08-03 23:48:36
calls,timezone,object,91350,91350,,
daily_targeting,target_date,object,45000,0,2026-01-01 00:00:00,2026-08-08 00:00:00
daily_targeting,recommended_channel,object,45000,45000,,
field_visits,scheduled_at,object,24750,0,2025-12-31 05:21:55,2026-08-08 21:50:07
promises_to_pay,promised_date,object,18000,0,2026-01-02 04:36:18,2026-09-06 21:23:52
vendor_telephony,timezone,object,15,15,,
