dataset,rows,columns,duplicate_rows,missing_cells,missing_pct_all_cells
account_status_history,60000,8,0,0,0.0
accounts,30000,11,0,455,0.14
agent_sessions,15000,7,0,0,0.0
agents,30000,8,0,0,0.0
borrowers,30600,8,600,1509,0.62
call_attempts,120000,9,0,2400,0.22
call_dispositions,35000,8,0,0,0.0
calls,91350,11,1271,1827,0.18
campaigns,120,7,0,0,0.0
complaints,8000,9,0,0,0.0
daily_targeting,45000,7,0,0,0.0
data_dictionary,143,3,0,0,0.0
field_visits,25000,10,0,250,0.1
payments,25500,9,486,382,0.17
promises_to_pay,18000,9,0,0,0.0
sms_events,45000,8,0,0,0.0
vendor_telephony,15,6,0,0,0.0
whatsapp_events,60600,8,600,0,0.0
