agent_id,accounts,recovered_accounts,recovery_amount,recovery_rate
AGT0000001,96,43,5880456.67,0.4479166666666667
AGT0000002,94,46,5953520.12,0.48936170212765956
AGT0000003,79,31,4557315.68,0.3924050632911392
AGT0000004,87,46,7359245.03,0.5287356321839081
AGT0000005,84,39,5836449.66,0.4642857142857143
AGT0000006,89,37,5285178.26,0.4157303370786517
AGT0000007,79,26,3918460.8,0.3291139240506329
AGT0000008,96,43,6410578.08,0.4479166666666667
AGT0000009,87,28,4518117.44,0.3218390804597701
AGT0000010,86,40,5267661.28,0.46511627906976744
AGT0000011,93,47,7194920.33,0.5053763440860215
AGT0000012,107,52,8501706.08,0.48598130841121495
AGT0000013,78,38,6715739.24,0.48717948717948717
AGT0000014,96,38,5064218.3,0.3958333333333333
AGT0000015,74,31,4249815.28,0.4189189189189189
AGT0000016,101,42,5877288.93,0.4158415841584158
AGT0000017,90,42,5558047.23,0.4666666666666667
AGT0000018,75,38,5413572.3,0.5066666666666667
AGT0000019,85,41,5854997.59,0.4823529411764706
AGT0000020,78,33,4643181.11,0.4230769230769231
AGT0000021,90,42,6897152.21,0.4666666666666667
AGT0000022,71,35,5185731.91,0.49295774647887325
AGT0000023,79,36,4900682.05,0.45569620253164556
AGT0000024,79,40,5867944.84,0.5063291139240507
AGT0000025,83,43,7543300.100000001,0.5180722891566265
AGT0000026,80,35,4269222.46,0.4375
AGT0000027,102,44,6368164.69,0.43137254901960786
AGT0000028,69,34,3693688.86,0.4927536231884058
AGT0000029,88,32,3574774.24,0.36363636363636365
AGT0000030,91,40,5396369.96,0.43956043956043955
AGT0000031,94,33,5189203.13,0.35106382978723405
AGT0000032,94,43,6336113.12,0.4574468085106383
AGT0000033,83,39,5496262.74,0.46987951807228917
AGT0000034,100,49,6838576.2,0.49
AGT0000035,74,35,5090071.09,0.47297297297297297
AGT0000036,98,50,6520860.31,0.5102040816326531
AGT0000037,81,35,5156451.51,0.43209876543209874
AGT0000038,82,33,5323121.47,0.4024390243902439
AGT0000039,91,47,7487128.49,0.5164835164835165
AGT0000040,85,38,3894472.01,0.4470588235294118
AGT0000041,100,42,5930420.04,0.42
AGT0000042,92,39,6302053.67,0.42391304347826086
AGT0000043,75,39,5560984.93,0.52
AGT0000044,100,41,6075756.99,0.41
AGT0000045,92,45,5360707.92,0.4891304347826087
AGT0000046,91,38,5371522.93,0.4175824175824176
AGT0000047,93,41,6102869.76,0.44086021505376344
AGT0000048,76,30,3741899.8,0.39473684210526316
AGT0000049,81,29,4209306.09,0.35802469135802467
AGT0000050,82,31,4674123.68,0.3780487804878049
AGT0000051,92,40,5375639.08,0.43478260869565216
AGT0000052,85,36,5724403.16,0.4235294117647059
AGT0000053,88,40,5327123.24,0.45454545454545453
AGT0000054,109,40,6063924.8,0.3669724770642202
AGT0000055,98,40,5800559.13,0.40816326530612246
AGT0000056,81,36,5170806.7,0.4444444444444444
AGT0000057,91,46,6686299.21,0.5054945054945055
AGT0000058,85,35,5265952.43,0.4117647058823529
AGT0000059,98,44,5665789.89,0.4489795918367347
AGT0000060,66,45,5423093.52,0.6818181818181818
AGT0000061,89,44,6311096.67,0.4943820224719101
AGT0000062,89,46,5552103.7,0.5168539325842697
AGT0000063,96,37,6363212.0,0.3854166666666667
AGT0000064,94,36,5565463.86,0.3829787234042553
AGT0000065,90,49,8069520.05,0.5444444444444444
AGT0000066,80,35,5085117.3,0.4375
AGT0000067,101,47,6671937.31,0.46534653465346537
AGT0000068,92,36,4217470.49,0.391304347826087
AGT0000069,67,22,3390705.61,0.3283582089552239
AGT0000070,80,39,4309441.17,0.4875
AGT0000071,93,44,6410286.74,0.4731182795698925
AGT0000072,79,30,6307246.02,0.379746835443038
AGT0000073,80,31,5878751.0200000005,0.3875
AGT0000074,89,36,5452385.96,0.4044943820224719
AGT0000075,83,34,5408312.06,0.40963855421686746
AGT0000076,100,52,8984608.38,0.52
AGT0000077,86,43,6258459.8100000005,0.5
AGT0000078,78,35,4646276.22,0.44871794871794873
AGT0000079,92,39,5614925.46,0.42391304347826086
AGT0000080,79,35,4297019.0,0.4430379746835443
AGT0000081,94,50,6150425.3,0.5319148936170213
AGT0000082,101,53,6232915.99,0.5247524752475248
AGT0000083,91,46,6676568.7299999995,0.5054945054945055
AGT0000084,105,50,5527266.89,0.47619047619047616
AGT0000085,73,29,5166841.51,0.3972602739726027
AGT0000086,82,38,4736992.28,0.4634146341463415
AGT0000087,79,39,5055799.29,0.4936708860759494
AGT0000088,105,43,5815699.69,0.4095238095238095
AGT0000089,93,41,5858291.8100000005,0.44086021505376344
AGT0000090,97,49,8532000.68,0.5051546391752577
