campaign_id,campaign_name,channel,strategy_version,accounts,recovered_accounts,recovery_amount,recovery_rate
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,723,345,47429608.34,0.47717842323651455
CMP0000002,BOUNCE,MIXED,v2,746,337,48003796.31,0.4517426273458445
CMP0000003,30DPD_W1,MIXED,v1,719,340,46518400.26,0.4728789986091794
CMP0000004,BOUNCE,VOICE,legacy,727,339,46947982.98,0.46629986244841815
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,759,318,45412796.19,0.4189723320158103
CMP0000006,BOUNCE,MIXED,legacy,740,354,52884730.61,0.4783783783783784
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,707,316,44855459.08,0.44695898161244696
CMP0000008,NPA_RECOVERY,SMS,v2,731,324,47734965.089999996,0.4432284541723666
CMP0000009,60DPD_INTENT,WHATSAPP,v1,714,333,47433209.91,0.46638655462184875
CMP0000010,30DPD_W1,FIELD,v1,720,334,46260131.92,0.4638888888888889
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,695,302,43342835.44,0.43453237410071943
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,734,323,46165393.6,0.44005449591280654
CMP0000013,30DPD_W1,VOICE,v2,746,345,47113988.12,0.4624664879356568
CMP0000014,NPA_RECOVERY,SMS,v1,781,363,49284880.82,0.4647887323943662
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,770,343,50073617.43,0.44545454545454544
CMP0000016,NPA_RECOVERY,MIXED,v1,736,314,44231196.19,0.4266304347826087
CMP0000017,NPA_RECOVERY,MIXED,v3,693,298,43972230.06,0.43001443001443
CMP0000018,60DPD_INTENT,SMS,legacy,722,322,47255697.54,0.44598337950138506
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,748,352,50630836.98,0.47058823529411764
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,720,327,45948591.36,0.45416666666666666
CMP0000021,NPA_RECOVERY,FIELD,legacy,724,339,49362554.89,0.468232044198895
CMP0000022,60DPD_INTENT,VOICE,v3,746,308,45180612.11,0.4128686327077748
CMP0000023,BOUNCE,VOICE,v2,703,315,42859065.7,0.4480796586059744
CMP0000024,NPA_RECOVERY,SMS,legacy,734,331,45377826.8,0.45095367847411444
CMP0000025,30DPD_W1,FIELD,legacy,713,320,46330409.15,0.4488078541374474
CMP0000026,30DPD_W1,FIELD,legacy,731,329,46818132.28,0.45006839945280436
CMP0000027,BOUNCE,VOICE,legacy,739,329,49069802.07,0.44519621109607577
CMP0000028,30DPD_W1,SMS,legacy,757,291,42751495.89,0.3844121532364597
CMP0000029,60DPD_INTENT,MIXED,v1,743,302,47724329.42,0.4064602960969044
CMP0000030,30DPD_W1,SMS,v2,755,304,44332196.51,0.40264900662251657
CMP0000031,30DPD_W1,VOICE,v3,772,338,50249757.89,0.4378238341968912
CMP0000032,NPA_RECOVERY,MIXED,v2,702,312,46412196.17,0.4444444444444444
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,751,338,47442769.97,0.45006657789613846
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,754,351,49659187.0,0.46551724137931033
CMP0000035,30DPD_W1,MIXED,legacy,776,338,48156235.09,0.43556701030927836
CMP0000036,30DPD_W1,SMS,v1,781,366,53558036.07,0.4686299615877081
CMP0000037,BOUNCE,SMS,v2,716,310,46994834.35,0.4329608938547486
CMP0000038,NPA_RECOVERY,FIELD,v2,756,347,49185640.52,0.458994708994709
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,722,317,47810992.07,0.4390581717451524
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,765,357,48776835.98,0.4666666666666667
CMP0000041,30DPD_W1,SMS,legacy,772,357,47661016.06,0.46243523316062174
CMP0000042,BOUNCE,FIELD,v3,727,344,48441955.7,0.4731774415405777
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,715,305,43243662.77,0.42657342657342656
CMP0000044,NPA_RECOVERY,SMS,v1,727,325,42436196.07,0.4470426409903714
CMP0000045,30DPD_W1,VOICE,v2,745,337,49458986.05,0.45234899328859063
CMP0000046,BOUNCE,WHATSAPP,v3,772,301,47436224.71,0.3898963730569948
CMP0000047,BOUNCE,WHATSAPP,v2,756,324,46786917.4,0.42857142857142855
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,775,360,51490002.74,0.4645161290322581
CMP0000049,60DPD_INTENT,VOICE,v1,763,337,47141244.7,0.4416775884665793
CMP0000050,NPA_RECOVERY,SMS,v1,728,325,47717869.55,0.44642857142857145
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,718,316,44545211.94,0.4401114206128134
CMP0000052,BOUNCE,SMS,v2,747,336,50147679.15,0.4497991967871486
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,730,299,41060441.18,0.4095890410958904
CMP0000054,BOUNCE,SMS,v3,749,323,47662774.88,0.43124165554072097
