driver,pearson_correlation_with_recovery,observations,absolute_correlation
vendor_count,0.014320739374714718,30000,0.014320739374714718
agent_count,0.012450301383199731,30000,0.012450301383199731
total_calls,0.011130420608086703,30000,0.011130420608086703
total_call_duration_sec,0.008970328645915673,30000,0.008970328645915673
total_attempts,0.005992100641800143,30000,0.005992100641800143
disposition_events,-0.003778958007727518,30000,0.003778958007727518
campaigns_targeted,0.0033390580166861813,30000,0.0033390580166861813
targeting_events,0.0031333040019761635,30000,0.0031333040019761635
dpd,-0.0019278852694837127,30000,0.0019278852694837127
outstanding_amount,-0.0008062701167003125,30000,0.0008062701167003125
principal_amount,-0.0005276843762447273,30000,0.0005276843762447273
