loan_type,accounts,recovered_accounts,total_recovery,avg_dpd,avg_outstanding,recovery_rate,driver_dimension,risk_segment,status
AUTO,6079,2700,388980780.52,56.45139003125514,351258.56900641555,0.4441519986839941,loan_type,,
BNPL,5928,2580,372006516.94,56.381072874493924,347320.28166497976,0.4352226720647773,loan_type,,
CONSUMER,5930,2685,386746028.11,56.611635750421584,349597.4185430017,0.4527824620573356,loan_type,,
CREDIT_CARD,6080,2690,389532781.87,56.73125,349782.39148848684,0.44243421052631576,loan_type,,
PERSONAL,5983,2629,379992509.71,56.3538358682935,350163.8375547384,0.43941166638809964,loan_type,,
,7552,3300,481620477.71,56.44796080508475,350394.94061308267,0.4369703389830508,risk_segment,HIGH,
,7513,3381,486813404.46,57.97204844935445,350500.61172101693,0.45001996539331823,risk_segment,LOW,
,7533,3335,476561967.41,54.76397185716182,348888.8168365857,0.44271870436744987,risk_segment,MEDIUM,
,7402,3268,472262767.57,56.85179681167252,348738.4758713861,0.4415022966765739,risk_segment,NPA,
,7539,3315,480768821.54,56.257991776097626,349833.7758588672,0.4397134898527656,status,,ACTIVE
,7496,3325,473151702.26,55.91315368196371,351673.32536819635,0.44356990394877266,status,,CLOSED
,7486,3297,478839926.63,57.26302431204916,349657.9665615816,0.4404221212930804,status,,PAID
,7479,3347,484498166.72,56.594197085171814,347366.7231127156,0.4475197218879529,status,,WRITEOFF
