dataset,column,duplicate_non_null_values,unique_values
account_status_history,account_id,34001,25999
account_status_history,borrower_id,48084,11916
accounts,borrower_id,18602,10943
agent_sessions,agent_id,14000,1000
agent_sessions,device_id,13500,1500
agents,agent_id,29000,1000
agents,vendor_id,29985,15
borrowers,borrower_id,19585,11015
call_attempts,account_id,90549,29451
call_attempts,borrower_id,108000,12000
call_attempts,call_id,53756,66244
call_attempts,agent_id,119000,1000
call_attempts,vendor_id,117585,15
call_dispositions,account_id,14397,20603
call_dispositions,borrower_id,23641,11359
call_dispositions,call_id,6029,28971
call_dispositions,agent_id,34000,1000
calls,call_id,1350,90000
calls,account_id,62942,28408
calls,borrower_id,79358,11992
calls,agent_id,88523,1000
calls,campaign_id,91230,120
calls,vendor_id,91335,15
complaints,account_id,966,7034
complaints,borrower_id,2161,5839
daily_targeting,account_id,21656,23344
daily_targeting,campaign_id,44880,120
field_visits,account_id,8092,16908
field_visits,borrower_id,14463,10537
field_visits,agent_id,24000,1000
payments,payment_id,500,25000
payments,account_id,8566,16934
payments,borrower_id,15026,10474
payments,provider_id,25485,15
promises_to_pay,account_id,4468,13532
promises_to_pay,borrower_id,8701,9299
promises_to_pay,agent_id,17000,1000
sms_events,account_id,21793,23207
sms_events,borrower_id,33272,11728
sms_events,message_id,17999,27001
sms_events,provider_id,44985,15
whatsapp_events,whatsapp_event_id,600,60000
whatsapp_events,account_id,34676,25924
whatsapp_events,borrower_id,48683,11917
whatsapp_events,message_id,25769,34831
whatsapp_events,provider_id,60585,15
