agent_id,employee_codes,names,vendors,teams,statuses
AGT0000001,23,10,10,5,3
AGT0000002,23,10,12,5,3
AGT0000003,28,10,12,5,3
AGT0000004,28,10,12,5,3
AGT0000005,29,10,15,5,3
AGT0000006,37,10,15,5,3
AGT0000007,29,10,15,5,3
AGT0000008,29,10,12,5,3
AGT0000009,24,10,12,5,3
AGT0000010,26,10,15,5,3
AGT0000011,27,9,14,5,3
AGT0000012,34,10,13,5,3
AGT0000013,24,9,10,5,3
AGT0000014,31,10,13,5,3
AGT0000015,20,9,10,5,3
AGT0000016,39,10,13,5,3
AGT0000017,33,10,13,5,3
AGT0000018,31,8,13,5,3
AGT0000019,25,9,12,5,3
AGT0000020,34,10,13,5,3
AGT0000021,21,8,9,5,3
AGT0000022,26,9,13,5,3
AGT0000023,29,10,15,5,3
AGT0000024,25,9,11,5,3
AGT0000025,25,10,13,5,3
AGT0000026,32,10,14,5,3
AGT0000027,31,10,13,5,3
AGT0000028,28,9,12,5,3
AGT0000029,40,10,15,5,3
AGT0000030,36,10,14,5,3
AGT0000031,22,9,13,5,3
AGT0000032,21,9,12,5,3
AGT0000033,27,10,11,5,3
AGT0000034,37,9,14,5,3
AGT0000035,31,10,14,5,3
AGT0000036,34,10,14,5,3
AGT0000037,28,10,13,5,3
AGT0000038,31,9,13,5,3
AGT0000039,29,9,14,5,3
AGT0000040,22,9,11,5,3
AGT0000041,34,10,14,5,3
AGT0000042,22,8,13,5,3
AGT0000043,34,9,14,5,3
AGT0000044,33,10,15,5,3
AGT0000045,32,10,13,5,3
AGT0000046,29,9,13,5,3
AGT0000047,24,9,12,5,3
AGT0000048,36,10,15,5,3
AGT0000049,31,10,15,5,3
AGT0000050,26,9,13,5,3
AGT0000051,38,10,14,5,3
AGT0000052,30,10,13,5,3
AGT0000053,38,10,13,5,3
AGT0000054,30,10,12,5,3
AGT0000055,27,8,11,5,3
AGT0000056,44,10,15,5,3
AGT0000057,29,10,15,5,3
AGT0000058,27,9,14,5,3
AGT0000059,26,10,12,5,3
AGT0000060,30,9,14,5,3
AGT0000061,37,10,13,5,3
AGT0000062,26,9,10,5,3
AGT0000063,32,10,13,5,3
AGT0000064,29,9,11,5,3
AGT0000065,27,10,13,5,3
AGT0000066,31,10,14,5,3
AGT0000067,21,9,12,5,3
AGT0000068,24,9,14,5,3
AGT0000069,31,10,15,5,3
AGT0000070,27,8,13,5,3
AGT0000071,31,9,13,5,3
AGT0000072,24,9,13,5,3
AGT0000073,35,10,15,5,3
AGT0000074,35,9,14,5,3
AGT0000075,23,10,12,5,3
AGT0000076,21,10,13,5,3
AGT0000077,24,9,12,5,3
AGT0000078,35,10,14,5,3
AGT0000079,33,10,14,5,3
AGT0000080,32,9,14,5,3
AGT0000081,25,9,11,5,3
AGT0000082,23,9,11,5,3
AGT0000083,34,9,14,5,3
AGT0000084,40,9,15,5,3
AGT0000085,32,9,15,5,3
AGT0000086,31,10,13,5,3
AGT0000087,26,10,11,5,3
AGT0000088,30,10,14,5,3
AGT0000089,27,10,11,5,3
AGT0000090,25,10,13,5,3
AGT0000091,38,10,15,5,3
AGT0000092,36,10,14,5,3
AGT0000093,28,10,12,5,3
AGT0000094,27,10,12,5,3
AGT0000095,34,10,14,5,3
AGT0000096,15,7,12,5,3
AGT0000097,31,10,11,5,3
AGT0000098,37,9,13,5,3
AGT0000099,33,10,14,5,3
AGT0000100,37,10,14,5,3
AGT0000101,35,9,13,5,3
AGT0000102,32,10,14,5,3
AGT0000103,29,9,13,5,3
AGT0000104,32,10,11,5,3
AGT0000105,39,10,13,5,3
AGT0000106,24,9,10,5,3
AGT0000107,29,9,13,5,3
AGT0000108,40,10,14,5,3
AGT0000109,28,10,13,5,3
AGT0000110,22,8,12,5,3
AGT0000111,25,9,12,5,3
AGT0000112,14,9,7,5,3
AGT0000113,27,9,13,5,3
AGT0000114,34,10,13,5,3
AGT0000115,30,9,13,5,3
AGT0000116,25,10,11,5,3
AGT0000117,30,10,14,5,3
AGT0000118,29,10,14,5,3
AGT0000119,19,10,11,5,3
AGT0000120,31,8,14,5,3
AGT0000121,18,9,8,4,3
AGT0000122,35,10,13,5,3
AGT0000123,25,9,12,5,3
AGT0000124,30,9,15,5,3
AGT0000125,27,10,12,5,3
AGT0000126,28,10,13,5,3
AGT0000127,31,10,15,5,3
AGT0000128,24,8,13,5,3
AGT0000129,37,10,13,5,3
AGT0000130,25,9,12,5,3
AGT0000131,25,9,11,5,3
AGT0000132,33,9,14,5,3
AGT0000133,25,8,15,5,3
AGT0000134,28,10,12,5,3
AGT0000135,26,10,14,5,3
AGT0000136,36,10,13,5,3
AGT0000137,24,8,12,5,3
AGT0000138,37,9,15,5,3
AGT0000139,33,10,14,5,3
AGT0000140,33,10,15,5,3
AGT0000141,25,10,12,5,3
AGT0000142,23,9,12,5,3
AGT0000143,30,9,11,5,3
AGT0000144,31,9,13,5,3
AGT0000145,31,10,11,5,3
AGT0000146,25,10,13,5,3
AGT0000147,33,10,15,5,3
AGT0000148,19,10,11,5,3
AGT0000149,29,8,11,5,3
AGT0000150,26,10,11,5,3
AGT0000151,27,9,15,5,3
AGT0000152,35,10,14,5,3
AGT0000153,23,9,12,5,3
AGT0000154,33,10,14,5,3
AGT0000155,33,10,14,5,3
AGT0000156,29,9,12,5,3
AGT0000157,30,10,12,5,3
AGT0000158,40,10,14,5,3
AGT0000159,34,9,14,5,3
AGT0000160,27,10,14,5,3
AGT0000161,37,10,15,5,3
AGT0000162,40,9,15,5,3
AGT0000163,31,10,14,5,3
AGT0000164,30,9,14,5,3
AGT0000165,30,10,13,5,3
AGT0000166,34,10,14,5,3
AGT0000167,27,10,14,5,3
AGT0000168,36,10,15,5,3
AGT0000169,27,9,14,5,3
AGT0000170,22,9,11,5,3
AGT0000171,27,10,13,5,3
AGT0000172,35,9,15,5,3
AGT0000173,31,9,13,5,3
AGT0000174,31,9,13,5,3
AGT0000175,20,7,10,5,3
AGT0000176,35,9,15,5,3
AGT0000177,35,10,12,5,3
AGT0000178,37,10,13,5,3
AGT0000179,24,9,11,5,3
AGT0000180,38,10,15,5,3
AGT0000181,32,9,14,5,3
AGT0000182,30,10,12,5,3
AGT0000183,32,10,12,5,3
AGT0000184,32,10,14,5,3
AGT0000185,27,10,13,5,3
AGT0000186,33,9,14,5,3
AGT0000187,22,8,11,5,3
AGT0000188,29,9,13,5,3
AGT0000189,28,10,13,5,3
AGT0000190,19,9,11,5,3
AGT0000191,28,9,13,5,3
AGT0000192,18,8,11,5,3
AGT0000193,34,9,13,5,3
AGT0000194,23,9,11,5,3
AGT0000195,25,10,12,5,3
AGT0000196,24,10,13,5,3
AGT0000197,33,10,14,5,3
AGT0000198,28,9,13,5,3
AGT0000199,24,10,11,5,3
AGT0000200,33,10,15,5,3
AGT0000201,30,10,13,5,3
AGT0000202,35,10,14,5,3
AGT0000203,28,10,11,5,3
AGT0000204,23,8,12,5,3
AGT0000205,26,9,14,5,3
AGT0000206,30,10,12,5,3
AGT0000207,40,10,13,5,3
AGT0000208,38,10,12,5,3
AGT0000209,27,8,12,5,3
AGT0000210,33,10,14,5,3
AGT0000211,25,9,14,5,3
AGT0000212,33,10,12,5,3
AGT0000213,35,10,13,5,3
AGT0000214,30,10,13,5,3
AGT0000215,27,10,13,5,3
AGT0000216,22,9,10,5,3
AGT0000217,31,10,13,5,3
AGT0000218,37,10,14,5,3
AGT0000219,29,10,15,5,3
AGT0000220,24,10,12,5,3
AGT0000221,34,10,15,5,3
AGT0000222,24,10,12,5,3
AGT0000223,33,10,15,5,3
AGT0000224,37,10,15,5,3
AGT0000225,34,10,14,5,3
AGT0000226,31,10,13,5,3
AGT0000227,29,10,13,5,3
AGT0000228,20,10,13,5,3
AGT0000229,32,9,13,5,3
AGT0000230,32,9,14,5,3
AGT0000231,23,8,13,5,3
AGT0000232,31,9,15,5,3
AGT0000233,37,10,15,5,3
AGT0000234,22,9,12,5,3
AGT0000235,29,10,14,5,3
AGT0000236,34,10,12,5,3
AGT0000237,22,10,13,5,3
AGT0000238,30,10,12,5,3
AGT0000239,31,9,14,5,3
AGT0000240,34,10,15,5,3
AGT0000241,21,9,12,5,3
AGT0000242,29,9,14,5,3
AGT0000243,38,10,14,5,3
AGT0000244,25,9,13,5,3
AGT0000245,33,9,14,5,3
AGT0000246,31,9,14,5,3
AGT0000247,28,10,13,5,3
AGT0000248,31,10,12,5,3
AGT0000249,31,9,12,5,3
AGT0000250,40,9,14,5,3
AGT0000251,26,10,13,5,3
AGT0000252,32,10,14,5,3
AGT0000253,29,10,13,5,3
AGT0000254,33,10,14,5,3
AGT0000255,29,9,14,5,3
AGT0000256,25,9,11,5,3
AGT0000257,27,10,15,5,3
AGT0000258,23,10,12,5,3
AGT0000259,24,10,14,5,3
AGT0000260,27,10,14,5,3
AGT0000261,30,8,15,5,3
AGT0000262,38,10,14,5,3
AGT0000263,34,10,14,5,3
AGT0000264,31,9,12,5,3
AGT0000265,32,10,15,5,3
AGT0000266,36,10,14,5,3
AGT0000267,31,9,13,5,3
AGT0000268,28,10,13,5,3
AGT0000269,34,10,12,5,3
AGT0000270,31,9,13,5,3
AGT0000271,18,7,10,5,3
AGT0000272,27,9,13,5,3
AGT0000273,31,7,14,5,3
AGT0000274,33,8,12,5,3
AGT0000275,30,9,13,5,3
AGT0000276,21,8,11,5,3
AGT0000277,25,10,13,5,3
AGT0000278,41,10,15,5,3
AGT0000279,25,9,13,5,3
AGT0000280,42,10,14,5,3
AGT0000281,35,10,12,5,3
AGT0000282,20,9,11,5,3
AGT0000283,28,10,14,5,3
AGT0000284,29,10,13,5,3
AGT0000285,33,10,15,5,3
AGT0000286,32,10,14,5,3
AGT0000287,38,10,13,5,3
AGT0000288,24,9,13,5,3
AGT0000289,31,9,14,5,3
AGT0000290,35,10,12,5,3
AGT0000291,23,10,13,5,3
AGT0000292,26,9,13,5,3
AGT0000293,20,8,12,5,3
AGT0000294,28,10,12,5,3
AGT0000295,34,9,13,5,3
AGT0000296,29,10,11,5,3
AGT0000297,33,10,14,5,3
AGT0000298,25,9,13,5,3
AGT0000299,27,10,13,5,3
AGT0000300,25,9,11,5,3
AGT0000301,23,10,12,5,3
AGT0000302,27,10,13,5,3
AGT0000303,38,10,13,5,3
AGT0000304,38,10,15,5,3
AGT0000305,26,10,10,5,3
AGT0000306,32,10,14,5,3
AGT0000307,34,10,15,5,3
AGT0000308,29,9,12,5,3
AGT0000309,36,10,15,5,3
AGT0000310,38,10,13,5,3
AGT0000311,23,10,11,5,3
AGT0000312,31,9,14,5,3
AGT0000313,27,9,13,5,3
AGT0000314,37,9,13,5,3
AGT0000315,26,10,13,5,3
AGT0000316,25,9,14,5,3
AGT0000317,24,7,12,5,3
AGT0000318,28,10,13,5,3
AGT0000319,24,10,11,5,3
AGT0000320,25,9,13,5,3
AGT0000321,31,10,13,5,3
AGT0000322,36,10,12,5,3
AGT0000323,26,10,13,5,3
AGT0000324,34,10,12,5,3
AGT0000325,35,10,14,5,3
AGT0000326,32,10,13,5,3
AGT0000327,37,10,13,5,3
AGT0000328,36,10,12,5,3
AGT0000329,26,10,12,5,3
AGT0000330,24,9,13,5,3
AGT0000331,29,10,13,5,3
AGT0000332,28,9,13,5,3
AGT0000333,24,7,12,5,3
AGT0000334,32,9,13,5,3
AGT0000335,24,9,11,5,3
AGT0000336,28,10,11,5,3
AGT0000337,25,9,12,5,3
AGT0000338,30,9,14,5,3
AGT0000339,34,10,13,5,3
AGT0000340,34,10,12,5,3
AGT0000341,21,8,13,5,3
AGT0000342,25,10,13,5,3
AGT0000343,36,10,15,5,3
AGT0000344,37,10,15,5,3
AGT0000345,29,8,12,5,3
AGT0000346,28,10,13,5,3
AGT0000347,29,10,13,5,3
AGT0000348,19,8,12,5,3
AGT0000349,35,10,15,5,3
AGT0000350,24,9,13,5,3
AGT0000351,30,10,12,5,3
AGT0000352,25,10,12,5,3
AGT0000353,24,8,14,5,3
AGT0000354,32,10,14,5,3
AGT0000355,22,8,14,5,3
AGT0000356,28,10,13,5,3
AGT0000357,28,9,14,5,3
AGT0000358,25,9,12,5,3
AGT0000359,25,10,13,5,3
AGT0000360,28,10,13,5,3
AGT0000361,29,10,12,5,3
AGT0000362,26,10,12,5,3
AGT0000363,24,8,8,5,3
AGT0000364,30,9,13,5,3
AGT0000365,36,10,13,5,3
AGT0000366,25,9,12,5,3
AGT0000367,48,10,15,5,3
AGT0000368,33,10,13,5,3
AGT0000369,38,10,15,5,3
AGT0000370,26,9,13,5,3
AGT0000371,29,10,13,5,3
AGT0000372,31,10,14,5,3
AGT0000373,34,10,14,5,3
AGT0000374,25,10,13,5,3
AGT0000375,32,9,13,5,3
AGT0000376,32,10,13,5,3
AGT0000377,35,10,14,5,3
AGT0000378,31,10,14,5,3
AGT0000379,22,10,13,5,3
AGT0000380,32,9,12,5,3
AGT0000381,33,10,12,5,3
AGT0000382,27,10,12,5,3
AGT0000383,33,10,13,5,3
AGT0000384,33,9,15,5,3
AGT0000385,33,10,13,5,3
AGT0000386,23,10,13,5,3
AGT0000387,30,10,14,5,3
AGT0000388,22,9,13,5,3
AGT0000389,25,9,13,5,3
AGT0000390,31,10,12,5,3
AGT0000391,27,8,12,5,3
AGT0000392,34,10,14,5,3
AGT0000393,27,10,14,5,3
AGT0000394,31,8,13,5,3
AGT0000395,28,9,12,5,3
AGT0000396,30,9,12,5,3
AGT0000397,34,9,13,5,3
AGT0000398,23,7,13,5,3
AGT0000399,32,10,13,5,3
AGT0000400,20,9,11,5,3
AGT0000401,24,9,13,5,3
AGT0000402,26,10,11,5,3
AGT0000403,29,9,12,5,3
AGT0000404,28,10,14,5,3
AGT0000405,28,9,14,5,3
AGT0000406,37,10,14,5,3
AGT0000407,24,10,14,5,3
AGT0000408,37,10,14,5,3
AGT0000409,24,9,11,5,3
AGT0000410,29,10,14,5,3
AGT0000411,27,10,12,5,3
AGT0000412,33,9,14,5,3
AGT0000413,24,10,13,4,3
AGT0000414,29,10,11,5,3
AGT0000415,28,10,10,5,3
AGT0000416,22,9,12,5,3
AGT0000417,23,8,12,5,3
AGT0000418,31,9,14,5,3
AGT0000419,18,8,12,5,3
AGT0000420,31,9,14,5,3
AGT0000421,19,9,10,5,3
AGT0000422,28,9,12,5,3
AGT0000423,30,10,13,5,3
AGT0000424,27,10,13,5,3
AGT0000425,34,10,13,5,3
AGT0000426,32,10,15,5,3
AGT0000427,33,10,12,5,3
AGT0000428,32,9,13,5,3
AGT0000429,24,10,10,5,3
AGT0000430,24,9,13,5,3
AGT0000431,35,10,14,5,3
AGT0000432,26,10,13,5,3
AGT0000433,26,10,13,5,3
AGT0000434,31,9,13,5,3
AGT0000435,42,10,14,5,3
AGT0000436,18,8,10,5,3
AGT0000437,29,10,13,5,3
AGT0000438,27,10,14,5,3
AGT0000439,32,10,12,5,3
AGT0000440,44,10,13,5,3
AGT0000441,21,9,12,5,3
AGT0000442,35,10,13,5,3
AGT0000443,41,10,14,5,3
AGT0000444,22,9,11,5,3
AGT0000445,31,10,13,5,3
AGT0000446,33,7,14,5,3
AGT0000447,26,8,13,5,3
AGT0000448,27,9,12,5,3
AGT0000449,30,10,13,5,3
AGT0000450,25,9,13,5,3
AGT0000451,33,10,14,5,3
AGT0000452,26,10,14,5,3
AGT0000453,27,10,12,5,3
AGT0000454,29,9,13,5,3
AGT0000455,28,10,12,5,3
AGT0000456,40,10,15,5,3
AGT0000457,35,9,13,5,3
AGT0000458,35,10,15,5,3
AGT0000459,38,10,13,5,3
AGT0000460,30,10,11,4,3
AGT0000461,27,10,9,5,3
AGT0000462,27,9,11,5,3
AGT0000463,33,9,14,5,3
AGT0000464,23,10,13,5,3
AGT0000465,24,8,13,5,3
AGT0000466,25,8,13,5,3
AGT0000467,26,9,12,5,3
AGT0000468,32,10,14,5,3
AGT0000469,37,9,14,5,3
AGT0000470,38,10,14,5,3
AGT0000471,29,9,14,5,3
AGT0000472,29,10,11,5,3
AGT0000473,31,10,15,5,3
AGT0000474,40,10,15,5,3
AGT0000475,29,9,13,5,3
AGT0000476,31,10,11,5,3
AGT0000477,34,10,12,5,3
AGT0000478,26,9,13,5,3
AGT0000479,39,10,15,5,3
AGT0000480,31,10,14,5,3
AGT0000481,31,10,14,5,3
AGT0000482,24,10,13,5,3
AGT0000483,31,10,13,5,3
AGT0000484,26,9,11,5,3
AGT0000485,29,10,14,5,3
AGT0000486,32,8,12,5,3
AGT0000487,36,9,13,5,3
AGT0000488,34,8,14,5,3
AGT0000489,34,10,14,5,3
AGT0000490,29,9,14,5,3
AGT0000491,24,9,12,5,3
AGT0000492,29,10,13,5,3
AGT0000493,20,9,11,5,3
AGT0000494,29,10,12,5,3
AGT0000495,25,8,14,5,3
AGT0000496,43,10,15,5,3
AGT0000497,30,10,11,5,3
AGT0000498,28,10,13,5,3
AGT0000499,23,10,12,5,3
AGT0000500,38,10,14,5,3
AGT0000501,26,10,10,5,3
AGT0000502,28,10,13,5,3
AGT0000503,24,10,11,5,3
AGT0000504,29,8,13,5,3
AGT0000505,22,9,9,5,3
AGT0000506,19,9,13,5,3
AGT0000507,30,9,13,5,3
AGT0000508,27,8,14,5,3
AGT0000509,27,9,14,5,3
AGT0000510,23,10,13,5,3
AGT0000511,28,9,13,5,3
AGT0000512,28,10,13,5,3
AGT0000513,34,10,15,5,3
AGT0000514,27,10,14,5,3
AGT0000515,30,9,13,5,3
AGT0000516,37,8,13,5,3
AGT0000517,33,10,13,5,3
AGT0000518,31,10,14,5,3
AGT0000519,32,9,13,5,3
AGT0000520,17,10,12,5,3
AGT0000521,33,10,13,5,3
AGT0000522,28,9,13,5,3
AGT0000523,31,8,14,5,3
AGT0000524,21,10,12,5,3
AGT0000525,34,10,14,5,3
AGT0000526,32,10,13,5,3
AGT0000527,37,10,15,5,3
AGT0000528,27,10,12,5,3
AGT0000529,31,9,13,5,3
AGT0000530,35,10,14,5,3
AGT0000531,43,10,14,5,3
AGT0000532,22,9,10,5,3
AGT0000533,47,10,15,5,3
AGT0000534,32,10,13,5,3
AGT0000535,32,10,13,5,3
AGT0000536,34,10,14,5,3
AGT0000537,29,10,14,5,3
AGT0000538,29,7,12,5,3
AGT0000539,31,10,14,5,3
AGT0000540,45,10,15,5,3
