call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,event_at_parsed,account_timezone,account_timezone_difference_flag
CALL0000001,ACC0011505,BRW0007139,2026-07-15 15:36:22,AGT0000955,CMP0000015,OUTBOUND,VND0000013,NO_ANSWER,601,Asia/Dubai,2026-07-15 15:36:22,UTC,True
CALL0000002,ACC0002025,BRW0006253,2026-06-10 06:48:27,AGT0000853,CMP0000060,OUTBOUND,VND0000001,ANSWERED,224,Asia/Kolkata,2026-06-10 06:48:27,UTC,True
CALL0000004,ACC0021534,BRW0008873,2026-02-12 14:16:57,AGT0000945,CMP0000060,OUTBOUND,VND0000001,VOICEMAIL,896,Asia/Dubai,2026-02-12 14:16:57,UTC,True
CALL0000005,ACC0018502,BRW0004996,2026-05-24 15:33:12,AGT0000966,CMP0000053,OUTBOUND,VND0000006,ANSWERED,711,Asia/Kolkata,2026-05-24 15:33:12,UTC,True
CALL0000006,ACC0011855,BRW0010726,2026-02-04 11:37:08,AGT0000864,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,18,Asia/Dubai,2026-02-04 11:37:08,UTC,True
CALL0000008,ACC0007144,BRW0001246,2026-06-14 23:37:56,AGT0000615,CMP0000115,OUTBOUND,VND0000003,VOICEMAIL,437,Asia/Dubai,2026-06-14 23:37:56,Asia/Kolkata,True
CALL0000009,ACC0003902,BRW0010076,2026-03-17 16:24:42,AGT0000585,CMP0000090,OUTBOUND,VND0000012,VOICEMAIL,318,UTC,2026-03-17 16:24:42,Asia/Kolkata,True
CALL0000010,ACC0009188,BRW0010503,2026-06-24 04:26:34,AGT0000238,CMP0000092,OUTBOUND,VND0000014,ANSWERED,260,UTC,2026-06-24 04:26:34,Asia/Kolkata,True
CALL0000011,ACC0008811,BRW0000960,2026-07-23 14:50:00,AGT0000071,CMP0000098,OUTBOUND,VND0000011,NO_ANSWER,115,Asia/Dubai,2026-07-23 14:50:00,Asia/Kolkata,True
CALL0000012,ACC0012258,BRW0003468,2026-02-12 20:40:45,AGT0000014,CMP0000107,INBOUND,VND0000008,BUSY,589,UTC,2026-02-12 20:40:45,Asia/Dubai,True
CALL0000013,ACC0014154,BRW0006698,2026-05-30 17:57:19,AGT0000298,CMP0000074,INBOUND,VND0000012,VOICEMAIL,809,Asia/Dubai,2026-05-30 17:57:19,Asia/Kolkata,True
CALL0000014,ACC0007396,BRW0005478,2026-01-10 17:09:15,AGT0000992,CMP0000098,OUTBOUND,VND0000008,VOICEMAIL,536,Asia/Dubai,2026-01-10 17:09:15,UTC,True
CALL0000015,ACC0003819,BRW0010032,2026-06-13 22:35:10,AGT0000630,CMP0000028,OUTBOUND,VND0000007,FAILED,782,Asia/Dubai,2026-06-13 22:35:10,UTC,True
CALL0000017,ACC0000324,BRW0009995,2026-01-21 16:48:34,AGT0000198,CMP0000048,OUTBOUND,VND0000009,NO_ANSWER,772,Asia/Dubai,2026-01-21 16:48:34,Asia/Kolkata,True
CALL0000018,ACC0000064,BRW0011457,2026-04-28 11:02:01,AGT0000040,CMP0000068,OUTBOUND,VND0000003,FAILED,230,UTC,2026-04-28 11:02:01,Asia/Kolkata,True
CALL0000021,ACC0028579,BRW0006503,2026-02-14 04:38:51,AGT0000613,CMP0000009,OUTBOUND,VND0000001,VOICEMAIL,63,Asia/Kolkata,2026-02-14 04:38:51,Asia/Dubai,True
CALL0000022,ACC0009881,BRW0008929,2026-08-05 05:55:16,AGT0000842,CMP0000019,OUTBOUND,VND0000001,VOICEMAIL,289,Asia/Kolkata,2026-08-05 05:55:16,Asia/Dubai,True
CALL0000023,ACC0005656,BRW0006248,2026-07-11 16:42:23,AGT0000862,CMP0000096,OUTBOUND,VND0000007,NO_ANSWER,537,Asia/Kolkata,2026-07-11 16:42:23,UTC,True
CALL0000025,ACC0004249,BRW0002761,2026-06-19 04:18:04,AGT0000638,CMP0000050,INBOUND,VND0000015,FAILED,519,Asia/Dubai,2026-06-19 04:18:04,UTC,True
CALL0000027,ACC0002663,BRW0007883,2026-01-18 12:26:51,AGT0000841,CMP0000017,OUTBOUND,VND0000005,BUSY,453,Asia/Kolkata,2026-01-18 12:26:51,Asia/Dubai,True
CALL0000029,ACC0022130,BRW0011674,2026-03-24 00:14:47,AGT0000865,CMP0000055,OUTBOUND,VND0000015,FAILED,46,Asia/Dubai,2026-03-24 00:14:47,UTC,True
CALL0000030,ACC0015282,BRW0007845,2026-06-18 19:24:12,AGT0000850,CMP0000089,OUTBOUND,VND0000008,FAILED,749,UTC,2026-06-18 19:24:12,Asia/Kolkata,True
CALL0000032,ACC0010981,BRW0009494,2026-03-29 20:46:57,AGT0000789,CMP0000074,OUTBOUND,VND0000005,FAILED,719,Asia/Kolkata,2026-03-29 20:46:57,Asia/Dubai,True
CALL0000033,ACC0020302,BRW0010171,2026-04-26 20:30:26,AGT0000315,CMP0000046,OUTBOUND,VND0000013,VOICEMAIL,44,Asia/Dubai,2026-04-26 20:30:26,UTC,True
CALL0000034,ACC0007010,BRW0004684,2026-01-13 07:21:05,AGT0000489,CMP0000035,OUTBOUND,VND0000014,FAILED,335,Asia/Kolkata,2026-01-13 07:21:05,UTC,True
CALL0000035,ACC0024768,BRW0007892,2026-06-12 05:33:37,AGT0000268,CMP0000109,OUTBOUND,VND0000012,ANSWERED,827,Asia/Kolkata,2026-06-12 05:33:37,UTC,True
CALL0000037,ACC0009696,BRW0003238,2026-04-20 01:18:52,AGT0000787,CMP0000010,OUTBOUND,VND0000011,BUSY,47,Asia/Kolkata,2026-04-20 01:18:52,Asia/Dubai,True
CALL0000039,ACC0012935,BRW0008063,2026-04-28 03:56:21,AGT0000613,CMP0000062,OUTBOUND,VND0000008,BUSY,681,Asia/Kolkata,2026-04-28 03:56:21,Asia/Dubai,True
CALL0000040,ACC0018788,BRW0003659,2026-07-09 10:23:27,AGT0000172,CMP0000007,OUTBOUND,VND0000007,VOICEMAIL,299,UTC,2026-07-09 10:23:27,Asia/Kolkata,True
CALL0000041,ACC0008263,BRW0001425,2026-01-05 17:53:57,AGT0000108,CMP0000050,OUTBOUND,VND0000005,ANSWERED,298,Asia/Dubai,2026-01-05 17:53:57,UTC,True
CALL0000042,ACC0001605,BRW0008707,2026-06-20 19:03:46,AGT0000887,CMP0000055,OUTBOUND,VND0000005,FAILED,467,UTC,2026-06-20 19:03:46,Asia/Dubai,True
