month,account_population,unique_accounts,unique_campaigns,targeted_share_of_accounts
2024-01,1311.0,,,
2024-02,1299.0,,,
2024-03,1404.0,,,
2024-04,1263.0,,,
2024-05,1287.0,,,
2024-06,1219.0,,,
2024-07,1324.0,,,
2024-08,1358.0,,,
2024-09,1326.0,,,
2024-10,1362.0,,,
2024-11,1288.0,,,
2024-12,1306.0,,,
2025-01,1332.0,,,
2025-02,1232.0,,,
2025-03,1355.0,,,
2025-04,1258.0,,,
2025-05,1273.0,,,
2025-06,1256.0,,,
2025-07,1284.0,,,
2025-08,1323.0,,,
2025-09,1361.0,,,
2025-10,1325.0,,,
2025-11,1254.0,,,
2026-01,,5732.0,120.0,
2026-02,,5160.0,120.0,
2026-03,,5666.0,120.0,
2026-04,,5585.0,120.0,
2026-05,,5800.0,120.0,
2026-06,,5535.0,120.0,
2026-07,,5666.0,120.0,
2026-08,,1566.0,120.0,
