_month,account_rows,unique_accounts,population_change_pct,source
2024-01,1311,1311,,accounts
2024-02,1299,1299,-0.9153318077803174,accounts
2024-03,1404,1404,8.083140877598161,accounts
2024-04,1263,1263,-10.04273504273504,accounts
2024-05,1287,1287,1.9002375296912177,accounts
2024-06,1219,1219,-5.2836052836052865,accounts
2024-07,1324,1324,8.613617719442157,accounts
2024-08,1358,1358,2.5679758308157163,accounts
2024-09,1326,1326,-2.356406480117823,accounts
2024-10,1362,1362,2.714932126696823,accounts
2024-11,1288,1288,-5.433186490455211,accounts
2024-12,1306,1306,1.3975155279503104,accounts
2025-01,1332,1332,1.9908116385911168,accounts
2025-02,1232,1232,-7.507507507507505,accounts
2025-03,1355,1355,9.983766233766245,accounts
2025-04,1258,1258,-7.158671586715871,accounts
2025-05,1273,1273,1.19236883942766,accounts
2025-06,1256,1256,-1.335428122545168,accounts
2025-07,1284,1284,2.2292993630573354,accounts
2025-08,1323,1323,3.0373831775700966,accounts
2025-09,1361,1361,2.8722600151171562,accounts
2025-10,1325,1325,-2.645113886847905,accounts
2025-11,1254,1254,-5.358490566037732,accounts
