month,disposition_version,disposition_code,records
2026-01,legacy,CALLBACK,194
2026-01,legacy,DISPUTE,181
2026-01,legacy,NO_CONTACT,198
2026-01,legacy,PAID,167
2026-01,legacy,PROMISE_TO_PAY,203
2026-01,legacy,PTP,201
2026-01,legacy,PTP_BROKEN,172
2026-01,legacy,REFUSED,178
2026-01,legacy,WRONG_NUMBER,200
2026-01,v1,CALLBACK,192
2026-01,v1,DISPUTE,168
2026-01,v1,NO_CONTACT,196
2026-01,v1,PAID,166
2026-01,v1,PROMISE_TO_PAY,162
2026-01,v1,PTP,174
2026-01,v1,PTP_BROKEN,198
2026-01,v1,REFUSED,170
2026-01,v1,WRONG_NUMBER,184
2026-01,v2,CALLBACK,195
2026-01,v2,DISPUTE,185
2026-01,v2,NO_CONTACT,182
2026-01,v2,PAID,173
2026-01,v2,PROMISE_TO_PAY,223
2026-01,v2,PTP,191
2026-01,v2,PTP_BROKEN,182
2026-01,v2,REFUSED,167
2026-01,v2,WRONG_NUMBER,176
2026-02,legacy,CALLBACK,155
2026-02,legacy,DISPUTE,171
2026-02,legacy,NO_CONTACT,181
2026-02,legacy,PAID,173
2026-02,legacy,PROMISE_TO_PAY,182
2026-02,legacy,PTP,157
2026-02,legacy,PTP_BROKEN,156
2026-02,legacy,REFUSED,152
2026-02,legacy,WRONG_NUMBER,157
2026-02,v1,CALLBACK,166
2026-02,v1,DISPUTE,169
2026-02,v1,NO_CONTACT,176
2026-02,v1,PAID,167
2026-02,v1,PROMISE_TO_PAY,175
2026-02,v1,PTP,166
2026-02,v1,PTP_BROKEN,153
2026-02,v1,REFUSED,150
2026-02,v1,WRONG_NUMBER,169
2026-02,v2,CALLBACK,159
2026-02,v2,DISPUTE,166
2026-02,v2,NO_CONTACT,201
2026-02,v2,PAID,165
2026-02,v2,PROMISE_TO_PAY,151
2026-02,v2,PTP,160
2026-02,v2,PTP_BROKEN,152
2026-02,v2,REFUSED,157
2026-02,v2,WRONG_NUMBER,172
2026-03,legacy,CALLBACK,197
2026-03,legacy,DISPUTE,190
2026-03,legacy,NO_CONTACT,196
2026-03,legacy,PAID,164
2026-03,legacy,PROMISE_TO_PAY,176
2026-03,legacy,PTP,190
2026-03,legacy,PTP_BROKEN,170
2026-03,legacy,REFUSED,185
2026-03,legacy,WRONG_NUMBER,194
2026-03,v1,CALLBACK,183
2026-03,v1,DISPUTE,165
2026-03,v1,NO_CONTACT,178
2026-03,v1,PAID,179
2026-03,v1,PROMISE_TO_PAY,186
2026-03,v1,PTP,174
2026-03,v1,PTP_BROKEN,176
2026-03,v1,REFUSED,180
2026-03,v1,WRONG_NUMBER,159
2026-03,v2,CALLBACK,164
2026-03,v2,DISPUTE,193
2026-03,v2,NO_CONTACT,146
2026-03,v2,PAID,176
2026-03,v2,PROMISE_TO_PAY,195
2026-03,v2,PTP,185
2026-03,v2,PTP_BROKEN,204
2026-03,v2,REFUSED,179
2026-03,v2,WRONG_NUMBER,204
2026-04,legacy,CALLBACK,167
2026-04,legacy,DISPUTE,175
2026-04,legacy,NO_CONTACT,206
2026-04,legacy,PAID,171
2026-04,legacy,PROMISE_TO_PAY,195
2026-04,legacy,PTP,159
2026-04,legacy,PTP_BROKEN,167
2026-04,legacy,REFUSED,170
2026-04,legacy,WRONG_NUMBER,184
2026-04,v1,CALLBACK,194
2026-04,v1,DISPUTE,156
2026-04,v1,NO_CONTACT,166
2026-04,v1,PAID,160
2026-04,v1,PROMISE_TO_PAY,175
2026-04,v1,PTP,174
2026-04,v1,PTP_BROKEN,180
2026-04,v1,REFUSED,184
2026-04,v1,WRONG_NUMBER,184
2026-04,v2,CALLBACK,176
2026-04,v2,DISPUTE,155
2026-04,v2,NO_CONTACT,188
2026-04,v2,PAID,185
2026-04,v2,PROMISE_TO_PAY,177
2026-04,v2,PTP,205
2026-04,v2,PTP_BROKEN,178
2026-04,v2,REFUSED,176
2026-04,v2,WRONG_NUMBER,185
2026-05,legacy,CALLBACK,185
2026-05,legacy,DISPUTE,172
2026-05,legacy,NO_CONTACT,180
2026-05,legacy,PAID,169
2026-05,legacy,PROMISE_TO_PAY,184
2026-05,legacy,PTP,191
2026-05,legacy,PTP_BROKEN,193
2026-05,legacy,REFUSED,175
2026-05,legacy,WRONG_NUMBER,203
2026-05,v1,CALLBACK,170
2026-05,v1,DISPUTE,184
2026-05,v1,NO_CONTACT,207
2026-05,v1,PAID,179
2026-05,v1,PROMISE_TO_PAY,186
2026-05,v1,PTP,194
2026-05,v1,PTP_BROKEN,199
2026-05,v1,REFUSED,205
2026-05,v1,WRONG_NUMBER,174
2026-05,v2,CALLBACK,173
2026-05,v2,DISPUTE,177
2026-05,v2,NO_CONTACT,165
2026-05,v2,PAID,196
2026-05,v2,PROMISE_TO_PAY,173
2026-05,v2,PTP,170
2026-05,v2,PTP_BROKEN,180
2026-05,v2,REFUSED,200
2026-05,v2,WRONG_NUMBER,196
2026-06,legacy,CALLBACK,177
2026-06,legacy,DISPUTE,185
2026-06,legacy,NO_CONTACT,170
2026-06,legacy,PAID,180
2026-06,legacy,PROMISE_TO_PAY,168
2026-06,legacy,PTP,189
2026-06,legacy,PTP_BROKEN,194
2026-06,legacy,REFUSED,169
2026-06,legacy,WRONG_NUMBER,202
2026-06,v1,CALLBACK,181
2026-06,v1,DISPUTE,175
2026-06,v1,NO_CONTACT,188
2026-06,v1,PAID,181
2026-06,v1,PROMISE_TO_PAY,186
2026-06,v1,PTP,193
2026-06,v1,PTP_BROKEN,170
