payment_id,occurrences
PAYMENT0024852,2
PAYMENT0000056,2
PAYMENT0000076,2
PAYMENT0000108,2
PAYMENT0000149,2
PAYMENT0000199,2
PAYMENT0000255,2
PAYMENT0000263,2
PAYMENT0000311,2
PAYMENT0000552,2
PAYMENT0000553,2
PAYMENT0000601,2
PAYMENT0000623,2
PAYMENT0000695,2
PAYMENT0000724,2
PAYMENT0000794,2
PAYMENT0000849,2
PAYMENT0000850,2
PAYMENT0000902,2
PAYMENT0001076,2
PAYMENT0023292,2
PAYMENT0023405,2
PAYMENT0023444,2
PAYMENT0023518,2
PAYMENT0023597,2
PAYMENT0023620,2
PAYMENT0023686,2
PAYMENT0023749,2
PAYMENT0022870,2
PAYMENT0022941,2
PAYMENT0023070,2
PAYMENT0023113,2
PAYMENT0023164,2
PAYMENT0023217,2
PAYMENT0023272,2
PAYMENT0023273,2
PAYMENT0022197,2
PAYMENT0022236,2
PAYMENT0022330,2
PAYMENT0022335,2
PAYMENT0022349,2
PAYMENT0022466,2
PAYMENT0022504,2
PAYMENT0022620,2
PAYMENT0021717,2
PAYMENT0021799,2
PAYMENT0021937,2
PAYMENT0021940,2
PAYMENT0022082,2
PAYMENT0022165,2
PAYMENT0022166,2
PAYMENT0022190,2
PAYMENT0003072,2
PAYMENT0003097,2
PAYMENT0003115,2
PAYMENT0003197,2
PAYMENT0003282,2
PAYMENT0003341,2
PAYMENT0003346,2
PAYMENT0003389,2
PAYMENT0002652,2
PAYMENT0002667,2
PAYMENT0002723,2
PAYMENT0002760,2
PAYMENT0002810,2
PAYMENT0002993,2
PAYMENT0003028,2
PAYMENT0003059,2
PAYMENT0002494,2
PAYMENT0002545,2
PAYMENT0002555,2
PAYMENT0002588,2
PAYMENT0002592,2
PAYMENT0002597,2
PAYMENT0002608,2
PAYMENT0002623,2
PAYMENT0002291,2
PAYMENT0002299,2
PAYMENT0002303,2
PAYMENT0002309,2
PAYMENT0002380,2
PAYMENT0002428,2
PAYMENT0002478,2
PAYMENT0002481,2
PAYMENT0004602,2
PAYMENT0004618,2
PAYMENT0004683,2
PAYMENT0004690,2
PAYMENT0004703,2
PAYMENT0004734,2
PAYMENT0004736,2
PAYMENT0004797,2
PAYMENT0004408,2
PAYMENT0004446,2
PAYMENT0004449,2
PAYMENT0004471,2
PAYMENT0004491,2
PAYMENT0004539,2
PAYMENT0004542,2
PAYMENT0004560,2
PAYMENT0003660,2
PAYMENT0003713,2
PAYMENT0004068,2
PAYMENT0004208,2
PAYMENT0004253,2
PAYMENT0004311,2
PAYMENT0004320,2
PAYMENT0004381,2
PAYMENT0003452,2
PAYMENT0003491,2
PAYMENT0003492,2
PAYMENT0003504,2
PAYMENT0003528,2
PAYMENT0003561,2
PAYMENT0003603,2
PAYMENT0003649,2
PAYMENT0005947,2
PAYMENT0006086,2
PAYMENT0006253,2
PAYMENT0006264,2
PAYMENT0006308,2
PAYMENT0006319,2
PAYMENT0006360,2
PAYMENT0006405,2
PAYMENT0005498,2
PAYMENT0005546,2
PAYMENT0005611,2
PAYMENT0005649,2
PAYMENT0005683,2
PAYMENT0005702,2
PAYMENT0005705,2
PAYMENT0005935,2
PAYMENT0005099,2
PAYMENT0005115,2
PAYMENT0005191,2
PAYMENT0005199,2
PAYMENT0005342,2
PAYMENT0005424,2
PAYMENT0005475,2
PAYMENT0005477,2
PAYMENT0004938,2
PAYMENT0004963,2
PAYMENT0004967,2
PAYMENT0004999,2
PAYMENT0005033,2
PAYMENT0005064,2
PAYMENT0005088,2
PAYMENT0005089,2
PAYMENT0007706,2
PAYMENT0007730,2
PAYMENT0007751,2
PAYMENT0007752,2
PAYMENT0007776,2
PAYMENT0007851,2
PAYMENT0007852,2
PAYMENT0007952,2
PAYMENT0007541,2
PAYMENT0007568,2
PAYMENT0007575,2
PAYMENT0007582,2
PAYMENT0007595,2
PAYMENT0007645,2
PAYMENT0007650,2
PAYMENT0007652,2
PAYMENT0006904,2
PAYMENT0006908,2
PAYMENT0007137,2
PAYMENT0007214,2
PAYMENT0007282,2
PAYMENT0007316,2
PAYMENT0007327,2
PAYMENT0007330,2
PAYMENT0006431,2
PAYMENT0006597,2
PAYMENT0006686,2
PAYMENT0006713,2
PAYMENT0006739,2
PAYMENT0006794,2
PAYMENT0006900,2
PAYMENT0006902,2
PAYMENT0009521,2
PAYMENT0009536,2
PAYMENT0009554,2
PAYMENT0009711,2
PAYMENT0009776,2
PAYMENT0009792,2
PAYMENT0009839,2
PAYMENT0009866,2
PAYMENT0008983,2
PAYMENT0009018,2
PAYMENT0009063,2
PAYMENT0009343,2
PAYMENT0009366,2
PAYMENT0009387,2
PAYMENT0009467,2
PAYMENT0009510,2
PAYMENT0008472,2
PAYMENT0008505,2
PAYMENT0008537,2
PAYMENT0008574,2
PAYMENT0008730,2
PAYMENT0008752,2
PAYMENT0008877,2
PAYMENT0008968,2
PAYMENT0007966,2
PAYMENT0007967,2
PAYMENT0007976,2
PAYMENT0008010,2
PAYMENT0008019,2
PAYMENT0008256,2
PAYMENT0008372,2
PAYMENT0008392,2
PAYMENT0010963,2
PAYMENT0011031,2
PAYMENT0011049,2
PAYMENT0011078,2
PAYMENT0011193,2
PAYMENT0011218,2
PAYMENT0011230,2
PAYMENT0011407,2
PAYMENT0010575,2
PAYMENT0010607,2
PAYMENT0010637,2
PAYMENT0010649,2
PAYMENT0010670,2
PAYMENT0010763,2
PAYMENT0010788,2
PAYMENT0010962,2
PAYMENT0010226,2
PAYMENT0010252,2
PAYMENT0010273,2
PAYMENT0010497,2
PAYMENT0010506,2
PAYMENT0010530,2
PAYMENT0010558,2
PAYMENT0010564,2
PAYMENT0009882,2
PAYMENT0009890,2
PAYMENT0009914,2
PAYMENT0010093,2
PAYMENT0010098,2
PAYMENT0010099,2
PAYMENT0010147,2
PAYMENT0010160,2
PAYMENT0012446,2
PAYMENT0012521,2
PAYMENT0012549,2
PAYMENT0012586,2
PAYMENT0012649,2
PAYMENT0012689,2
PAYMENT0012712,2
PAYMENT0012773,2
PAYMENT0012223,2
PAYMENT0012248,2
PAYMENT0012267,2
PAYMENT0012285,2
PAYMENT0012359,2
PAYMENT0012394,2
PAYMENT0012412,2
PAYMENT0012421,2
PAYMENT0011890,2
PAYMENT0011956,2
PAYMENT0011957,2
PAYMENT0012032,2
PAYMENT0012053,2
PAYMENT0012093,2
PAYMENT0012182,2
PAYMENT0012203,2
PAYMENT0011597,2
PAYMENT0011614,2
PAYMENT0011631,2
PAYMENT0011657,2
PAYMENT0011679,2
PAYMENT0011736,2
PAYMENT0011759,2
PAYMENT0011853,2
PAYMENT0014170,2
PAYMENT0014260,2
PAYMENT0014334,2
PAYMENT0014335,2
PAYMENT0014337,2
PAYMENT0014387,2
PAYMENT0014435,2
PAYMENT0014449,2
PAYMENT0013775,2
PAYMENT0013787,2
PAYMENT0013853,2
PAYMENT0014065,2
PAYMENT0014083,2
PAYMENT0014099,2
PAYMENT0014116,2
PAYMENT0014131,2
PAYMENT0013246,2
PAYMENT0013254,2
PAYMENT0013309,2
PAYMENT0013499,2
PAYMENT0013533,2
PAYMENT0013553,2
PAYMENT0013652,2
PAYMENT0013716,2
PAYMENT0012905,2
PAYMENT0012974,2
PAYMENT0012997,2
PAYMENT0013083,2
PAYMENT0013110,2
PAYMENT0013160,2
PAYMENT0013196,2
PAYMENT0013211,2
PAYMENT0015787,2
PAYMENT0015847,2
PAYMENT0015883,2
PAYMENT0015913,2
PAYMENT0015956,2
PAYMENT0016009,2
PAYMENT0016020,2
PAYMENT0016035,2
PAYMENT0015358,2
PAYMENT0015462,2
PAYMENT0015590,2
PAYMENT0015660,2
PAYMENT0015683,2
PAYMENT0015695,2
PAYMENT0015745,2
PAYMENT0015766,2
PAYMENT0014983,2
PAYMENT0014986,2
PAYMENT0015128,2
PAYMENT0015136,2
PAYMENT0015177,2
PAYMENT0015179,2
PAYMENT0015220,2
PAYMENT0015338,2
PAYMENT0014492,2
PAYMENT0014525,2
PAYMENT0014618,2
PAYMENT0014643,2
PAYMENT0014645,2
PAYMENT0014663,2
PAYMENT0014915,2
PAYMENT0014926,2
PAYMENT0017562,2
PAYMENT0017593,2
PAYMENT0017610,2
PAYMENT0017636,2
PAYMENT0017700,2
PAYMENT0017719,2
PAYMENT0017896,2
PAYMENT0017969,2
PAYMENT0017129,2
PAYMENT0017204,2
PAYMENT0017313,2
PAYMENT0017423,2
PAYMENT0017426,2
PAYMENT0017498,2
PAYMENT0017506,2
PAYMENT0017511,2
PAYMENT0016590,2
PAYMENT0016597,2
PAYMENT0016651,2
PAYMENT0016667,2
PAYMENT0016808,2
PAYMENT0016862,2
PAYMENT0016929,2
PAYMENT0017042,2
PAYMENT0016051,2
PAYMENT0016054,2
PAYMENT0016061,2
PAYMENT0016081,2
PAYMENT0016338,2
PAYMENT0016410,2
PAYMENT0016467,2
PAYMENT0016560,2
PAYMENT0019150,2
PAYMENT0019275,2
PAYMENT0019305,2
PAYMENT0019599,2
PAYMENT0019604,2
PAYMENT0019683,2
PAYMENT0019704,2
PAYMENT0019831,2
PAYMENT0018816,2
PAYMENT0018854,2
PAYMENT0018855,2
PAYMENT0018859,2
PAYMENT0019008,2
PAYMENT0019038,2
PAYMENT0019083,2
PAYMENT0019119,2
PAYMENT0018425,2
PAYMENT0018449,2
PAYMENT0018488,2
PAYMENT0018522,2
PAYMENT0018542,2
PAYMENT0018685,2
PAYMENT0018772,2
PAYMENT0018773,2
