payment_id,account_id,event_at_parsed,amount,payment_status,call_id,call_event_at,agent_id,campaign_id,vendor_id,call_status,hours_since_prior_call
PAYMENT0008675,ACC0014142,2026-01-01 00:14:40,99867.36,SUCCESS,,,,,,,
PAYMENT0008644,ACC0003318,2026-01-01 00:27:39,94128.59,REVERSED,,,,,,,
PAYMENT0002693,ACC0014449,2026-01-01 00:41:58,101870.25,SUCCESS,,,,,,,
PAYMENT0004607,ACC0018164,2026-01-01 00:44:12,63882.71,FAILED,,,,,,,
PAYMENT0000307,ACC0026311,2026-01-01 00:46:12,68439.57,FAILED,,,,,,,
PAYMENT0024821,ACC0018361,2026-01-01 00:50:36,87906.8,SUCCESS,,,,,,,
PAYMENT0011191,ACC0004322,2026-01-01 01:02:22,94150.2,SUCCESS,,,,,,,
PAYMENT0008443,ACC0005569,2026-01-01 01:21:07,81954.29,SUCCESS,,,,,,,
PAYMENT0020533,ACC0002164,2026-01-01 01:21:45,74524.8,SUCCESS,,,,,,,
PAYMENT0018250,ACC0022477,2026-01-01 01:33:19,23224.76,PENDING,,,,,,,
PAYMENT0010455,ACC0002916,2026-01-01 01:42:55,14211.83,SUCCESS,,,,,,,
PAYMENT0017955,ACC0016208,2026-01-01 02:12:07,130720.85,SUCCESS,,,,,,,
PAYMENT0010896,ACC0007568,2026-01-01 03:18:23,47173.69,PENDING,,,,,,,
PAYMENT0019351,ACC0002101,2026-01-01 03:23:35,144785.25,FAILED,,,,,,,
PAYMENT0002337,ACC0028378,2026-01-01 03:56:34,33260.86,SUCCESS,,,,,,,
PAYMENT0020194,ACC0013024,2026-01-01 03:58:00,112139.21,PENDING,,,,,,,
PAYMENT0001673,ACC0020007,2026-01-01 04:01:14,31873.27,PENDING,,,,,,,
PAYMENT0013883,ACC0017694,2026-01-01 04:15:47,148923.71,FAILED,,,,,,,
PAYMENT0008918,ACC0025342,2026-01-01 04:25:40,129926.36,SUCCESS,,,,,,,
PAYMENT0011989,ACC0001265,2026-01-01 04:45:10,130617.76,SUCCESS,,,,,,,
PAYMENT0017163,ACC0006017,2026-01-01 04:45:59,44410.74,PENDING,,,,,,,
PAYMENT0018768,ACC0022220,2026-01-01 04:55:12,115484.68,SUCCESS,,,,,,,
PAYMENT0011789,ACC0024193,2026-01-01 05:06:19,6597.34,SUCCESS,,,,,,,
PAYMENT0009550,ACC0009344,2026-01-01 05:11:34,130597.53,FAILED,,,,,,,
PAYMENT0007525,ACC0014215,2026-01-01 05:13:47,97172.71,SUCCESS,,,,,,,
PAYMENT0022916,ACC0001808,2026-01-01 05:16:02,108795.38,SUCCESS,,,,,,,
PAYMENT0009338,ACC0001849,2026-01-01 06:09:44,57465.36,SUCCESS,,,,,,,
PAYMENT0012797,ACC0023695,2026-01-01 06:12:13,136829.44,SUCCESS,,,,,,,
PAYMENT0020245,ACC0022961,2026-01-01 06:35:40,110026.44,SUCCESS,,,,,,,
PAYMENT0024358,ACC0002954,2026-01-01 06:43:43,27166.2,SUCCESS,,,,,,,
PAYMENT0018074,ACC0004593,2026-01-01 07:37:16,45768.74,SUCCESS,,,,,,,
PAYMENT0020470,ACC0007291,2026-01-01 08:34:35,128160.45,SUCCESS,,,,,,,
PAYMENT0011695,ACC0021096,2026-01-01 08:43:33,23268.25,SUCCESS,,,,,,,
PAYMENT0013597,ACC0019094,2026-01-01 08:56:15,139732.82,REVERSED,,,,,,,
PAYMENT0021251,ACC0008308,2026-01-01 08:57:10,47408.9,SUCCESS,,,,,,,
PAYMENT0008926,ACC0024696,2026-01-01 09:40:11,51440.29,SUCCESS,,,,,,,
PAYMENT0022563,ACC0029491,2026-01-01 09:43:10,96840.65,SUCCESS,,,,,,,
PAYMENT0021285,ACC0000549,2026-01-01 09:48:41,58317.85,PENDING,,,,,,,
PAYMENT0020866,ACC0013922,2026-01-01 09:58:12,66690.5,SUCCESS,,,,,,,
PAYMENT0012745,ACC0013866,2026-01-01 10:09:52,30216.91,SUCCESS,,,,,,,
PAYMENT0000919,ACC0016966,2026-01-01 10:17:36,40006.94,SUCCESS,,,,,,,
PAYMENT0017407,ACC0024371,2026-01-01 10:18:19,72862.68,SUCCESS,,,,,,,
PAYMENT0004244,ACC0000168,2026-01-01 10:21:57,64084.31,SUCCESS,,,,,,,
PAYMENT0003184,ACC0018638,2026-01-01 10:48:43,94524.48,SUCCESS,,,,,,,
PAYMENT0019759,ACC0020024,2026-01-01 10:51:33,3041.68,FAILED,,,,,,,
PAYMENT0009789,ACC0017555,2026-01-01 10:52:26,74979.91,SUCCESS,,,,,,,
PAYMENT0019645,ACC0022917,2026-01-01 11:05:56,32723.19,SUCCESS,,,,,,,
PAYMENT0021695,ACC0019939,2026-01-01 11:16:07,121327.54,PENDING,,,,,,,
PAYMENT0016471,ACC0020018,2026-01-01 11:34:57,3351.45,SUCCESS,,,,,,,
PAYMENT0002690,ACC0021732,2026-01-01 11:39:38,100979.96,SUCCESS,,,,,,,
PAYMENT0002605,ACC0002040,2026-01-01 11:52:54,113222.64,SUCCESS,,,,,,,
PAYMENT0016001,ACC0027018,2026-01-01 12:11:48,22215.67,SUCCESS,,,,,,,
PAYMENT0000647,ACC0009017,2026-01-01 12:13:58,13363.71,SUCCESS,,,,,,,
PAYMENT0015662,ACC0001433,2026-01-01 12:15:57,103551.53,PENDING,,,,,,,
PAYMENT0024180,ACC0027521,2026-01-01 12:29:20,66343.48,SUCCESS,,,,,,,
PAYMENT0005933,ACC0012718,2026-01-01 12:38:35,135246.26,REVERSED,,,,,,,
PAYMENT0007474,ACC0026206,2026-01-01 12:43:43,30955.44,PENDING,,,,,,,
PAYMENT0020999,ACC0004575,2026-01-01 12:44:10,28703.83,FAILED,,,,,,,
PAYMENT0003065,ACC0028362,2026-01-01 12:47:59,44142.69,SUCCESS,,,,,,,
PAYMENT0011734,ACC0009161,2026-01-01 12:48:02,56932.08,SUCCESS,,,,,,,
PAYMENT0005930,ACC0011803,2026-01-01 13:03:29,29018.57,SUCCESS,,,,,,,
PAYMENT0018271,ACC0000736,2026-01-01 13:16:59,143439.11,SUCCESS,,,,,,,
PAYMENT0012774,ACC0017081,2026-01-01 14:00:03,119184.22,SUCCESS,,,,,,,
PAYMENT0018178,ACC0013152,2026-01-01 14:01:55,94534.53,SUCCESS,,,,,,,
PAYMENT0012029,ACC0019846,2026-01-01 14:10:08,49054.1,SUCCESS,,,,,,,
PAYMENT0007414,ACC0001756,2026-01-01 14:14:38,32129.14,SUCCESS,,,,,,,
PAYMENT0006492,ACC0011777,2026-01-01 14:25:15,82602.18,REVERSED,,,,,,,
PAYMENT0001422,ACC0003965,2026-01-01 14:29:57,110446.86,SUCCESS,,,,,,,
PAYMENT0020219,ACC0028765,2026-01-01 14:35:37,114380.52,PENDING,,,,,,,
PAYMENT0016884,ACC0003970,2026-01-01 14:43:51,105491.88,SUCCESS,,,,,,,
PAYMENT0011515,ACC0014675,2026-01-01 14:45:54,119041.98,SUCCESS,,,,,,,
PAYMENT0023823,ACC0013283,2026-01-01 14:58:01,137414.4,SUCCESS,,,,,,,
PAYMENT0002987,ACC0000034,2026-01-01 15:07:05,82513.7,PENDING,,,,,,,
PAYMENT0024402,ACC0003283,2026-01-01 15:09:19,43275.64,PENDING,,,,,,,
PAYMENT0019466,ACC0017402,2026-01-01 15:22:39,48897.15,SUCCESS,,,,,,,
PAYMENT0009619,ACC0027868,2026-01-01 15:25:12,49811.62,REVERSED,,,,,,,
PAYMENT0019350,ACC0009612,2026-01-01 15:27:46,126622.21,SUCCESS,,,,,,,
PAYMENT0022745,ACC0002082,2026-01-01 15:41:55,58157.07,SUCCESS,,,,,,,
PAYMENT0011614,ACC0003825,2026-01-01 15:42:05,35186.17,PENDING,,,,,,,
PAYMENT0011614,ACC0003825,2026-01-01 15:42:05,35186.17,PENDING,,,,,,,
PAYMENT0019761,ACC0007198,2026-01-01 16:27:51,113123.81,SUCCESS,,,,,,,
PAYMENT0020616,ACC0002189,2026-01-01 16:38:29,69189.76,SUCCESS,,,,,,,
PAYMENT0007395,ACC0025132,2026-01-01 16:45:11,148373.0,SUCCESS,,,,,,,
PAYMENT0015771,ACC0007355,2026-01-01 17:02:46,12467.81,PENDING,,,,,,,
PAYMENT0007797,ACC0011639,2026-01-01 17:31:37,85320.74,SUCCESS,,,,,,,
PAYMENT0004552,ACC0012269,2026-01-01 18:07:46,73918.89,SUCCESS,,,,,,,
PAYMENT0009895,ACC0010735,2026-01-01 18:22:46,23318.77,REVERSED,,,,,,,
PAYMENT0015480,ACC0023922,2026-01-01 18:32:37,39964.23,SUCCESS,,,,,,,
PAYMENT0000906,ACC0008349,2026-01-01 18:33:12,125235.38,SUCCESS,,,,,,,
PAYMENT0019779,ACC0026493,2026-01-01 18:42:49,52598.28,SUCCESS,,,,,,,
PAYMENT0008074,ACC0003864,2026-01-01 18:56:32,131956.56,SUCCESS,,,,,,,
PAYMENT0007061,ACC0019278,2026-01-01 18:57:23,3687.72,SUCCESS,,,,,,,
PAYMENT0016626,ACC0020009,2026-01-01 19:04:04,21653.77,SUCCESS,,,,,,,
PAYMENT0018445,ACC0010118,2026-01-01 19:40:09,67391.44,SUCCESS,,,,,,,
PAYMENT0024851,ACC0019391,2026-01-01 20:05:54,33798.46,PENDING,,,,,,,
PAYMENT0009653,ACC0004758,2026-01-01 20:28:50,127189.82,SUCCESS,,,,,,,
PAYMENT0000403,ACC0011163,2026-01-01 20:41:20,73276.46,PENDING,,,,,,,
PAYMENT0007059,ACC0028551,2026-01-01 20:45:50,44863.58,SUCCESS,,,,,,,
PAYMENT0018014,ACC0017729,2026-01-01 21:01:04,130148.09,SUCCESS,,,,,,,
PAYMENT0024825,ACC0009088,2026-01-01 21:38:46,94204.7,SUCCESS,,,,,,,
