account_id,amount,event_at_parsed,occurrences
ACC0029925,82923.93,2026-02-14 22:43:03,2
ACC0000040,75424.76,2026-01-09 11:53:37,2
ACC0000056,81814.0,2026-05-12 22:49:22,2
ACC0000070,39313.18,2026-07-31 13:58:14,2
ACC0000158,47676.38,2026-08-04 19:13:04,2
ACC0000170,128514.05,2026-07-22 17:55:30,2
ACC0000224,6088.02,2026-01-05 19:51:25,2
ACC0000566,37751.99,2026-06-19 23:24:23,2
ACC0000632,90265.2,2026-05-31 17:11:54,2
ACC0000678,68996.82,2026-02-05 09:47:11,2
ACC0000731,119344.12,2026-07-20 22:12:33,2
ACC0000734,25006.68,2026-05-23 11:11:30,2
ACC0001193,61932.17,2026-05-25 21:44:06,2
ACC0001243,49622.29,2026-02-15 14:14:35,2
ACC0001254,139630.85,2026-02-28 16:57:14,2
ACC0001262,78628.8,2026-01-26 07:42:21,2
ACC0001297,17061.06,2026-05-27 20:52:32,2
ACC0001307,5970.9,2026-05-07 18:37:15,2
ACC0001376,113118.86,2026-03-04 13:20:58,2
ACC0001542,91071.29,2026-07-02 08:19:31,2
ACC0027690,49249.84,2026-01-25 19:25:17,2
ACC0027713,114617.88,2026-06-26 02:04:40,2
ACC0027765,102727.85,2026-01-02 10:42:54,2
ACC0027881,134905.53,2026-03-29 09:30:15,2
ACC0027928,43712.91,2026-02-05 17:14:30,2
ACC0028014,41291.16,2026-06-08 03:04:11,2
ACC0028014,110097.77,2026-05-27 02:53:34,2
ACC0028045,138294.48,2026-04-16 00:11:18,2
ACC0027372,138310.56,2026-07-19 10:02:37,2
ACC0027382,20009.41,2026-08-07 13:58:58,2
ACC0027423,44217.52,2026-05-23 19:55:15,2
ACC0027533,104351.29,2026-02-14 12:36:42,2
ACC0027547,132282.46,2026-05-22 03:08:55,2
ACC0027575,68606.87,2026-05-31 21:05:53,2
ACC0027651,14890.44,2026-03-19 18:57:03,2
ACC0027689,106082.57,2026-02-11 12:54:37,2
ACC0027145,119533.7,2026-06-13 23:19:13,2
ACC0027223,128476.91,2026-03-19 03:47:07,2
ACC0027258,31004.8,2026-01-28 05:33:36,2
ACC0027266,37078.02,2026-03-11 22:36:19,2
ACC0027301,36175.31,2026-03-21 17:49:04,2
ACC0027308,92013.22,2026-07-14 18:15:01,2
ACC0027331,143934.05,2026-07-17 08:00:53,2
ACC0027348,49208.88,2026-04-13 09:00:51,2
ACC0026650,45817.54,2026-05-01 05:10:02,2
ACC0026727,9833.11,2026-04-16 07:04:18,2
ACC0026816,100085.0,2026-06-12 21:03:06,2
ACC0026843,105356.38,2026-01-05 16:46:16,2
ACC0026891,34222.77,2026-03-21 02:00:10,2
ACC0027035,79866.31,2026-07-26 08:46:44,2
ACC0027110,11244.17,2026-02-04 22:13:00,2
ACC0027129,142140.72,2026-05-07 19:00:27,2
ACC0004822,64348.76,2026-08-02 00:38:57,2
ACC0004836,73969.35,2026-07-29 10:42:34,2
ACC0004887,103203.07,2026-03-21 13:12:02,2
ACC0004935,23677.02,2026-07-14 07:52:27,2
ACC0004940,34333.5,2026-07-17 19:41:15,2
ACC0004949,63793.41,2026-07-05 11:45:51,2
ACC0004967,145735.0,2026-02-08 14:54:58,2
