payment_id,occurrences,accounts,borrowers,references,amounts,providers
PAYMENT0000056,2,1,1,1,1,1
PAYMENT0000076,2,1,1,1,1,1
PAYMENT0000108,2,1,1,1,1,1
PAYMENT0000149,2,1,1,1,1,1
PAYMENT0000199,2,1,1,1,1,1
PAYMENT0000255,2,1,1,1,1,1
PAYMENT0000263,2,1,1,1,1,1
PAYMENT0000311,2,1,1,1,1,1
PAYMENT0000552,2,1,1,1,1,1
PAYMENT0000553,2,1,1,1,1,1
PAYMENT0000601,2,1,1,1,1,1
PAYMENT0000623,2,1,1,1,1,1
PAYMENT0000695,2,1,1,1,1,1
PAYMENT0000724,2,1,1,1,1,1
PAYMENT0000794,2,1,1,1,1,1
PAYMENT0000849,2,1,1,1,1,1
PAYMENT0000850,2,1,1,1,1,1
PAYMENT0000902,2,1,1,1,1,1
PAYMENT0001076,2,1,1,1,1,1
PAYMENT0001154,2,1,1,1,1,1
PAYMENT0001168,2,1,1,1,1,1
PAYMENT0001197,2,1,1,1,1,1
PAYMENT0001208,2,1,1,1,1,1
PAYMENT0001385,2,1,1,1,1,1
PAYMENT0001390,2,1,1,1,1,1
PAYMENT0001408,2,1,1,1,1,1
PAYMENT0001412,2,1,1,1,1,1
PAYMENT0001420,2,1,1,1,1,1
PAYMENT0001421,2,1,1,1,1,1
PAYMENT0001447,2,1,1,1,1,1
PAYMENT0001504,2,1,1,1,1,1
PAYMENT0001532,2,1,1,1,1,1
PAYMENT0001570,2,1,1,1,1,1
PAYMENT0001614,2,1,1,1,1,1
PAYMENT0001690,2,1,1,1,1,1
PAYMENT0001701,2,1,1,1,1,1
PAYMENT0001727,2,1,1,1,1,1
PAYMENT0001757,2,1,1,1,1,1
PAYMENT0001763,2,1,1,1,1,1
PAYMENT0001829,2,1,1,1,1,1
PAYMENT0001843,2,1,1,1,1,1
PAYMENT0001916,2,1,1,1,1,1
PAYMENT0002064,2,1,1,1,1,1
PAYMENT0002092,2,1,1,1,1,1
PAYMENT0002098,2,1,1,1,1,1
PAYMENT0002131,2,1,1,1,1,1
PAYMENT0002148,2,1,1,1,1,1
PAYMENT0002160,2,1,1,1,1,1
PAYMENT0002198,2,1,1,1,1,1
