payment_reference,occurrences,payment_ids,accounts,amounts,providers
TXN0000000009,2,1,1,1,1
TXN0000000027,2,2,2,2,2
TXN0000000032,3,3,3,3,3
TXN0000000113,3,3,3,3,3
TXN0000000132,2,2,2,2,2
TXN0000000134,2,2,2,2,2
TXN0000000154,2,2,2,2,2
TXN0000000186,2,2,2,2,2
TXN0000000196,2,2,2,2,2
TXN0000000212,2,2,2,2,2
TXN0000000271,2,2,2,2,2
TXN0000000277,2,2,2,2,2
TXN0000000280,2,2,2,2,2
TXN0000000314,2,1,1,1,1
TXN0000000327,2,2,2,2,2
TXN0000000329,2,2,2,2,2
TXN0000000352,2,2,2,2,2
TXN0000000374,2,2,2,2,2
TXN0000000428,2,2,2,2,2
TXN0000000437,3,3,3,3,3
TXN0000000454,2,2,2,2,2
TXN0000000466,2,1,1,1,1
TXN0000000471,2,2,2,2,2
TXN0000000475,2,1,1,1,1
TXN0000000480,2,2,2,2,1
TXN0000000482,2,2,2,2,2
TXN0000000487,2,2,2,2,2
TXN0000000491,2,2,2,2,2
TXN0000000512,4,3,3,3,3
TXN0000000531,2,2,2,2,2
TXN0000000562,3,2,2,2,1
TXN0000000568,2,2,2,2,1
TXN0000000578,2,2,2,2,2
TXN0000000584,2,2,2,2,2
TXN0000000601,2,2,2,2,2
TXN0000000619,3,3,3,3,3
TXN0000000629,3,3,3,3,2
TXN0000000630,2,2,2,2,2
TXN0000000635,2,2,2,2,2
TXN0000000667,2,2,2,2,2
TXN0000000710,3,2,2,2,2
TXN0000000732,2,2,2,2,2
TXN0000000744,2,2,2,2,2
TXN0000000776,4,3,3,3,3
TXN0000000782,2,2,2,2,2
TXN0000000791,2,2,2,2,2
TXN0000000794,2,2,2,2,2
TXN0000000806,2,2,2,2,2
TXN0000000808,2,2,2,2,2
TXN0000000867,2,2,2,2,2
TXN0000000908,2,2,2,2,2
TXN0000000928,2,2,2,2,2
TXN0000000949,2,2,2,2,2
TXN0000000958,2,2,2,2,2
TXN0000000965,2,2,2,2,1
TXN0000001052,2,2,2,2,2
TXN0000001102,2,2,2,2,2
TXN0000001106,2,2,2,2,2
TXN0000001126,2,2,2,2,2
TXN0000001134,2,2,2,2,2
TXN0000001178,2,2,2,2,2
TXN0000001233,3,2,2,2,2
TXN0000001252,2,2,2,2,2
TXN0000001266,2,2,2,2,2
TXN0000001278,2,2,2,2,2
TXN0000001316,2,2,2,2,2
TXN0000001397,3,3,3,3,2
TXN0000001402,2,2,2,2,2
TXN0000001412,2,2,2,2,2
TXN0000001423,2,2,2,2,2
TXN0000001429,2,2,2,2,2
TXN0000001435,2,2,2,2,2
TXN0000001444,2,2,2,2,2
TXN0000001555,2,2,2,2,2
TXN0000001571,2,2,2,2,2
TXN0000001599,2,2,2,2,2
TXN0000001605,2,2,2,2,2
TXN0000001623,2,2,2,2,2
TXN0000001653,2,2,2,2,2
TXN0000001666,3,3,3,3,2
TXN0000001685,2,2,2,2,2
TXN0000001688,2,2,2,2,2
TXN0000001709,2,2,2,2,2
TXN0000001713,2,2,2,2,1
TXN0000001718,2,2,2,2,2
TXN0000001743,2,2,2,2,2
TXN0000001750,2,2,2,2,2
TXN0000001772,3,3,3,3,3
TXN0000001778,4,4,4,4,3
TXN0000001783,2,2,2,2,2
TXN0000001784,2,2,2,2,2
TXN0000001790,2,2,2,2,2
TXN0000001795,2,2,2,2,2
TXN0000001829,2,2,2,2,2
TXN0000001840,2,2,2,2,2
TXN0000001842,2,2,2,2,2
TXN0000001845,2,2,2,2,2
TXN0000001862,2,2,2,2,2
TXN0000001890,2,2,2,2,2
TXN0000001903,2,2,2,2,2
TXN0000001905,2,2,2,2,2
TXN0000001933,2,2,2,2,2
TXN0000001936,2,2,2,2,2
TXN0000001955,2,1,1,1,1
TXN0000001956,2,2,2,2,2
TXN0000001998,2,1,1,1,1
TXN0000002001,2,2,2,2,2
TXN0000002004,2,2,2,2,2
TXN0000002005,5,4,4,4,4
TXN0000002011,2,2,2,2,2
TXN0000002013,2,2,2,2,2
TXN0000002081,2,2,2,2,2
TXN0000002082,2,2,2,2,2
TXN0000002086,2,2,2,2,2
TXN0000002094,2,2,2,2,2
TXN0000002098,2,2,2,2,1
TXN0000002107,2,2,2,2,2
TXN0000002126,2,2,2,2,2
TXN0000002151,3,3,3,3,3
TXN0000002159,2,2,2,2,2
TXN0000002197,2,2,2,2,2
TXN0000002208,2,2,2,2,2
TXN0000002213,3,3,3,3,3
TXN0000002226,2,2,2,2,2
TXN0000002234,2,1,1,1,1
TXN0000002260,2,2,2,2,2
TXN0000002297,2,2,2,2,2
TXN0000002303,2,2,2,2,2
TXN0000002327,2,2,2,2,1
TXN0000002329,2,2,2,2,2
TXN0000002334,2,1,1,1,1
TXN0000002362,2,2,2,2,2
TXN0000002394,2,2,2,2,2
TXN0000002401,2,1,1,1,1
TXN0000002411,2,2,2,2,2
TXN0000002415,2,2,2,2,1
TXN0000002426,2,2,2,2,2
TXN0000002431,2,2,2,2,2
TXN0000002456,2,2,2,2,2
TXN0000002465,2,2,2,2,2
TXN0000002475,2,2,2,2,2
TXN0000002506,2,2,2,2,2
TXN0000002530,2,2,2,2,2
TXN0000002531,2,2,2,2,2
TXN0000002572,2,2,2,2,2
TXN0000002584,2,1,1,1,1
TXN0000002599,2,2,2,2,2
TXN0000002612,2,2,2,2,2
TXN0000002615,2,2,2,2,2
TXN0000002624,2,2,2,2,2
TXN0000002629,3,2,2,2,2
TXN0000002640,2,2,2,2,2
TXN0000002648,2,2,2,2,2
TXN0000002687,2,2,2,2,2
TXN0000002733,2,2,2,2,2
TXN0000002752,2,2,2,2,2
TXN0000002756,2,2,2,2,2
TXN0000002804,3,3,3,3,3
TXN0000002814,2,2,2,2,2
TXN0000002819,2,2,2,2,2
TXN0000002824,2,1,1,1,1
TXN0000002839,2,2,2,2,2
TXN0000002854,2,2,2,2,2
TXN0000002855,2,2,2,2,2
TXN0000002856,2,2,2,2,2
TXN0000002863,2,2,2,2,2
TXN0000002871,2,2,2,2,2
TXN0000002952,2,2,2,2,2
TXN0000002954,2,2,2,2,2
TXN0000002977,2,2,2,2,2
TXN0000002998,2,2,2,2,2
TXN0000003009,2,2,2,2,2
TXN0000003036,2,2,2,2,2
TXN0000003087,2,2,2,2,2
TXN0000003112,3,3,3,3,2
TXN0000003124,2,2,2,2,2
TXN0000003134,2,2,2,2,2
TXN0000003138,2,2,2,2,2
TXN0000003140,2,2,2,2,2
TXN0000003142,2,2,2,2,2
TXN0000003166,2,2,2,2,2
TXN0000003178,2,2,2,2,1
TXN0000003185,2,2,2,2,2
TXN0000003189,3,3,3,3,3
TXN0000003211,2,2,2,2,2
TXN0000003244,2,2,2,2,2
TXN0000003250,2,1,1,1,1
TXN0000003307,2,2,2,2,2
TXN0000003319,2,2,2,2,2
TXN0000003380,3,3,3,3,2
TXN0000003425,2,2,2,2,2
TXN0000003450,2,2,2,2,2
TXN0000003462,2,2,2,2,2
TXN0000003519,2,2,2,2,2
TXN0000003526,3,3,3,3,3
TXN0000003528,2,2,2,2,2
TXN0000003535,3,2,2,2,2
TXN0000003547,2,2,2,2,2
TXN0000003550,2,2,2,2,2
TXN0000003561,2,2,2,2,2
TXN0000003570,2,2,2,2,2
TXN0000003576,2,2,2,2,2
TXN0000003593,2,2,2,2,2
TXN0000003597,3,3,3,3,3
TXN0000003603,2,2,2,2,2
TXN0000003638,2,2,2,2,2
TXN0000003640,3,3,3,3,3
TXN0000003652,2,2,2,2,2
TXN0000003669,2,2,2,2,2
TXN0000003670,2,2,2,2,2
TXN0000003671,2,2,2,2,2
TXN0000003679,2,2,2,2,2
TXN0000003685,2,1,1,1,1
TXN0000003695,2,2,2,2,2
TXN0000003727,2,2,2,2,2
TXN0000003737,2,2,2,2,2
TXN0000003746,2,2,2,2,2
TXN0000003758,2,2,2,2,2
TXN0000003772,2,2,2,2,2
TXN0000003780,2,2,2,2,2
TXN0000003790,2,2,2,2,2
TXN0000003800,2,2,2,2,2
TXN0000003809,2,2,2,2,2
TXN0000003815,2,2,2,2,2
TXN0000003820,2,1,1,1,1
TXN0000003879,2,2,2,2,2
TXN0000003916,2,2,2,2,2
TXN0000003927,2,2,2,2,2
TXN0000003956,2,2,2,2,1
TXN0000003972,2,2,2,2,2
TXN0000003990,2,2,2,2,2
TXN0000004001,2,2,2,2,2
TXN0000004045,2,2,2,2,1
TXN0000004055,2,2,2,2,2
TXN0000004096,2,2,2,2,2
TXN0000004113,2,2,2,2,2
TXN0000004116,2,2,2,2,2
TXN0000004128,2,1,1,1,1
TXN0000004135,2,2,2,2,2
TXN0000004144,2,2,2,2,2
TXN0000004173,2,2,2,2,2
TXN0000004181,2,2,2,2,2
TXN0000004182,2,2,2,2,2
TXN0000004186,2,2,2,2,2
TXN0000004191,2,2,2,2,2
TXN0000004327,2,1,1,1,1
TXN0000004354,2,2,2,2,2
TXN0000004374,2,2,2,2,2
TXN0000004376,2,2,2,2,2
TXN0000004381,2,2,2,2,2
TXN0000004391,3,3,3,3,3
TXN0000004397,2,2,2,2,2
TXN0000004414,2,2,2,2,2
TXN0000004438,2,1,1,1,1
TXN0000004440,2,1,1,1,1
TXN0000004446,2,2,2,2,2
TXN0000004486,2,2,2,2,2
TXN0000004518,2,2,2,2,2
TXN0000004519,2,2,2,2,2
TXN0000004610,3,3,3,3,3
TXN0000004725,3,3,3,3,3
TXN0000004737,2,2,2,2,2
TXN0000004742,3,3,3,3,3
TXN0000004743,2,2,2,2,2
TXN0000004744,2,2,2,2,2
TXN0000004767,2,2,2,2,2
TXN0000004776,2,2,2,2,2
TXN0000004784,2,2,2,2,2
TXN0000004797,2,1,1,1,1
TXN0000004801,2,2,2,2,1
TXN0000004811,2,2,2,2,2
TXN0000004828,2,2,2,2,2
TXN0000004835,2,2,2,2,2
TXN0000004856,2,2,2,2,2
TXN0000004865,2,2,2,2,2
TXN0000004884,2,2,2,2,2
