month,loan_type,account_count,share_of_month,dimension,dpd,risk_segment,status,schema_version
2024-01,AUTO,270,0.20594965675057209,loan_type,,,,
2024-01,BNPL,250,0.19069412662090007,loan_type,,,,
2024-01,CONSUMER,264,0.20137299771167047,loan_type,,,,
2024-01,CREDIT_CARD,262,0.19984744469870327,loan_type,,,,
2024-01,PERSONAL,265,0.20213577421815407,loan_type,,,,
2024-02,AUTO,278,0.21401077752117012,loan_type,,,,
2024-02,BNPL,249,0.19168591224018475,loan_type,,,,
2024-02,CONSUMER,256,0.19707467282525018,loan_type,,,,
2024-02,CREDIT_CARD,242,0.18629715165511931,loan_type,,,,
2024-02,PERSONAL,274,0.21093148575827558,loan_type,,,,
2024-03,AUTO,267,0.19017094017094016,loan_type,,,,
2024-03,BNPL,321,0.22863247863247863,loan_type,,,,
2024-03,CONSUMER,276,0.19658119658119658,loan_type,,,,
2024-03,CREDIT_CARD,280,0.19943019943019943,loan_type,,,,
2024-03,PERSONAL,260,0.18518518518518517,loan_type,,,,
2024-04,AUTO,252,0.1995249406175772,loan_type,,,,
2024-04,BNPL,236,0.1868566904196358,loan_type,,,,
2024-04,CONSUMER,268,0.2121931908155186,loan_type,,,,
2024-04,CREDIT_CARD,269,0.21298495645288995,loan_type,,,,
2024-04,PERSONAL,238,0.18844022169437846,loan_type,,,,
2024-05,AUTO,257,0.19968919968919968,loan_type,,,,
2024-05,BNPL,260,0.20202020202020202,loan_type,,,,
2024-05,CONSUMER,237,0.18414918414918416,loan_type,,,,
2024-05,CREDIT_CARD,277,0.21522921522921523,loan_type,,,,
2024-05,PERSONAL,256,0.1989121989121989,loan_type,,,,
2024-06,AUTO,237,0.1944216570959803,loan_type,,,,
2024-06,BNPL,264,0.2165709598031173,loan_type,,,,
2024-06,CONSUMER,218,0.17883511074651354,loan_type,,,,
2024-06,CREDIT_CARD,243,0.19934372436423298,loan_type,,,,
2024-06,PERSONAL,257,0.21082854799015588,loan_type,,,,
2024-07,AUTO,272,0.2054380664652568,loan_type,,,,
2024-07,BNPL,293,0.2212990936555891,loan_type,,,,
2024-07,CONSUMER,223,0.16842900302114805,loan_type,,,,
2024-07,CREDIT_CARD,256,0.1933534743202417,loan_type,,,,
2024-07,PERSONAL,280,0.21148036253776434,loan_type,,,,
2024-08,AUTO,266,0.1958762886597938,loan_type,,,,
2024-08,BNPL,249,0.18335787923416788,loan_type,,,,
2024-08,CONSUMER,279,0.20544918998527245,loan_type,,,,
2024-08,CREDIT_CARD,283,0.20839469808541974,loan_type,,,,
2024-08,PERSONAL,281,0.20692194403534608,loan_type,,,,
2024-09,AUTO,291,0.21945701357466063,loan_type,,,,
2024-09,BNPL,268,0.20211161387631976,loan_type,,,,
2024-09,CONSUMER,232,0.17496229260935142,loan_type,,,,
2024-09,CREDIT_CARD,261,0.19683257918552036,loan_type,,,,
2024-09,PERSONAL,274,0.2066365007541478,loan_type,,,,
2024-10,AUTO,243,0.17841409691629956,loan_type,,,,
2024-10,BNPL,265,0.1945668135095448,loan_type,,,,
2024-10,CONSUMER,279,0.20484581497797358,loan_type,,,,
2024-10,CREDIT_CARD,312,0.2290748898678414,loan_type,,,,
2024-10,PERSONAL,263,0.19309838472834068,loan_type,,,,
2024-11,AUTO,273,0.21195652173913043,loan_type,,,,
2024-11,BNPL,243,0.18866459627329193,loan_type,,,,
2024-11,CONSUMER,265,0.20574534161490685,loan_type,,,,
2024-11,CREDIT_CARD,243,0.18866459627329193,loan_type,,,,
2024-11,PERSONAL,264,0.20496894409937888,loan_type,,,,
2024-12,AUTO,266,0.20367534456355282,loan_type,,,,
2024-12,BNPL,244,0.18683001531393567,loan_type,,,,
2024-12,CONSUMER,285,0.21822358346094947,loan_type,,,,
2024-12,CREDIT_CARD,268,0.20520673813169985,loan_type,,,,
2024-12,PERSONAL,243,0.1860643185298622,loan_type,,,,
2025-01,AUTO,269,0.20195195195195195,loan_type,,,,
2025-01,BNPL,245,0.18393393393393392,loan_type,,,,
2025-01,CONSUMER,285,0.21396396396396397,loan_type,,,,
2025-01,CREDIT_CARD,296,0.2222222222222222,loan_type,,,,
2025-01,PERSONAL,237,0.17792792792792791,loan_type,,,,
2025-02,AUTO,273,0.2215909090909091,loan_type,,,,
2025-02,BNPL,263,0.21347402597402598,loan_type,,,,
2025-02,CONSUMER,229,0.1858766233766234,loan_type,,,,
2025-02,CREDIT_CARD,233,0.1891233766233766,loan_type,,,,
2025-02,PERSONAL,234,0.18993506493506493,loan_type,,,,
2025-03,AUTO,260,0.1918819188191882,loan_type,,,,
2025-03,BNPL,257,0.1896678966789668,loan_type,,,,
2025-03,CONSUMER,280,0.2066420664206642,loan_type,,,,
2025-03,CREDIT_CARD,280,0.2066420664206642,loan_type,,,,
2025-03,PERSONAL,278,0.2051660516605166,loan_type,,,,
2025-04,AUTO,261,0.20747217806041335,loan_type,,,,
2025-04,BNPL,241,0.1915739268680445,loan_type,,,,
2025-04,CONSUMER,244,0.19395866454689983,loan_type,,,,
2025-04,CREDIT_CARD,256,0.20349761526232116,loan_type,,,,
2025-04,PERSONAL,256,0.20349761526232116,loan_type,,,,
2025-05,AUTO,248,0.194815396700707,loan_type,,,,
2025-05,BNPL,279,0.21916732128829536,loan_type,,,,
2025-05,CONSUMER,249,0.19560094265514533,loan_type,,,,
2025-05,CREDIT_CARD,230,0.18067556952081698,loan_type,,,,
2025-05,PERSONAL,267,0.20974076983503534,loan_type,,,,
2025-06,AUTO,255,0.20302547770700638,loan_type,,,,
2025-06,BNPL,256,0.20382165605095542,loan_type,,,,
2025-06,CONSUMER,245,0.19506369426751594,loan_type,,,,
2025-06,CREDIT_CARD,238,0.18949044585987262,loan_type,,,,
2025-06,PERSONAL,262,0.2085987261146497,loan_type,,,,
2025-07,AUTO,252,0.19626168224299065,loan_type,,,,
2025-07,BNPL,243,0.18925233644859812,loan_type,,,,
2025-07,CONSUMER,231,0.17990654205607476,loan_type,,,,
2025-07,CREDIT_CARD,276,0.21495327102803738,loan_type,,,,
2025-07,PERSONAL,282,0.21962616822429906,loan_type,,,,
2025-08,AUTO,286,0.2161753590325019,loan_type,,,,
2025-08,BNPL,219,0.1655328798185941,loan_type,,,,
2025-08,CONSUMER,259,0.19576719576719576,loan_type,,,,
2025-08,CREDIT_CARD,282,0.21315192743764172,loan_type,,,,
2025-08,PERSONAL,277,0.20937263794406652,loan_type,,,,
2025-09,AUTO,270,0.19838354151359294,loan_type,,,,
2025-09,BNPL,244,0.1792799412196914,loan_type,,,,
2025-09,CONSUMER,304,0.2233651726671565,loan_type,,,,
2025-09,CREDIT_CARD,284,0.20867009551800147,loan_type,,,,
2025-09,PERSONAL,259,0.19030124908155768,loan_type,,,,
2025-10,AUTO,272,0.20528301886792452,loan_type,,,,
2025-10,BNPL,268,0.20226415094339623,loan_type,,,,
2025-10,CONSUMER,280,0.21132075471698114,loan_type,,,,
2025-10,CREDIT_CARD,256,0.1932075471698113,loan_type,,,,
2025-10,PERSONAL,249,0.1879245283018868,loan_type,,,,
2025-11,AUTO,261,0.20813397129186603,loan_type,,,,
2025-11,BNPL,271,0.21610845295055822,loan_type,,,,
2025-11,CONSUMER,242,0.19298245614035087,loan_type,,,,
2025-11,CREDIT_CARD,253,0.20175438596491227,loan_type,,,,
2025-11,PERSONAL,227,0.1810207336523126,loan_type,,,,
2024-01,,110,0.08390541571319603,dpd,0.0,,,
2024-01,,107,0.08161708619374523,dpd,1.0,,,
2024-01,,133,0.10144927536231885,dpd,5.0,,,
2024-01,,101,0.07704042715484363,dpd,15.0,,,
2024-01,,125,0.09534706331045004,dpd,30.0,,,
2024-01,,126,0.09610983981693363,dpd,45.0,,,
2024-01,,125,0.09534706331045004,dpd,60.0,,,
2024-01,,125,0.09534706331045004,dpd,75.0,,,
2024-01,,120,0.09153318077803203,dpd,90.0,,,
2024-01,,118,0.09000762776506484,dpd,120.0,,,
2024-01,,121,0.09229595728451563,dpd,180.0,,,
2024-02,,115,0.08852963818321787,dpd,0.0,,,
2024-02,,114,0.08775981524249422,dpd,1.0,,,
2024-02,,109,0.08391070053887606,dpd,5.0,,,
2024-02,,106,0.08160123171670516,dpd,15.0,,,
2024-02,,111,0.08545034642032333,dpd,30.0,,,
2024-02,,124,0.09545804464973057,dpd,45.0,,,
2024-02,,127,0.09776751347190146,dpd,60.0,,,
2024-02,,122,0.0939183987682833,dpd,75.0,,,
2024-02,,142,0.10931485758275597,dpd,90.0,,,
2024-02,,117,0.09006928406466513,dpd,120.0,,,
2024-02,,112,0.08622016936104696,dpd,180.0,,,
2024-03,,142,0.10113960113960115,dpd,0.0,,,
2024-03,,122,0.0868945868945869,dpd,1.0,,,
