account_id,amount,event_count
ACC0029925,82923.93,2
ACC0000040,75424.76,2
ACC0000056,81814.0,2
ACC0000070,39313.18,2
ACC0000158,47676.38,2
ACC0000170,128514.05,2
ACC0000224,6088.02,2
ACC0000566,37751.99,2
ACC0000632,90265.2,2
ACC0000678,68996.82,2
ACC0000731,119344.12,2
ACC0000734,25006.68,2
ACC0001193,61932.17,2
ACC0001243,49622.29,2
ACC0001254,139630.85,2
ACC0001262,78628.8,2
ACC0001297,17061.06,2
ACC0001307,5970.9,2
ACC0001376,113118.86,2
ACC0001542,91071.29,2
ACC0027690,49249.84,2
ACC0027713,114617.88,2
ACC0027765,102727.85,2
ACC0027881,134905.53,2
ACC0027928,43712.91,2
ACC0028014,41291.16,2
ACC0028014,110097.77,2
ACC0028045,138294.48,2
ACC0027372,138310.56,2
ACC0027382,20009.41,2
ACC0027423,44217.52,2
ACC0027533,104351.29,2
ACC0027547,132282.46,2
ACC0027575,68606.87,2
ACC0027651,14890.44,2
ACC0027689,106082.57,2
ACC0027145,119533.7,2
ACC0027223,128476.91,2
ACC0027258,31004.8,2
ACC0027266,37078.02,2
ACC0027301,36175.31,2
ACC0027308,92013.22,2
ACC0027331,143934.05,2
ACC0027348,49208.88,2
ACC0026650,45817.54,2
ACC0026727,9833.11,2
ACC0026816,100085.0,2
ACC0026843,105356.38,2
ACC0026891,34222.77,2
ACC0027035,79866.31,2
ACC0027110,11244.17,2
ACC0027129,142140.72,2
ACC0004822,64348.76,2
ACC0004836,73969.35,2
ACC0004887,103203.07,2
ACC0004935,23677.02,2
ACC0004940,34333.5,2
ACC0004949,63793.41,2
ACC0004967,145735.0,2
ACC0005095,23748.91,2
ACC0004472,68016.48,2
ACC0004484,149331.1,2
ACC0004541,134174.23,2
ACC0004563,60787.01,2
ACC0004592,83829.9,2
ACC0004608,24621.12,2
ACC0004665,61441.16,2
ACC0004813,25143.15,2
ACC0004033,132046.18,2
ACC0004062,108292.58,2
ACC0004088,97036.88,2
ACC0004258,127017.24,2
ACC0004261,40272.49,2
ACC0004337,33083.82,2
ACC0004394,89005.81,2
ACC0004456,112180.31,2
ACC0003470,10418.48,2
ACC0003542,72836.14,2
ACC0003545,33104.97,2
ACC0003628,145161.37,2
ACC0003670,28798.49,2
ACC0003825,35186.17,2
ACC0003834,117412.35,2
ACC0003910,133757.22,2
ACC0006247,136260.05,2
ACC0006444,81973.46,2
ACC0006557,79391.52,2
ACC0006602,79097.04,2
ACC0006712,35461.93,2
ACC0006931,91937.43,2
ACC0007031,124345.86,2
ACC0007158,120410.28,2
ACC0005769,30303.27,2
ACC0005859,79235.39,2
ACC0005904,45452.42,2
ACC0006030,123597.38,2
ACC0006048,10996.17,2
ACC0006161,107271.84,2
ACC0006171,125402.63,2
ACC0006226,115776.8,2
ACC0005492,146703.81,2
ACC0005502,148800.09,2
ACC0005565,148734.18,2
ACC0005610,108499.97,2
ACC0005668,122858.82,2
ACC0005675,139739.08,2
ACC0005740,77393.28,2
ACC0005762,6421.37,2
ACC0005126,20715.84,2
ACC0005230,49464.59,2
