month,priority,target_count,share_within_month
2026-01,1,614,0.09640445909875962
2026-01,2,644,0.10111477468990422
2026-01,3,636,0.09985869053226566
2026-01,4,639,0.10032972209138012
2026-01,5,608,0.09546239598053069
2026-01,6,667,0.1047260166431151
2026-01,7,646,0.10142879572931386
2026-01,8,680,0.10676715339927775
2026-01,9,603,0.09467734338200659
2026-01,10,632,0.09923064845344638
2026-02,1,579,0.10141881240147137
2026-02,2,543,0.0951129795060431
2026-02,3,592,0.10369591872482047
2026-02,4,520,0.09108425293396391
2026-02,5,552,0.09668943772990016
2026-02,6,562,0.09844105797863023
2026-02,7,585,0.1024697845507094
2026-02,8,555,0.09721492380451918
2026-02,9,616,0.10789980732177264
2026-02,10,605,0.10597302504816955
2026-03,1,624,0.09920508744038156
2026-03,2,645,0.10254372019077901
2026-03,3,614,0.09761526232114467
2026-03,4,612,0.0972972972972973
2026-03,5,602,0.09570747217806042
2026-03,6,643,0.10222575516693164
2026-03,7,662,0.10524642289348171
2026-03,8,644,0.10238473767885532
2026-03,9,624,0.09920508744038156
2026-03,10,620,0.0985691573926868
2026-04,1,619,0.09975825946817082
2026-04,2,631,0.1016921837228042
2026-04,3,607,0.09782433521353746
2026-04,4,637,0.10265914585012087
2026-04,5,599,0.09653505237711522
2026-04,6,634,0.10217566478646253
2026-04,7,624,0.10056406124093473
2026-04,8,657,0.10588235294117647
2026-04,9,631,0.1016921837228042
2026-04,10,566,0.0912167606768735
2026-05,1,667,0.10353927351754114
2026-05,2,647,0.1004346476249612
2026-05,3,653,0.10136603539273517
2026-05,4,600,0.09313877677739832
2026-05,5,651,0.10105557280347718
2026-05,6,588,0.09127600124185035
2026-05,7,658,0.10214219186588017
2026-05,8,645,0.1001241850357032
2026-05,9,665,0.10322881092828314
2026-05,10,668,0.10369450481217013
2026-06,1,617,0.1002599935001625
2026-06,2,648,0.10529736756581086
2026-06,3,623,0.10123496912577186
2026-06,4,603,0.09798505037374065
2026-06,5,604,0.09814754631134222
2026-06,6,622,0.1010724731881703
2026-06,7,654,0.10627234319142022
2026-06,8,580,0.09424764380890478
2026-06,9,609,0.09896002599935001
2026-06,10,594,0.09652258693532662
2026-07,1,649,0.10417335473515249
2026-07,2,616,0.09887640449438202
2026-07,3,625,0.10032102728731943
2026-07,4,582,0.09341894060995184
2026-07,5,626,0.10048154093097914
2026-07,6,575,0.09229534510433386
2026-07,7,661,0.10609951845906902
2026-07,8,638,0.10240770465489567
2026-07,9,628,0.10080256821829855
2026-07,10,630,0.10112359550561797
2026-08,1,162,0.10118675827607745
2026-08,2,165,0.10306058713304185
2026-08,3,170,0.1061836352279825
2026-08,4,165,0.10306058713304185
2026-08,5,159,0.09931292941911306
2026-08,6,141,0.08806995627732667
2026-08,7,151,0.09431605246720799
2026-08,8,188,0.1174266083697689
2026-08,9,163,0.10181136789506559
2026-08,10,137,0.08557151780137415
