month,vendor_id,schema_version,call_count
2025-12,VND0000013,v1,1
2026-01,VND0000001,v3,889
2026-01,VND0000002,v3,829
2026-01,VND0000003,v3,885
2026-01,VND0000004,v1,860
2026-01,VND0000005,v1,865
2026-01,VND0000006,v2,821
2026-01,VND0000007,v1,892
2026-01,VND0000008,v3,866
2026-01,VND0000009,v1,845
2026-01,VND0000010,v1,906
2026-01,VND0000011,v3,878
2026-01,VND0000012,v1,804
2026-01,VND0000013,v1,818
2026-01,VND0000014,v3,864
2026-01,VND0000015,v2,874
2026-02,VND0000001,v3,766
2026-02,VND0000002,v3,809
2026-02,VND0000003,v3,783
2026-02,VND0000004,v1,742
2026-02,VND0000005,v1,837
2026-02,VND0000006,v2,781
2026-02,VND0000007,v1,772
2026-02,VND0000008,v3,781
2026-02,VND0000009,v1,808
2026-02,VND0000010,v1,790
2026-02,VND0000011,v3,747
2026-02,VND0000012,v1,786
2026-02,VND0000013,v1,749
2026-02,VND0000014,v3,779
2026-02,VND0000015,v2,810
2026-03,VND0000001,v3,866
2026-03,VND0000002,v3,884
2026-03,VND0000003,v3,873
2026-03,VND0000004,v1,863
2026-03,VND0000005,v1,879
2026-03,VND0000006,v2,850
2026-03,VND0000007,v1,851
2026-03,VND0000008,v3,846
2026-03,VND0000009,v1,869
2026-03,VND0000010,v1,846
2026-03,VND0000011,v3,886
2026-03,VND0000012,v1,936
2026-03,VND0000013,v1,846
2026-03,VND0000014,v3,832
2026-03,VND0000015,v2,914
2026-04,VND0000001,v3,837
2026-04,VND0000002,v3,815
2026-04,VND0000003,v3,830
2026-04,VND0000004,v1,805
2026-04,VND0000005,v1,817
2026-04,VND0000006,v2,809
2026-04,VND0000007,v1,836
2026-04,VND0000008,v3,784
2026-04,VND0000009,v1,845
2026-04,VND0000010,v1,888
2026-04,VND0000011,v3,848
2026-04,VND0000012,v1,819
2026-04,VND0000013,v1,853
2026-04,VND0000014,v3,834
2026-04,VND0000015,v2,801
2026-05,VND0000001,v3,913
2026-05,VND0000002,v3,857
2026-05,VND0000003,v3,860
2026-05,VND0000004,v1,852
2026-05,VND0000005,v1,859
2026-05,VND0000006,v2,878
2026-05,VND0000007,v1,865
2026-05,VND0000008,v3,846
2026-05,VND0000009,v1,822
2026-05,VND0000010,v1,884
2026-05,VND0000011,v3,836
2026-05,VND0000012,v1,838
2026-05,VND0000013,v1,827
2026-05,VND0000014,v3,905
2026-05,VND0000015,v2,902
2026-06,VND0000001,v3,782
2026-06,VND0000002,v3,800
2026-06,VND0000003,v3,816
2026-06,VND0000004,v1,843
2026-06,VND0000005,v1,846
2026-06,VND0000006,v2,783
2026-06,VND0000007,v1,830
2026-06,VND0000008,v3,834
2026-06,VND0000009,v1,809
2026-06,VND0000010,v1,834
2026-06,VND0000011,v3,862
2026-06,VND0000012,v1,874
2026-06,VND0000013,v1,798
2026-06,VND0000014,v3,798
2026-06,VND0000015,v2,803
2026-07,VND0000001,v3,845
2026-07,VND0000002,v3,830
2026-07,VND0000003,v3,798
2026-07,VND0000004,v1,837
2026-07,VND0000005,v1,830
2026-07,VND0000006,v2,849
2026-07,VND0000007,v1,875
2026-07,VND0000008,v3,809
2026-07,VND0000009,v1,880
2026-07,VND0000010,v1,878
2026-07,VND0000011,v3,887
2026-07,VND0000012,v1,834
2026-07,VND0000013,v1,871
2026-07,VND0000014,v3,889
2026-07,VND0000015,v2,845
2026-08,VND0000001,v3,230
2026-08,VND0000002,v3,202
2026-08,VND0000003,v3,223
2026-08,VND0000004,v1,221
2026-08,VND0000005,v1,220
2026-08,VND0000006,v2,218
2026-08,VND0000007,v1,217
2026-08,VND0000008,v3,223
2026-08,VND0000009,v1,183
2026-08,VND0000010,v1,222
2026-08,VND0000011,v3,233
2026-08,VND0000012,v1,203
2026-08,VND0000013,v1,211
2026-08,VND0000014,v3,231
2026-08,VND0000015,v2,201
