dataset,original_rows,exact_duplicate_rows_removed,golden_rows,rows_retained_pct,raw_data_modified
account_status_history,60000,0,60000,100.0,False
accounts,30000,0,30000,100.0,False
agent_sessions,15000,0,15000,100.0,False
agents,30000,0,30000,100.0,False
borrowers,30600,0,30600,100.0,False
call_attempts,120000,0,120000,100.0,False
call_dispositions,35000,0,35000,100.0,False
calls,91350,0,91350,100.0,False
campaigns,120,0,120,100.0,False
complaints,8000,0,8000,100.0,False
daily_targeting,45000,0,45000,100.0,False
data_dictionary,143,0,143,100.0,False
field_visits,25000,0,25000,100.0,False
payments,25500,0,25500,100.0,False
promises_to_pay,18000,0,18000,100.0,False
sms_events,45000,0,45000,100.0,False
vendor_telephony,15,0,15,100.0,False
whatsapp_events,60600,0,60600,100.0,False
