dataset,golden_rows,columns,missing_cells,duplicate_rows_remaining
account_status_history,60000,9,0,0
accounts,30000,15,455,0
agent_sessions,15000,12,0,0
agents,30000,9,0,0
borrowers,30600,9,1509,0
call_attempts,120000,14,2400,0
call_dispositions,35000,13,0,0
calls,91350,22,3230,0
campaigns,120,8,0,0
complaints,8000,10,0,0
daily_targeting,45000,12,0,0
data_dictionary,143,4,0,0
field_visits,25000,11,250,0
payments,25500,20,1150,0
promises_to_pay,18000,10,0,0
sms_events,45000,9,0,0
vendor_telephony,15,7,0,0
whatsapp_events,60600,9,0,0
