scenario,hypothetical_cost,incremental_recovery_value,net_value,roi_pct
A,5000000,24125937.25103839,19125937.25103839,382.5187450207678
A,10000000,24125937.25103839,14125937.251038391,141.2593725103839
A,20000000,24125937.25103839,4125937.251038391,20.629686255191956
A,30000000,24125937.25103839,-5874062.748961609,-19.58020916320536
A,50000000,24125937.25103839,-25874062.74896161,-51.74812549792321
B,5000000,10232884.368859908,5232884.368859908,104.65768737719816
B,10000000,10232884.368859908,232884.3688599076,2.3288436885990764
B,20000000,10232884.368859908,-9767115.631140092,-48.83557815570046
B,30000000,10232884.368859908,-19767115.63114009,-65.89038543713363
B,50000000,10232884.368859908,-39767115.63114009,-79.53423126228019
C,5000000,48251874.50207678,43251874.50207678,865.0374900415355
C,10000000,48251874.50207678,38251874.50207678,382.5187450207678
C,20000000,48251874.50207678,28251874.502076782,141.2593725103839
C,30000000,48251874.50207678,18251874.502076782,60.83958167358927
C,50000000,48251874.50207678,-1748125.4979232177,-3.4962509958464354
