dataset,column,dtype,rows,non_null,unique_values,missing
account_status_history,history_id,object,60000,60000,60000,0
account_status_history,account_id,object,60000,60000,25999,0
account_status_history,borrower_id,object,60000,60000,11916,0
accounts,account_id,object,30000,30000,30000,0
accounts,borrower_id,object,30000,29545,10943,455
agent_sessions,session_id,object,15000,15000,15000,0
agent_sessions,agent_id,object,15000,15000,1000,0
agent_sessions,device_id,object,15000,15000,1500,0
agents,agent_id,object,30000,30000,1000,0
agents,vendor_id,object,30000,30000,15,0
borrowers,borrower_id,object,30600,30600,11015,0
call_attempts,attempt_id,object,120000,120000,120000,0
call_attempts,account_id,object,120000,120000,29451,0
call_attempts,borrower_id,object,120000,120000,12000,0
call_attempts,call_id,object,120000,120000,66244,0
call_attempts,agent_id,object,120000,120000,1000,0
call_attempts,vendor_id,object,120000,117600,15,2400
call_dispositions,disposition_id,object,35000,35000,35000,0
call_dispositions,account_id,object,35000,35000,20603,0
call_dispositions,borrower_id,object,35000,35000,11359,0
call_dispositions,call_id,object,35000,35000,28971,0
call_dispositions,agent_id,object,35000,35000,1000,0
calls,call_id,object,91350,91350,90000,0
calls,account_id,object,91350,91350,28408,0
calls,borrower_id,object,91350,91350,11992,0
calls,agent_id,object,91350,89523,1000,1827
calls,campaign_id,object,91350,91350,120,0
calls,vendor_id,object,91350,91350,15,0
campaigns,campaign_id,object,120,120,120,0
complaints,complaint_id,object,8000,8000,8000,0
complaints,account_id,object,8000,8000,7034,0
complaints,borrower_id,object,8000,8000,5839,0
daily_targeting,target_id,object,45000,45000,45000,0
daily_targeting,account_id,object,45000,45000,23344,0
daily_targeting,campaign_id,object,45000,45000,120,0
field_visits,visit_id,object,25000,25000,25000,0
field_visits,account_id,object,25000,25000,16908,0
field_visits,borrower_id,object,25000,25000,10537,0
field_visits,agent_id,object,25000,25000,1000,0
payments,payment_id,object,25500,25500,25000,0
payments,account_id,object,25500,25500,16934,0
payments,borrower_id,object,25500,25500,10474,0
payments,payment_reference,object,25500,25118,20821,382
payments,provider_id,object,25500,25500,15,0
promises_to_pay,ptp_id,object,18000,18000,18000,0
promises_to_pay,account_id,object,18000,18000,13532,0
promises_to_pay,borrower_id,object,18000,18000,9299,0
promises_to_pay,agent_id,object,18000,18000,1000,0
sms_events,sms_event_id,object,45000,45000,45000,0
sms_events,account_id,object,45000,45000,23207,0
sms_events,borrower_id,object,45000,45000,11728,0
sms_events,message_id,object,45000,45000,27001,0
sms_events,provider_id,object,45000,45000,15,0
vendor_telephony,vendor_id,object,15,15,15,0
vendor_telephony,vendor_account_id,object,15,15,15,0
whatsapp_events,whatsapp_event_id,object,60600,60600,60000,0
whatsapp_events,account_id,object,60600,60600,25924,0
whatsapp_events,borrower_id,object,60600,60600,11917,0
whatsapp_events,message_id,object,60600,60600,34831,0
whatsapp_events,provider_id,object,60600,60600,15,0
