driver,cliffs_delta,absolute_cliffs_delta
dpd,2.4660518865963434e-05,2.4660518865963434e-05
principal_amount,-0.0005953966142782855,0.0005953966142782855
outstanding_amount,-0.0009449536148069465,0.0009449536148069465
total_calls,0.010807526433590358,0.010807526433590358
total_call_duration_sec,0.0064943494447042,0.0064943494447042
total_attempts,0.006394239266765856,0.006394239266765856
targeting_events,0.0029315664657005506,0.0029315664657005506
campaigns_targeted,0.002833631421183,0.002833631421183
disposition_events,-0.0019316085453003104,0.0019316085453003104
unique_agents,0.01228135270637756,0.01228135270637756
unique_vendors,0.0145789510924808,0.0145789510924808
