variable,coefficient,odds_ratio,p_value,ci_lower_odds_ratio,ci_upper_odds_ratio,significant_5pct
Intercept,-0.3104148639899462,0.7331427386024476,4.4399377039577605e-08,0.6560020233246293,0.8193545996115174,True
C(loan_type)[T.BNPL],-0.03678407101538815,0.9638842434259283,0.3173308689405483,0.8968357367991717,1.0359453761740778,False
C(loan_type)[T.CONSUMER],0.035547333947051535,1.0361866937733921,0.3328525876904028,0.9642556680356138,1.1134835914839323,False
C(loan_type)[T.CREDIT_CARD],-0.006861976362064319,0.9931615132386613,0.8509480583491225,0.924562067390392,1.066850810960231,False
C(loan_type)[T.PERSONAL],-0.018771943906568115,0.981403151692419,0.6088304671707782,0.9133209056466558,1.054560494780173,False
C(risk_segment)[T.LOW],0.05414956604625074,1.055642478620088,0.09891677044278151,0.9898841275093637,1.1257691801474223,False
C(risk_segment)[T.MEDIUM],0.022855026761848047,1.0231182040360862,0.4861667808461908,0.9593810220204065,1.0910898124976265,False
C(risk_segment)[T.NPA],0.018470219229795325,1.0186418487790374,0.5752526740163866,0.9549120833570016,1.0866248675335366,False
dpd,-7.594025464801651e-05,0.9999240626287401,0.724581365839031,0.9995017536501125,1.000346550041145,False
principal_amount,-5.378301975854597e-09,0.999999994621698,0.9158671713356177,0.9999998948377619,1.0000000944056442,False
outstanding_amount,-8.329746356154532e-09,0.9999999916702537,0.8852030442238014,0.999999878591024,1.0000001047494962,False
total_calls,0.012983758617400542,1.013068413594489,0.05155298495010322,0.9999125304037932,1.0263973891880345,False
total_attempts,0.006156628763151981,1.0061756197555085,0.29105867201873925,0.9947414945777282,1.017741175279056,False
targeting_events,0.0052206769213654245,1.0052343284014407,0.5834804634176716,0.9866489399173157,1.0241698076332786,False
