dataset,column,rows,null_count,unique_count,is_unique,has_nulls
account_status_history,history_id,60000,0,60000,True,False
accounts,account_id,30000,0,30000,True,False
agent_sessions,session_id,15000,0,15000,True,False
call_attempts,attempt_id,120000,0,120000,True,False
call_dispositions,disposition_id,35000,0,35000,True,False
campaigns,campaign_id,120,0,120,True,False
campaigns,start_at,120,0,120,True,False
campaigns,end_at,120,0,120,True,False
complaints,complaint_id,8000,0,8000,True,False
daily_targeting,target_id,45000,0,45000,True,False
field_visits,visit_id,25000,0,25000,True,False
field_visits,latitude,25000,0,25000,True,False
field_visits,longitude,25000,0,25000,True,False
promises_to_pay,ptp_id,18000,0,18000,True,False
sms_events,sms_event_id,45000,0,45000,True,False
vendor_telephony,vendor_id,15,0,15,True,False
vendor_telephony,vendor_account_id,15,0,15,True,False
